	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	A1	A1g	A1dv	A1z	A1l	A1dw	A1ds	A1cl	A1cr	A1dr	A1o	A1dp	A1p	A1dl	A1dq	A1dn	A1dm	A1dt	A1am	A1dy	A1bh	70739_A	A1ct	58464_A	3263_A	6081_A	2771_A	3525_A	12061_A	A1do	70740_A	30814_A	70812_A	70792_A	9429_A	A1du	70795_A	70793_A	70791_A	A1dz	A1dx	70790_A	1842_A	6528_A	7367_A	2932_A	70794_A	70814_A	70798_A	4527_A	70796_A	8504_A	A1ea	10098_A	10096_A	10672_A	54515_A	3056_A	54877_A	54878_A	3515_A	70808_A	16790_A	9390_A	70742_A	70741_A	70815_A	55166_A	13902_A	1042_A	10539_A	1481_A	70801_A	55719_A	70805_A	8177_A	70797_A	70810_A	70804_A	70813_A	54511_A	70807_A	3283_A	70803_A	60672_A	8512_A	59815_A	61370_A	70811_A	71023_A	2379_A	1088_A	7561_A	1068_A	70802_A	71024_A	70800_A	10920_A	71025_A	959_A	54512_A	70799_A	71027_A	70816_A	71026_A	C15	C15r	C1	32423_C	C91e	C15h	D1	D3a	D4	D3	D4c
45834	ES1_30A	2.4619751306541717	1.039826995855109	0.019192647323842134	1.039826995855109	0.019192647323842134	0.0	0.0	0.0	0.0	1.0	0.002072445485673094	0.12596864299873853	0	0	0	0	0	0	0	0	0.4529644981077672	0	0.18003243827716706	0	0	0.16102000360425303	0	0	0	0	0	0	0	0.025229771129933323	0	0	0	0	0.03469093530365832	0	0	0	0.008379888268156424	0.020003604253018562	0	0	0	0	0	0.011713822310326185	0	0	0.006307442782483331	0	0	0	0.014056586772391421	0.009371057848260948	0	0	0	0	0	0.005856911155163093	0	0	0	0	0.011443503333934043	0	0.0130654171922869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005406379527842855	0	0	0	0	0	0	0	0	0	0	0	0	0.006848080735267616	0	0	0	0	0.005045954225986664	0.005766804829699045	0.006307442782483331	0	0.005496485853306902	0	0	0.004234997296810236	0.006757974409803569	0	0	0	0	0	0	0	0	0	0	0	0	0
45835	ES1_33A	3.1028757782389564	1.0243107026386007	0.019715386895938335	1.0243107026386007	0.019715386895938335	0.0	0.0	0.0	0.0	1.0	0.003409427809072043	0.12496294100207529	0	0	0	0	0	0	0	0	0.45641861844055737	0	0.18188556181440854	0	0	0.1584642751260006	0	0	0	0	0	0	0	0.031722502223539874	0	0	0	0	0.028313074414467832	0	0	0	0.010228283427216128	0.01956715090423955	0	0	0	0	0	0.008004743551734361	0	0	0.008004743551734361	0	0	0	0.019418914912540764	0.008152979543433145	0	0	0	0	0	0.0056329676845538095	0	0	0	0	0.012155351319300326	0	0.013193003261191818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006670619626445301	0	0	0	0	0	0	0	0	0	0	0	0.005188259709457456	0.004743551734361103	0	0	0	0	0.005336495701156241	0.004595315742662319	0.004002371775867181	0	0.004298843759264749	0	0	0.004002371775867181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45839	ES1_36A	2.335439209624303	1.0386450702332146	0.02224611869077223	1.0382418173264332	0.02211170105517844	0.0	0.0	0.0004032529067813697	0.0001344176355937899	1.0	0.0010753410847503192	0.08569124269104106	0	0	0	0	0	0	0	0	0.46253108407823107	0	0.19672020969151152	0	0	0.17232340883123864	0	0	0	0	0	0	0	0.03515021170777606	0	0	0	0	0.030848847368774784	0	0	0	0.010014113851737347	0.020834733517037435	0	0	0	0	0	0.006720881779689495	0	0	0.005511123059345386	0	0	0	0.020162645339068485	0.004234155521204382	0	0	0	0	0	0.006855299415283285	0	0	0	0	0.014718731097519994	0	0.0066536729618926005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006720881779689495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45837	ES2_30A	2.165127195639007	1.0348273773470624	0.019155057540884313	1.0348273773470624	0.019155057540884313	0.0	0.0	0.0	0.0	1.0	0.0011356753482737734	0.05860084797092671	0	0	0	0	0	0	0	0	0.5575408843125379	0	0.17042701393095094	0	0	0.1362053301029679	0	0	0	0	0	0	0	0.04497274379164143	0	0	0	0	0.019987886129618413	0	0	0	0.012265293761356754	0.006965475469412477	0	0	0	0	0	0	0	0	0.007949727437916415	0.009312537855844943	0	0	0	0.007116898849182314	0.007116898849182314	0	0	0.006814052089642641	0	0	0.005905511811023622	0	0.007419745608721987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45838	ES2_33A	2.4784639820611045	1.0341025880594226	0.020554984583761562	1.0341025880594226	0.020554984583761562	0.0	0.0	0.0	0.0	1.0	0.0014949079697281135	0.06400074745398486	0	0	0	0	0	0	0	0	0.5516210408296739	0	0.171260394281977	0	0	0.1328599458095861	0	0	0	0	0	0	0	0.043912921610763336	0	0	0	0	0.021769597309165653	0	0	0	0.014575352704849108	0.006073063627020462	0	0	0	0	0	0	0	0	0.00934317481080071	0.009249743062692703	0	0	0	0.006259927123236476	0.008408857329720638	0	0	0.007474539848640568	0	0.004204428664860319	0.00644679061945249	0	0.006540222367560497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45842	ES2_36A	2.5397252895232967	1.0337552742616034	0.021456145075859592	1.0337552742616034	0.021456145075859592	0.0	0.0	0.0	0.0	1.0	0.0012568453182511894	0.052338630038603104	0	0	0	0	0	0	0	0	0.5465481641080887	0	0.17775383786695395	0	0	0.14013825298500762	0	0	0	0	0	0	0	0.049196516742975135	0	0	0	0	0.020737947751144625	0	0	0	0.01328665050722686	0.006733099919202801	0	0	0	0	0	0	0	0	0.008438818565400843	0.00664332525361343	0	0	0	0	0.00655355058802406	0	0	0.008797917227758327	0	0	0.0061944519256665765	0	0.008977466558937068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45840	ES3_30A	2.86786165689992	1.031253590715845	0.019073882569229	1.031253590715845	0.019073882569229	0.0	0.0	0.0	0.0	1.0	0.002298058140870964	0.10479145122371597	0	0	0	0	0	0	0	0	0.47087211306446053	0	0.19269217511203032	0	0	0.1425945076410433	0	0	0	0	0	0	0	0.035504998276456395	0	0	0	0	0.029644950017235435	0	0	0	0.009307135470527405	0.02930024129610479	0	0	0	0	0	0.006894174422612892	0	0	0.008387912214179019	0.007813397678961278	0	0.0076984947719177296	0.009307135470527405	0.008387912214179019	0.008962426749396759	0	0	0	0	0	0	0	0	0	0.0062047569803516025	0	0.010341261633919338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006549465701482247	0	0	0.004021601746524187	0	0.005515339538090314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45841	ES3_33A	2.8185671456631862	1.0413522175126642	0.02129639201902202	1.0413522175126642	0.02129639201902202	0.0	0.0	0.0	0.0	1.0	0.002067610875633206	0.1150625452289879	0	0	0	0	0	0	0	0	0.4415383024914711	0	0.2020055825493642	0	0	0.14824769978290087	0	0	0	0	0	0	0	0.04073193424997416	0	0	0	0	0.029566835521554844	0	0	0	0.010854957097074331	0.027602605189703297	0	0	0	0	0	0.0059960715393362965	0	0	0.008167062958751163	0.01054481546572935	0	0.0059960715393362965	0.015300320479685723	0.006719735345807919	0.007546779696061201	0	0	0	0	0.0057893104517729764	0	0	0	0	0.00713325752093456	0	0.008063682414969502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006512974258244598	0	0	0.00713325752093456	0	0.004548743926393053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45845	ES3_36A	2.57993495121341	1.027895921941456	0.021391043282461848	1.0253940455341506	0.02089066800100075	0.0	0.0	0.002501876407305479	0.0005003752814610958	1.0	0.002501876407305479	0.1190893169877408	0	0	0	0	0	0	0	0	0.4372029021766325	0	0.2017763322491869	0	0	0.1412309231923943	0	0	0	0	0	0	0	0.043782837127845885	0	0	0	0	0.03152364273204904	0	0	0	0.013635226419814862	0.0268951713785339	0	0	0	0	0	0.0043782837127845885	0	0	0.008381285964473356	0.008631473605203903	0	0.0073805354015511635	0.015011258443832875	0.006755066299724793	0.007130347760820615	0	0	0	0	0	0	0	0	0	0.009882411808856642	0	0.008006004503377533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010007505629221916	0	0.007630723042281711	0	0	0.005879409557167876	0	0.004878658994245684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45843	ES4_30A	2.057315668202765	1.0101766513056836	0.018529185867895544	1.0101766513056836	0.018529185867895544	0.0	0.0	0.0	0.0	1.0	0.0006720430107526882	0.013632872503840246	0	0	0	0	0	0	0	0	0.3431259600614439	0	0	0.006336405529953917	0	0	0	0.6240399385560675	0	0	0	0	0	0	0	0	0	0	0	0	0.012864823348694316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0069124423963133645	0	0	0	0	0	0	0	0	0	0	0	0	0.006720430107526882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
