sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84
45834,-0.10675847587725963,-0.4859464714955754,0.00628590143016632,-0.016832763207475912,0.03107179918616671,-0.01988209409795407,0.19073121195696718,0.10992951994573057,0.023014142034657948,0.10038673135554373,-0.022999212642543385,0.006530315745119561,-0.007302674120609699,-0.0043579186018585245,0.0006818662345249269,-0.04670371433967132,-0.0026723742513339874,-0.05141478476232253,-0.009536354241104262,0.01690271019445705,-0.0361874976786096,-0.0048239857019440665,0.013967324261478054,0.0021230628908833027,0.00638072250006533,0.004872806939672957,-0.0027884039287183458,-0.0018342513638202015,-0.004178592885425302,0.006665493732409987,-0.0078080098464546254,0.0019671203914431953,-0.004010488022835059,0.0049085074505538125,-0.004432794207845902,-0.005496036894256596,-0.0010469862063697448,-0.002483674517507363,-0.0002641294017883751,0.0005482014768187668,-0.001558905341861051,0.0026365142668707932,0.000146629340768957,-0.00010027967849453162,-0.0008373424728275107,0.000546042719737169,-2.039907202146845e-05,-7.138596288160052e-05,9.302613488765851e-06,0.00021339504543023614,0.0001353424559997047,-4.091420529321563e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45835,-0.10440734488072159,-0.48996046940065185,0.0060861989827421135,-0.016955976360548804,0.03067386537764149,-0.01870640885135309,0.18188716983950004,0.1049165609752516,0.02252646388520973,0.10138368221416588,-0.02299756932285506,0.006718650870701746,-0.008077067943913798,-0.0024171329532138124,0.0003581599235589137,-0.04291009600547968,-0.002498543684440378,-0.040892696892995066,-0.002171189720384345,0.0014338847097322954,-0.003494766687642131,-0.0002244372287795644,0.004386764291365851,-0.00017192768891304317,-0.010190010069210345,-0.0039110362584720134,0.001612648538193031,0.00196357381226239,0.005490532655968377,-0.007987143896538576,0.008092256998972041,-0.0008090868569208215,0.004677038397090611,-0.005542999408476977,0.005313073712624776,0.005987078124686595,0.0010244948762917624,0.0026938408501864324,8.953599621797654e-05,-0.0006125522044105982,0.0016595120303915627,-0.002878500794310707,-0.00010894639544638927,0.0001531137192208612,0.0009203900256073259,-0.0006346096016662389,2.813684550137344e-05,7.782412524651633e-05,-1.0646648181783225e-05,-0.0002739816067649459,-0.00017783214873876276,5.647929476049147e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45836,-0.01886609683938915,-0.4247607221111061,-0.0025680809270933855,-0.004132781462138242,-0.015538424474267516,0.005255327201617959,-0.17752064895430877,-0.08238014770760563,-0.010081136557997106,0.11654561693376499,-0.030117332519486846,0.011766092349493919,-0.02205832327854825,-0.010197125043519502,0.003878923193092743,-0.029429133554526393,0.02284504180189439,0.024767009366301104,0.004508823968514647,-0.0005849701890904294,0.01075892970694007,-0.011017839913149174,0.0417075086634324,-0.001849559795933413,0.009344741351726386,0.011054486967611325,-0.005023762409067957,-0.0009893556429676374,-0.0005041942002457895,-0.0005788552691014496,0.0019057067138859574,-0.005513632753483614,-0.000220196542407267,-0.00043757349992380344,0.0005264606772564276,0.0005140060236172339,0.00010422728968562304,0.0004262681464563169,-7.2189261475324234e-06,-5.8315483550650564e-05,-0.00015546733766205756,0.0001414608917275408,6.148154399590632e-05,1.7457107080140784e-05,-3.086703946770083e-05,1.9074991802573206e-05,-3.351294114388647e-05,4.917893809887625e-05,-7.130295513443948e-06,2.6293261918613914e-05,6.389830997498354e-06,-3.9530330448334145e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45837,-0.025578612278454694,-0.4680304629327042,-0.0019376207485724756,-0.007955213762908368,0.0008727565174882158,-0.012922691478873123,-0.04871324732464207,-0.012025899229850114,0.0036126196123895124,-0.07663445455987739,0.020991970919749397,-0.004693922123426712,0.0030136094484341704,0.0020193434469015685,-0.00040762228843150964,-0.0012525894314410818,-0.0014073082903846804,-0.0040148102686725,-0.0016388928806178613,0.0041392537355676665,-0.00839293322846836,-0.0017987208783841382,0.008196182046166964,0.0014871836686417698,-0.008237718307026576,-0.0034900350902416755,-0.005068857814982946,-0.0018785289950022902,-0.007218271535122445,0.0037292700143320098,0.0018894997824708349,-0.0047908175706566575,0.0019157376984211593,-0.0048488954418344716,0.004224273981617544,0.004371351617307176,0.0006998674459697081,0.0024352840964779504,-0.0005079326318232839,-0.00036754715814482246,-0.0011484027918992723,0.0017264916683935505,0.0010093347000249442,-1.2813742724293706e-05,-0.0021269770789143594,0.0008757453259322022,-8.016702639841295e-05,-0.00013355074700629752,9.723492252945244e-05,-0.0014836030798215396,-0.0008999779187323702,0.00037280056384032784,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45838,-0.0349128239997614,-0.4783166374293963,-0.001092656791300761,-0.009516572624720379,0.0036135313065733246,-0.015445700594907751,-0.0503107322968755,-0.01208851405537427,0.004131415506347772,-0.04915743387187991,0.01591032982944804,-0.0036418518208861917,-0.0030296441290017266,0.0021457777074692435,0.0004946448435222381,-0.011968657071470112,0.00018265989056887535,-0.019596814339759155,-0.0057656247738361996,0.006388975703753605,-0.017219035901796742,-0.002268949578771705,-0.020308774129837507,-0.002021040613063863,0.012263083656646929,0.0015905851343994254,-0.0012778586066663317,-0.0010202790951435454,-0.0010685094316160754,-0.000145075235312684,0.0019019637743074287,-0.003248123482516819,-0.0007544714602881228,-0.0019762560961382254,0.001899888890389622,0.0013099461267244746,0.0003496824440366902,0.000963512673561579,3.7079929154883766e-05,4.304899321409349e-05,0.0021143368924997695,-0.004470714735225066,-0.0010178408273527149,0.00042330067399293605,0.0032579556322486583,-0.001515936502371519,-7.340694851499815e-05,0.0004189032392274755,-8.52621444097546e-05,-0.00018135813395537653,-0.00026499687955457916,0.0001101289017155332,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45839,-0.06864748204819536,-0.4899509356210726,0.0032362381354084533,-0.014472815405185966,0.018415972845721208,0.007323113043397237,0.09555105285486369,0.057274332670738316,0.020945548139735648,0.050537919241785245,-0.01068917417925129,0.00456376611702166,-0.0008298151797932316,0.013566621889838088,-0.004156815322942742,-0.03434866956543915,-0.006802246477452826,-0.0018188022326429572,0.030019555141973204,-0.03686706564223916,0.07285961808508697,0.01254837649532374,-0.01567109224895477,-0.0024287292055196258,-0.01287645359080068,-0.008164184300466832,0.0023827004371458514,0.0006191780888771807,-0.0031974545710919127,0.0026357714095462293,-0.0009092064557578847,-0.0006588891793062762,0.0011106178904628635,0.0012474286071519792,-0.000931304216636461,8.115534479162852e-05,8.297276005713107e-05,-0.00010820639716773426,4.671670294374949e-05,4.0122498463881506e-05,-0.00021800023375823327,0.00035208322384066193,4.8670876786045e-05,9.063088754919593e-06,-0.00011190983466565723,5.320317684779533e-05,6.311258419743065e-06,-1.6983950294739495e-05,-2.929142525993637e-06,0.0001331659847107075,8.355827226055202e-05,-3.375167292067733e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45840,-0.08741391739382644,-0.5015776020014486,0.005580774344641999,-0.003831225422734998,0.032451522299531785,-0.01079630891179873,0.14365314528431586,0.01924298833337949,-0.020959883809011443,-0.010273063778498,-0.0050991395356917366,0.0010432066036595235,0.00822587103658097,-0.004493219911207234,0.00015609568897126936,0.057870815551626154,0.0008437613822999329,0.05108325207734543,0.0007637560535325181,0.0009419356413480873,-0.000729674618618656,-0.0002950618174831401,0.0020927970641826045,0.0026325607550725357,-0.0033479277504597847,-0.0054455718976781425,-0.005156366782648218,-0.003886807242759375,-0.017919576207618592,0.016003382188074577,-0.00942355106822295,0.0005112973707982477,0.0023124636396069627,8.754858614093896e-05,0.0002480831187775261,0.0022989742220849655,0.0005693638190358411,0.0013042991793802696,-0.00033482672497314167,-8.193507206327994e-05,-0.000603244147141964,0.00033701450994668667,0.00030770724993678134,0.00015622574503243106,-8.547672853470292e-05,-0.00012099576789754824,-9.3438661929345e-06,4.039679873774331e-05,-1.4997130704653808e-05,5.222580294450301e-05,7.413300226697017e-06,-1.1932311471436725e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45841,-0.1020942767785027,-0.5139647760938564,0.006770165253351262,-0.007511512376791706,0.03513644521076841,-0.014162403484919673,0.13447319557822546,0.02196915571564944,-0.016817554913362377,0.025801247461311707,-0.010390306893809537,0.0018154578374341582,-0.0006932962176545892,-0.003413036679339672,0.0014574779748912875,0.05188130229642375,0.00592573396989016,0.04657474323702169,-0.0028546600384342395,-0.0017216611951174324,0.0032598193631551663,-0.0017366051252887967,-0.02712047614066344,-0.0034893738502591873,0.0327613801668197,0.009844656814110167,0.00026409548522219315,-0.0003144265627982276,0.0031212312320386747,-0.004087090186700524,0.005481131292712857,-0.007294855608725803,-0.0026082033256911484,-0.0007744255400817946,0.0001952560886383443,-0.0007563502001602349,-5.079264221224252e-06,5.474723326957954e-05,-8.383472232679221e-05,0.0001221659307316982,-0.00015503755085496008,3.0270497591293293e-05,-9.743659508734766e-05,-4.051258035780841e-05,0.00016104129041547333,-2.1500245716916043e-05,-3.9276328356336006e-05,6.61038268405652e-05,-7.597244072233142e-06,2.558120932807053e-06,-5.996527242195024e-06,1.8869026775902256e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45842,-0.021917149804226987,-0.46117063115165385,-0.002306430009955036,-0.007104227025333074,-0.002114373293566973,-0.010613143573098553,-0.06883027925436375,-0.02216697502060487,0.002563042860080609,-0.08676049497778174,0.023448183404847153,-0.005390624003371706,0.003953404050691279,0.002850937871777436,-0.000676394888999412,-0.006697868604568863,-0.00028275451908468493,-0.002290308438976767,0.003120443521267382,-0.002804878648408242,0.00844328348388134,-7.03219604107323e-05,0.01904907080639538,0.00037129390214106007,-0.011928129516964028,-0.0005610966219549494,-0.003024623114151649,-0.00042708907322538725,-0.0036975535513057945,0.0011320834481235217,0.007421202811561627,-0.02217684941259045,-0.0050140868400101665,0.00859009299380158,-0.007622760823065822,-0.004837979965771433,-0.00022908291055829153,-0.002302223119987634,0.0012014983884056011,0.00020492197087229372,0.0013522484665385286,-0.0019387770746820232,-0.0006835809110688144,-2.901375427047742e-05,0.0012658227042565023,-0.0005101107811196972,3.718274985876216e-05,5.5782571916079764e-05,-2.071598877271914e-05,8.297924123227684e-05,3.331245871697015e-05,-1.1209639795792347e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45843,0.12307781531817538,0.05089340979160104,-0.10479968722749049,0.05477785038095076,-0.44397042710289975,-0.05378707199973459,0.03823799623112026,-0.013350015802773065,0.00429942773688286,0.004180297761004541,0.015290515491603325,0.006201238646732068,-0.01124437589746122,-0.010445469727693701,-0.006989760332756087,-0.004415409332790529,-0.019093129322502442,0.006717418561905172,0.0037712778081639116,0.005483947352476617,0.00313235696839294,-0.001246744372968331,0.0014251668509093877,0.014840298382554424,0.0035879229611012822,-0.006118964599531653,0.00808820049742809,-0.0007100407726396714,-0.004825316850432969,-0.002346751979410145,-0.0019342816982130392,-0.002644515143525545,0.007168222120896628,-0.007458819519274156,-0.002847927532975798,-0.006068753462978134,-0.0005847716854553379,-0.00225213132437442,-3.690508027403463e-05,0.00015805728978302345,0.0004581108690610904,-0.0003586761284325588,-0.0003418255645032169,-0.0003214187863726821,-0.00020834225011547112,0.0003186310529175909,-5.240192636469502e-05,-1.0549522073057028e-05,2.538990193386949e-06,0.00012506320893458542,9.426845627534629e-06,3.508547261406757e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
