Site	Species	Temp	Replicate	Sample	Geno	PAM
AF	Stylophora pistillata	30	B	AF1-30B	AF1	570
AF	Stylophora pistillata	30	B	AF2-30B	AF2	604
AF	Stylophora pistillata	30	B	AF3-30B	AF3	604
AF	Stylophora pistillata	30	B	AF4-30B	AF4	613
AF	Stylophora pistillata	30	B	AF5-30B	AF5	570
AF	Stylophora pistillata	30	B	AF6-30B	AF6	523
AF	Stylophora pistillata	30	B	AF7-30B	AF7	583
AF	Stylophora pistillata	33	B	AF1-33B	AF1	585
AF	Stylophora pistillata	33	B	AF2-33B	AF2	572
AF	Stylophora pistillata	33	B	AF3-33B	AF3	575
AF	Stylophora pistillata	33	B	AF4-33B	AF4	623
AF	Stylophora pistillata	33	B	AF5-33B	AF5	557
AF	Stylophora pistillata	33	B	AF6-33B	AF6	573
AF	Stylophora pistillata	33	B	AF7-33B	AF7	608
AF	Stylophora pistillata	36	B	AF1-36B	AF1	455
AF	Stylophora pistillata	36	B	AF2-36B	AF2	557
AF	Stylophora pistillata	36	B	AF3-36B	AF3	353
AF	Stylophora pistillata	36	B	AF4-36B	AF4	566
AF	Stylophora pistillata	36	B	AF5-36B	AF5	395
AF	Stylophora pistillata	36	B	AF6-36B	AF6	374
AF	Stylophora pistillata	36	B	AF7-36B	AF7	504
AF	Stylophora pistillata	39	B	AF1-39B	AF1	31
AF	Stylophora pistillata	39	B	AF2-39B	AF2	23
AF	Stylophora pistillata	39	B	AF3-39B	AF3	2
AF	Stylophora pistillata	39	B	AF4-39B	AF4	51
AF	Stylophora pistillata	39	B	AF5-39B	AF5	0
AF	Stylophora pistillata	39	B	AF6-39B	AF6	1
AF	Stylophora pistillata	39	B	AF7-39B	AF7	17
ExT	Stylophora pistillata	30	B	ExT1-30	ExT1	366
ExT	Stylophora pistillata	30	B	ExT2-30	ExT2	585
ExT	Stylophora pistillata	30	B	ExT3-30	ExT3	531
ExT	Stylophora pistillata	30	B	ExT4-30	ExT4	396
ExT	Stylophora pistillata	30	B	ExT5-30	ExT5	434
ExT	Stylophora pistillata	30	B	ExT6-30	ExT6	514
ExT	Stylophora pistillata	30	B	ExT7-30	ExT7	531
ExT	Stylophora pistillata	33	B	ExT1-33	ExT1	441
ExT	Stylophora pistillata	33	B	ExT2-33	ExT2	455
ExT	Stylophora pistillata	33	B	ExT3-33	ExT3	533
ExT	Stylophora pistillata	33	B	ExT4-33	ExT4	346
ExT	Stylophora pistillata	33	B	ExT5-33	ExT5	570
ExT	Stylophora pistillata	33	B	ExT6-33	ExT6	540
ExT	Stylophora pistillata	33	B	ExT7-33	ExT7	572
ExT	Stylophora pistillata	36	B	ExT1-36	ExT1	402
ExT	Stylophora pistillata	36	B	ExT2-36	ExT2	269
ExT	Stylophora pistillata	36	B	ExT3-36	ExT3	506
ExT	Stylophora pistillata	36	B	ExT4-36	ExT4	457
ExT	Stylophora pistillata	36	B	ExT5-36	ExT5	526
ExT	Stylophora pistillata	36	B	ExT6-36	ExT6	496
ExT	Stylophora pistillata	36	B	ExT7-36	ExT7	354
ExT	Stylophora pistillata	39	B	ExT1-39	ExT1	36
ExT	Stylophora pistillata	39	B	ExT2-39	ExT2	67
ExT	Stylophora pistillata	39	B	ExT3-39	ExT3	195
ExT	Stylophora pistillata	39	B	ExT4-39	ExT4	11
ExT	Stylophora pistillata	39	B	ExT5-39	ExT5	42
ExT	Stylophora pistillata	39	B	ExT6-39	ExT6	102
ExT	Stylophora pistillata	39	B	ExT7-39	ExT7	27
PrT	Stylophora pistillata	30	B	PrT1-30	PrT1	488
PrT	Stylophora pistillata	30	B	PrT2-30	PrT2	470
PrT	Stylophora pistillata	30	B	PrT3-30	PrT3	438
PrT	Stylophora pistillata	30	B	PrT4-30	PrT4	558
PrT	Stylophora pistillata	30	B	PrT5-30	PrT5	540
PrT	Stylophora pistillata	30	B	PrT6-30	PrT6	448
PrT	Stylophora pistillata	30	B	PrT7-30	PrT7	507
PrT	Stylophora pistillata	33	B	PrT1-33	PrT1	526
PrT	Stylophora pistillata	33	B	PrT2-33	PrT2	512
PrT	Stylophora pistillata	33	B	PrT3-33	PrT3	509
PrT	Stylophora pistillata	33	B	PrT4-33	PrT4	512
PrT	Stylophora pistillata	33	B	PrT5-33	PrT5	565
PrT	Stylophora pistillata	33	B	PrT6-33	PrT6	560
PrT	Stylophora pistillata	33	B	PrT7-33	PrT7	550
PrT	Stylophora pistillata	36	B	PrT1-36	PrT1	525
PrT	Stylophora pistillata	36	B	PrT2-36	PrT2	477
PrT	Stylophora pistillata	36	B	PrT3-36	PrT3	483
PrT	Stylophora pistillata	36	B	PrT4-36	PrT4	507
PrT	Stylophora pistillata	36	B	PrT5-36	PrT5	586
PrT	Stylophora pistillata	36	B	PrT6-36	PrT6	376
PrT	Stylophora pistillata	36	B	PrT7-36	PrT7	539
PrT	Stylophora pistillata	39	B	PrT1-39	PrT1	113
PrT	Stylophora pistillata	39	B	PrT2-39	PrT2	102
PrT	Stylophora pistillata	39	B	PrT3-39	PrT3	105
PrT	Stylophora pistillata	39	B	PrT4-39	PrT4	138
PrT	Stylophora pistillata	39	B	PrT5-39	PrT5	177
PrT	Stylophora pistillata	39	B	PrT6-39	PrT6	26
PrT	Stylophora pistillata	39	B	PrT7-39	PrT7	184
ICN	Stylophora pistillata	30	A	ICN1-30	ICN1	603
ICN	Stylophora pistillata	30	A	ICN2-30	ICN2	549
ICN	Stylophora pistillata	30	A	ICN3-30	ICN3	600
ICN	Stylophora pistillata	30	A	ICN4-30	ICN4	431
ICN	Stylophora pistillata	30	A	ICN5-30	ICN5	596
ICN	Stylophora pistillata	30	A	ICN6-30	ICN6	590
ICN	Stylophora pistillata	30	A	ICN7-30	ICN7	592
ICN	Stylophora pistillata	33	A	ICN1-33	ICN1	341
ICN	Stylophora pistillata	33	A	ICN2-33	ICN2	477
