Treated,Untreated,Conditions,Comparison
33_ICN,30_ICN,condition_33_ICN_vs_30_ICN.txt,Temperatures (Site Specific)
36_ICN,30_ICN,condition_36_ICN_vs_30_ICN.txt,Temperatures (Site Specific)
36_ICN,33_ICN,condition_36_ICN_vs_33_ICN.txt,Temperatures (Site Specific)
33_AF,30_AF,condition_33_AF_vs_30_AF.txt,Temperatures (Site Specific)
36_AF,30_AF,condition_36_AF_vs_30_AF.txt,Temperatures (Site Specific)
36_AF,33_AF,condition_36_AF_vs_33_AF.txt,Temperatures (Site Specific)
33_ExT,30_ExT,condition_33_ExT_vs_30_ExT.txt,Temperatures (Site Specific)
36_ExT,30_ExT,condition_36_ExT_vs_30_ExT.txt,Temperatures (Site Specific)
36_ExT,33_ExT,condition_36_ExT_vs_33_ExT.txt,Temperatures (Site Specific)
33_PrT,30_PrT,condition_33_PrT_vs_30_PrT.txt,Temperatures (Site Specific)
36_PrT,30_PrT,condition_36_PrT_vs_30_PrT.txt,Temperatures (Site Specific)
36_PrT,33_PrT,condition_36_PrT_vs_33_PrT.txt,Temperatures (Site Specific)
30_AF,30_ICN,condition_30_AF_vs_30_ICN.txt,Sites (Temperature Specific)
30_ExT,30_ICN,condition_30_ExT_vs_30_ICN.txt,Sites (Temperature Specific)
30_PrT,30_ICN,condition_30_PrT_vs_30_ICN.txt,Sites (Temperature Specific)
30_ExT,30_AF,condition_30_ExT_vs_30_AF.txt,Sites (Temperature Specific)
30_PrT,30_AF,condition_30_PrT_vs_30_AF.txt,Sites (Temperature Specific)
30_PrT,30_ExT,condition_30_PrT_vs_30_ExT.txt,Sites (Temperature Specific)
33_AF,33_ICN,condition_33_AF_vs_33_ICN.txt,Sites (Temperature Specific)
33_ExT,33_ICN,condition_33_ExT_vs_33_ICN.txt,Sites (Temperature Specific)
33_PrT,33_ICN,condition_33_PrT_vs_33_ICN.txt,Sites (Temperature Specific)
33_ExT,33_AF,condition_33_ExT_vs_33_AF.txt,Sites (Temperature Specific)
33_PrT,33_AF,condition_33_PrT_vs_33_AF.txt,Sites (Temperature Specific)
33_PrT,33_ExT,condition_33_PrT_vs_33_ExT.txt,Sites (Temperature Specific)
36_AF,36_ICN,condition_36_AF_vs_36_ICN.txt,Sites (Temperature Specific)
36_ExT,36_ICN,condition_36_ExT_vs_36_ICN.txt,Sites (Temperature Specific)
36_PrT,36_ICN,condition_36_PrT_vs_36_ICN.txt,Sites (Temperature Specific)
36_ExT,36_AF,condition_36_ExT_vs_36_AF.txt,Sites (Temperature Specific)
36_PrT,36_AF,condition_36_PrT_vs_36_AF.txt,Sites (Temperature Specific)
36_PrT,36_ExT,condition_36_PrT_vs_36_ExT.txt,Sites (Temperature Specific)
