Sample Name CBASS84	Temp	Reef Site Name
S1_E_ST_30B	30	Exposed
S2_E_ST_30B	30	Exposed
S3_E_ST_30B	30	Exposed
S4_E_ST_30B	30	Exposed
S5_E_ST_30B	30	Exposed
S6_E_ST_30B	30	Exposed
S7_E_ST_30B	30	Exposed
S1_E_ST_33B	33	Exposed
S2_E_ST_33B	33	Exposed
S3_E_ST_33B	33	Exposed
S4_E_ST_33B	33	Exposed
S5_E_ST_33B	33	Exposed
S6_E_ST_33B	33	Exposed
S7_E_ST_33B	33	Exposed
S1_E_ST_36B	36	Exposed
S2_E_ST_36B	36	Exposed
S3_E_ST_36B	36	Exposed
S4_E_ST_36B	36	Exposed
S5_E_ST_36B	36	Exposed
S6_E_ST_36B	36	Exposed
S7_E_ST_36B	36	Exposed
S1_P_ST_30B	30	Protected
S2_P_ST_30B	30	Protected
S3_P_ST_30B	30	Protected
S4_P_ST_30B	30	Protected
S5_P_ST_30B	30	Protected
S6_P_ST_30B	30	Protected
S7_P_ST_30B	30	Protected
S1_P_ST_33B	33	Protected
S2_P_ST_33B	33	Protected
S3_P_ST_33B	33	Protected
S4_P_ST_33B	33	Protected
S5_P_ST_33B	33	Protected
S6_P_ST_33B	33	Protected
S7_P_ST_33B	33	Protected
S1_P_ST_36B	36	Protected
S2_P_ST_36B	36	Protected
S3_P_ST_36B	36	Protected
S4_P_ST_36B	36	Protected
S5_P_ST_36B	36	Protected
S6_P_ST_36B	36	Protected
S7_P_ST_36B	36	Protected
ES1_30A	30	ICN
ES2_30A	30	ICN
ES3_30A	30	ICN
ES4_30A	30	ICN
ES5_30A	30	ICN
ES6_30A	30	ICN
ES7_30A	30	ICN
ES1_33A	33	ICN
ES2_33A	33	ICN
ES3_33A	33	ICN
ES4_33A	33	ICN
ES5_33A	33	ICN
ES6_33A	33	ICN
ES7_33A	33	ICN
ES1_36A	36	ICN
ES2_36A	36	ICN
ES3_36A	36	ICN
ES4_36A	36	ICN
ES5_36A	36	ICN
ES6_36A	36	ICN
ES7_36A	36	ICN
KS1_30A	30	AF
KS2_30A	30	AF
KS3_30A	30	AF
KS4_30A	30	AF
KS5_30A	30	AF
KS6_30A	30	AF
KS7_30A	30	AF
KS1_33A	33	AF
KS2_33A	33	AF
KS3_33A	33	AF
KS4_33A	33	AF
KS5_33A	33	AF
KS6_33A	33	AF
KS7_33A	33	AF
KS1_36A	36	AF
KS2_36A	36	AF
KS3_36A	36	AF
KS4_36A	36	AF
KS5_36A	36	AF
KS6_36A	36	AF
KS7_36A	36	AF
