"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic3262"	2500.06636828082	6.94273064635855	0.455905825390485	1.0935394212444e-27
"Smic35478"	358.839347989578	3.8704749094337	0.233159458481395	2.5946017467558e-16
"Smic40829"	1267.76906708065	3.96867537060297	0.248623578929786	5.74282476529135e-16
"Smic21195"	206.752374961192	12.4557707570621	1.46033974077641	1.0140899714415e-13
"Smic21447"	2798.45997849991	5.67013487568402	0.522631993860882	2.9920445239913e-13
"Smic14411"	263.018958026544	3.8460770064841	0.266412434638387	6.01540400373385e-13
"Smic11029"	354.56475252665	8.80630196082718	1.01353887504906	1.8554102712099e-12
"Smic3973"	24.4849383534998	4.97973326113672	0.445856693029465	3.08497228741095e-12
"Smic4156"	11.4874270201492	5.26736207817771	0.542913086976278	1.00721149275825e-10
"Smic19060"	63.4421763483605	4.46600373961006	0.41102915511107	1.89561171994725e-10
"Smic45535"	141.174045658919	8.92117000396792	1.18266110650305	3.92833381154022e-10
"Smic28909"	44.3795638961426	11.455277486079	1.63664835152496	6.76534707525356e-10
"Smic16727"	99.7155998789634	4.61780507021614	0.453313808483829	9.20785790545868e-10
"Smic33519"	18.4363150651799	5.22013952868708	0.55814911449044	1.13927665756337e-09
"Smic28717"	120.479721473871	6.35669060756705	0.758164676608587	1.36726694325716e-09
"Smic32004"	16.1007218971463	4.32403402388263	0.405777268761479	1.60057305726143e-09
"Smic4366"	29.4892058062829	4.89829123647216	0.509380082222427	1.88041687980289e-09
"Smic30347"	13.7382734449652	4.27964475596695	0.403471332890195	2.22143389042623e-09
"Smic27647"	21.9688917551483	5.55826050967388	0.630364145583474	2.53978574547012e-09
"Smic35843"	49.4436907569001	4.17803189817944	0.391940566737422	3.09874123511298e-09
"Smic1264"	10.5022925132431	7.10851894373816	0.919639463502924	3.61248467021447e-09
"Smic42618"	188.173481331662	4.72840678897475	0.493030479911817	4.15986148498316e-09
"Smic39002"	15.905260395874	5.75632922259093	0.693790919204575	5.31726180810241e-09
"Smic5489"	11.8449291313247	4.68453121260376	0.501202953525439	6.86657862535135e-09
"Smic3627"	186.998706579903	3.27797977646736	0.238615595338764	8.29539561547637e-09
"Smic40834"	11.8898856420414	5.83088169315504	0.723772409412506	1.02911008091484e-08
"Smic28910"	42.1298567815097	6.71984077564057	0.898681387419258	1.26967500514097e-08
"Smic39007"	26.3338062593838	4.86597020617837	0.551790323564759	1.59197366758023e-08
"Smic17898"	5.10263137900846	5.36672524653676	0.649905797916584	1.91896767922535e-08
"Smic9682"	61.2044948281443	3.78359362365341	0.345437720961443	2.25942280394927e-08
"Smic4164"	8.47428349741199	4.9547192558202	0.576464773639897	2.66494972559589e-08
"Smic35935"	166.025740408445	4.21474712473804	0.433143911200622	3.07661280173471e-08
"Smic14983"	20.9913253838496	4.49505887505541	0.489424710303304	3.50363310128404e-08
"Smic12167"	126.935350871284	3.32086127575882	0.259213345558456	3.91167492942272e-08
"Smic21196"	40.884391139077	12.6188035614274	2.10363255082665	4.43824099212151e-08
"Smic38614"	87.3826822730776	3.7594414132022	0.349678845632655	4.99054351564497e-08
"Smic32000"	74.6165677829874	3.55710993812354	0.312150542845835	5.67868355547672e-08
"Smic2822"	13.232470547796	5.49867372890437	0.705264603313265	6.45299372445189e-08
"Smic5887"	22.1756667307111	4.85561282638372	0.577605209248968	7.26934649744279e-08
"Smic17696"	19.5917579431298	4.55991070923472	0.519023920569944	8.10416160668857e-08
"Smic41482"	33.3312709265467	12.9441872690647	2.21991029750858	8.90923111620411e-08
"Smic33352"	404.62714834834	3.06516844087196	0.216641614586136	9.74474410297312e-08
"Smic37528"	40.0290374788498	3.68930263923226	0.344184539971643	1.05872926714104e-07
"Smic38099"	13.0463739872406	4.43288333917874	0.497171043120827	1.14726016488485e-07
"Smic41412"	401.549657280802	5.71453016712688	0.763402908729668	1.24845628943853e-07
"Smic37340"	82.9012647828594	3.80135279193686	0.371684065016063	1.35792733321326e-07
"Smic17489"	16.4333592731988	4.25007884735503	0.469512078521128	1.50437237624603e-07
"Smic23389"	8.14155336681502	5.1126795908464	0.652141601732772	1.66208452549651e-07
"Smic4659"	750.753973168126	-5.04146680806446	0.63771828633855	1.81680883836097e-07
"Smic20899"	50.0422141140141	9.00635602653383	1.47343478044023	1.97880334861291e-07
"Smic29682"	73.873168183275	3.62847529371505	0.344919350444225	2.16972555773724e-07
"Smic23908"	213.604065100141	3.32165488998937	0.280535252160294	2.36480240242608e-07
"Smic14227"	37.7370486338723	4.09881058632143	0.446043513260947	2.55921727165933e-07
"Smic48105"	27.8628905005664	4.0401304698049	0.433595048572051	2.74671073061692e-07
"Smic1975"	8.46830663313655	5.0473869810557	0.649540493202335	2.94319871716807e-07
"Smic1891"	26.9497090081353	3.80007576100756	0.385497149103666	3.16023607082552e-07
"Smic31101"	7.16570504860356	5.18353369853379	0.683350025269139	3.38390545205587e-07
"Smic3665"	214.005437354845	5.36187151511705	0.722380686806747	3.60638099810212e-07
"Smic4024"	10.1152298625606	4.75974045718509	0.595534068255078	3.8491232050227e-07
"Smic21637"	22.1359045312201	8.75468959990051	1.46097790639637	4.09955061132082e-07
"Smic23425"	31.0981122187615	4.21094465456895	0.485171025702969	4.45758336708384e-07
"Smic6770"	8.34475987365849	5.56246184935707	0.782116171326305	4.80834990808043e-07
"Smic34229"	596.58022638989	5.2743646516557	0.720746003117101	5.17213459226789e-07
"Smic44059"	13.3847925346329	4.0120451605564	0.442944176570763	5.52575848630977e-07
"Smic12833"	25.9810396474632	5.04663994235056	0.671821272479941	5.88406787536261e-07
"Smic27711"	194.966957855878	3.13531660878114	0.251911099068985	6.29346153516165e-07
