"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic37004"	4.19137102041368	1.57994049463009	0.742221411147355	0.714285793108232
"Smic41066"	18.2062590192901	0.516757813424082	1.36750103896216	0.787622278285212
"Smic6189"	6.28932486011242	1.24971614945937	0.535793352614567	0.831512091695065
"Smic17745"	6.89598853392813	0.911552540302174	0.577840071258652	0.866182498038903
"Smic35877"	18.8732809685731	0.821349296243487	0.564591076176345	0.889262771098615
"Smic4298"	35.5748871666112	0.294288862724296	0.788457734605855	0.905176128982934
"Smic27576"	53.0976543015337	0.341854700085545	0.760244273457153	0.916638231607851
"Smic39765"	17.4901036752923	0.7784670210261	0.510979606030226	0.926007065120472
"Smic23047"	47.2667963685639	0.473479112215614	0.627412412426168	0.933396693718545
"Smic16161"	20.0416357977671	0.638549123599036	0.537307011386767	0.939492925817767
"Smic24030"	38.6621663581607	0.657579124651657	0.511771603464306	0.944597490285557
"Smic18780"	3.74184850068906	0.787231792572681	0.454100692923591	0.948898980572872
"Smic37879"	14.3130349624123	0.74711888450076	0.464286223468169	0.952561941294741
"Smic30820"	9.8267883058022	0.829822538601607	0.430893955722593	0.95571417263736
"Smic2788"	7.8769902175512	1.05161667264167	0.345816255618638	0.958463284521965
"Smic30782"	15.2372132635318	0.861495773702383	0.411222869028628	0.96088338918038
"Smic27663"	6.64033617120796	0.674343583207107	0.459073638162323	0.963070219787907
"Smic263"	47.1585512612249	0.586353688158139	0.48026223622727	0.965031725353675
"Smic29534"	15.1882078691601	0.966870403877455	0.315344004815317	0.966844472825612
"Smic42684"	51.9338622436625	0.561604844529336	0.438238912923001	0.968476500595093
"Smic23758"	58.6807063404843	0.433082078200151	0.474228384029283	0.969954936861012
"Smic23795"	36.5080091244638	0.574528448819853	0.415411898617053	0.971306977691505
"Smic4407"	55.2126298754116	0.450632670354791	0.447531884185573	0.972542845531505
"Smic5645"	11.7623219638545	0.609346125600892	0.395075282270433	0.973677902122002
"Smic7113"	22.7353383918548	0.599648714853255	0.392735146209751	0.974723526589676
"Smic1854"	12.6203172029324	0.899634616805363	0.302221456993682	0.975690474389468
"Smic12891"	66.6171348009974	0.488480131945047	0.414937132874574	0.976585832346892
"Smic22209"	42.8895620374331	0.481132585836685	0.416297312493815	0.977417342629908
"Smic15889"	16.4593241249929	0.486326424391903	0.405790226320001	0.978192756031827
"Smic18363"	13.5099005979617	0.503991769391793	0.388025413136523	0.978917738793561
"Smic3663"	18.7598382398894	0.656995677518514	0.343324559964698	0.979596333916488
"Smic39263"	27.2362844279663	0.538450453488365	0.37349781031337	0.980232524991732
"Smic3535"	19.933305366915	0.501195668724312	0.37440565676766	0.980830592370743
"Smic17899"	16.6936674971768	0.615028857295714	0.34507961637485	0.981393518634305
"Smic5869"	27.1037801782616	0.780101815110963	0.302326947958299	0.981924352453129
"Smic21096"	69.0099520721014	0.323317023342457	0.401735791511126	0.982426037344763
"Smic8093"	33.3798819455619	0.440931339709871	0.367984482930403	0.982900702889691
"Smic381"	34.3457182344092	0.653010341205387	0.304992685228732	0.983350552382166
"Smic27090"	29.7604023759789	0.544270035817911	0.326911662992657	0.983777352721068
"Smic27819"	38.9241493251507	0.601284229579471	0.313113144428497	0.984182819806096
"Smic14121"	94.6518127005921	0.457636974244767	0.344061409838017	0.984568514853003
"Smic6200"	29.0121501971764	0.745390084215636	0.278951634904608	0.984935849346664
"Smic8361"	88.7235307484234	0.409769139841579	0.349654602449504	0.985286115458527
"Smic24931"	51.4061930766781	0.608140016394123	0.302250825880099	0.98562047505048
"Smic18663"	48.4952949943708	0.427156668979635	0.334177295057775	0.985939992064257
"Smic3361"	17.6757307439102	0.705116651744968	0.257650186976566	0.986245638959709
"Smic14328"	59.6735736974584	0.364121390830397	0.316280188454661	0.986538282478671
"Smic35890"	69.8255243173785	0.416073978826208	0.305567367757548	0.986818732659396
"Smic30704"	123.361009338111	0.561497494604463	0.274750760577833	0.987087736437844
"Smic27668"	115.108373726569	0.369738725256263	0.309758414668093	0.98734598029192
"Smic5253"	22.6600662585796	0.543204778060894	0.27379102186038	0.987594097312711
"Smic38713"	50.9583523663445	0.289439471015009	0.315051135122407	0.987832671820911
"Smic15165"	41.8099656047456	0.408275633068591	0.292774602244947	0.988062243538631
"Smic28391"	105.506424315496	-0.395643918039758	0.294337862136354	0.988283312638252
"Smic8058"	36.936888085404	-0.531222427119436	0.269063060111636	0.988496342881919
"Smic33301"	39.2792264927069	-0.362741574842652	0.297417558072055	0.988701765000683
"Smic6986"	36.0332429279123	0.427056708277376	0.285059349628735	0.988899979348937
"Smic2152"	58.3219656382487	0.347774577522016	0.296123289279328	0.989091358807417
"Smic27827"	51.7383810073414	0.610815399878717	0.248237490765743	0.989276250845332
"Smic3474"	54.5090063112619	0.50029126160818	0.264471482210023	0.98945497987932
"Smic35879"	98.8342589533209	0.608793291668632	0.243823444224635	0.989627848966707
"Smic1608"	40.0127141785905	0.660198406351494	0.232929638175989	0.989795141654167
