"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic45535"	141.174045658919	-3.18396241719702	1.27260676419387	0.176096430453342
"Smic47687"	136.565733929288	-2.72652811681419	1.00673788080235	0.205673236314613
"Smic24931"	51.4061930766781	0.504785089953683	0.357973596838976	0.470443898759352
"Smic1"	0.00438669788823116	-9.12061717798408e-09	0.00144269503521864	0.602832924069514
"Smic2"	0.537113209360763	-3.48081203932842e-07	0.00144269332961366	0.682266339255612
"Smic4"	139.911923542894	-2.02033719547483e-06	0.00144261395503637	0.735221949379676
"Smic5"	68.0137087443952	8.11465698644165e-07	0.00144268338539878	0.77304738518258
"Smic6"	14.6723283757081	-6.60347338862466e-07	0.00144266722713432	0.801416462034757
"Smic7"	32.9735194458601	-1.98528033022967e-06	0.00144265901779438	0.823481299586451
"Smic8"	56.996201301235	1.05758481500352e-06	0.00144268721879311	0.841133169627806
"Smic9"	5.97955922213543	-4.44126756896013e-06	0.0014426852622992	0.855575608752551
"Smic10"	86.0504347135237	-8.02601222803639e-07	0.0014426354314458	0.867610974689838
"Smic11"	42.6551254004753	-1.7178644162941e-06	0.00144264950466497	0.877794745867543
"Smic12"	147.142051063516	-2.10397652928376e-06	0.00144263087504376	0.88652369259129
"Smic13"	29.4851484574058	-4.87568766436064e-06	0.00144267501197533	0.894088779751871
"Smic14"	15.1323854458475	1.38917741723589e-06	0.00144268405688476	0.900708231017379
"Smic15"	198.793756078879	-1.47419477458857e-06	0.00144264054672978	0.906548923310474
"Smic16"	32.823310689542	6.38415419823151e-07	0.00144263845404188	0.911740649793225
"Smic17"	61.8732714369669	1.69845380015341e-06	0.0014426754801618	0.916385878751477
"Smic18"	111.683281527333	-6.90723994202885e-07	0.0014426932099591	0.920566584813903
"Smic19"	6.66468605935559	-2.11961342017908e-06	0.00144269437326331	0.924349128394193
"Smic23"	60.8715587344354	8.2244448514668e-07	0.00144267028494859	0.927787804376275
"Smic24"	151.447187978544	5.85710262930279e-07	0.00144268126972426	0.930927465055568
"Smic25"	56.3409097242108	4.3188154896415e-06	0.00144266490592164	0.933805487344919
"Smic26"	70.3269345692251	1.1265727181558e-06	0.00144262778629729	0.936453267851122
"Smic27"	19.3744439096694	-4.28398530409826e-07	0.00144266464037382	0.938897372933772
"Smic28"	273.837236351167	3.63356862449227e-06	0.0014426072326674	0.941160433195484
"Smic29"	83.8584124198639	-3.37985469495116e-06	0.00144264979482233	0.943261846295645
"Smic30"	33.469315203312	3.77893177156068e-06	0.00144268515071263	0.945218334354416
"Smic31"	62.2053163824466	7.53139854405921e-07	0.00144265959159083	0.947044389875935
"Smic32"	25.6098460258257	3.45861615982148e-06	0.00144267505813534	0.948752635363808
"Smic33"	10.7054186817729	-6.18902020197693e-06	0.00144266694768494	0.950354115508689
"Smic34"	593.543968930713	-9.15000386663207e-07	0.00144266271810667	0.95185853625085
"Smic35"	11.349375484214	-2.1019969152267e-06	0.00144267816704183	0.953274461655237
"Smic36"	187.448034027873	3.44413817450243e-06	0.00144265487349684	0.954609477036516
"Smic37"	15.3302833373252	7.25113013709659e-06	0.00144266908548697	0.955870324896613
"Smic38"	9.72302501632773	2.02968748278889e-06	0.00144268457365745	0.957063018818326
"Smic40"	74.0054685660269	-4.00742708639816e-06	0.0014426590529715	0.958192939375738
"Smic41"	122.240494312819	4.25417465427902e-06	0.00144263200892585	0.959264915289181
"Smic42"	50.2228333213244	-7.96893304237205e-07	0.00144266744684297	0.960283292406951
"Smic43"	55.2194944558714	-3.64283018586305e-06	0.00144265397735937	0.961251992592148
"Smic44"	0.491841225491819	1.40819226971277e-07	0.00144269315018248	0.962174564197097
"Smic45"	78.2930865690702	2.11534330481088e-06	0.00144267043615865	0.963054225494838
"Smic48"	107.44238709165	6.84393575037487e-07	0.00144267654547848	0.963893902188138
"Smic49"	19.8268625588402	2.29641366876944e-06	0.00144267383503541	0.96469625991729
"Smic50"	5.57172971571068	2.5433878514927e-06	0.00144268589205845	0.965463732527784
"Smic51"	13.2097370978431	-4.13313429152737e-07	0.00144267426462979	0.96619854672932
"Smic52"	2.78330132709734	4.84493805211482e-06	0.0014426913756959	0.966902743672459
"Smic54"	37.2467361809362	-2.89077576975287e-06	0.00144263973350689	0.967578197883226
"Smic55"	12.0726745274123	-7.16519392999652e-07	0.00144268355178368	0.968226633925561
"Smic56"	0.940960718267433	5.05085417611466e-07	0.00144269364848246	0.968849641103491
"Smic57"	42.8718854612132	-2.55485394695688e-06	0.00144267076776388	0.969448686466886
"Smic59"	4.15428882084815	1.16514506187439e-06	0.00144268877999713	0.970025126344869
"Smic60"	34.0003148850241	1.38882604378593e-07	0.00144264886392677	0.970580216597742
"Smic61"	27.960522851059	-1.9153369040195e-07	0.00144267226814142	0.97111512175051
"Smic62"	30.2880495664225	2.09580316928457e-06	0.00144266728753122	0.971630923147822
"Smic63"	16.9216540619448	-1.41861810913725e-06	0.00144267977180155	0.972128626250492
"Smic67"	3.50442945298945	3.07465184884481e-06	0.00144268839796196	0.972609167177208
