"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic32430"	139.213456517429	6.99633641849619	0.294315652943033	6.16940122630226e-65
"Smic28859"	71.3988543682182	4.9568306747306	0.36085557428918	6.3200232524383e-17
"Smic8133"	102.468170648379	5.14727650211458	0.395073068504449	3.14593406893184e-16
"Smic17498"	6.41204087803417	-5.54770506864765	0.474257963836249	9.47855173517432e-15
"Smic8136"	87.8472693063508	10.5266930431404	1.22330915309048	3.24103761992597e-13
"Smic13481"	29.2232641669486	8.45518898340459	0.933119632908018	6.52189811641654e-13
"Smic383"	88.9857157535273	3.98266204536494	0.292196762622147	1.38610839821801e-12
"Smic27726"	52.2521390354037	3.3196179559562	0.210691283897814	2.47734167871989e-11
"Smic45206"	36.4110741016853	8.10075912990278	0.978007452189697	4.66513382630653e-11
"Smic45457"	36.4110741016853	8.10075912990278	0.978007452189697	6.41536754437585e-11
"Smic17295"	214.219013845687	4.83369453598317	0.454376009452107	7.86671725425132e-11
"Smic392"	193.895807647481	-12.7722697659375	1.79826640644279	1.59350041281393e-10
"Smic15474"	186.631558023784	4.28258797454213	0.394812258445257	4.31933793723432e-10
"Smic17294"	95.5852695514697	4.41765762322018	0.418596846575018	6.7489857595482e-10
"Smic40148"	42.687458579289	7.39932469487544	0.938821430041643	9.25326121302401e-10
"Smic47715"	46.2364122151149	-9.52834999047115	1.33134910973956	1.35542784116545e-09
"Smic28670"	13.7302503344364	6.43880726576448	0.80468003785387	2.29431898538513e-09
"Smic27724"	14.6665747659144	4.48080608869852	0.472794725104839	6.45861727874083e-09
"Smic22244"	4.79637134471873	-7.54830650224469	1.06278913147179	1.08141201859697e-08
"Smic30052"	57.0909757694988	3.91152664006527	0.374852995157441	1.87915564970914e-08
"Smic46865"	14.7476145584954	-9.91424471360341	1.58118567837462	3.11792945986605e-08
"Smic46023"	10.6542016376003	-7.54023394692301	1.11066604164661	4.36124478577594e-08
"Smic18146"	27.4432469716988	-5.82771636265667	0.767732283265052	5.51345015851021e-08
"Smic28154"	44.13284068924	-8.5642684942038	1.34098630465375	7.33066796317558e-08
"Smic29926"	50.9912064721412	4.03784969461438	0.423002508976468	9.94359435655859e-08
"Smic14785"	66.2985103995603	11.6680803314858	2.03121070252428	1.32884751551734e-07
"Smic7645"	17.8048706808859	-8.60335210109563	1.43723113575518	2.08295931411468e-07
"Smic13375"	17.3492930761299	4.2452909572867	0.500322291795332	3.2942795906228e-07
"Smic9419"	272.26370289282	9.59852443362277	1.70628395817978	4.6389013363935e-07
"Smic17918"	12.5890929191161	7.68294602833082	1.27703304513931	5.91466557559467e-07
"Smic39419"	48.7412026741595	3.2211714738351	0.27863520384037	7.61456886116994e-07
"Smic5803"	37.3421953118381	4.01444687827451	0.467232634261026	9.910872569636e-07
"Smic19781"	10.1152409055846	7.09254730774048	1.18609230861384	1.2274758864599e-06
"Smic19785"	22.8619332962513	4.6507773353282	0.62182349324867	1.48811214034228e-06
"Smic23724"	139.005034835503	5.45366496551285	0.811169328522252	1.74073547404228e-06
"Smic1776"	8.42271657043067	7.32423784006219	1.25996644169639	2.02321661683113e-06
"Smic37548"	102.464663583739	10.5216732122398	2.02364824902709	2.31203839772015e-06
"Smic24223"	8.64744492123964	4.50396180717845	0.596322258587037	2.60394146969766e-06
"Smic388"	80.4742773095811	10.3300720735001	2.01123889694297	2.97903072361614e-06
"Smic16387"	5.85203540273369	6.30046016802921	1.04808784910185	3.4140116133824e-06
"Smic42839"	8.97633854939318	4.07870136424446	0.508835568484048	3.86777375309652e-06
"Smic15475"	120.623945495301	3.6930892590118	0.415517016826434	4.32428206615316e-06
"Smic32429"	24.0144878299626	10.1517678311053	2.00595875590463	4.78517184911305e-06
