"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic3262"	2500.06636828082	7.5130779683506	0.45612626090728	6.20598057434629e-34
"Smic21447"	2798.45997849991	6.48204336142676	0.522922360934529	2.56152918896814e-18
"Smic33352"	404.62714834834	3.81779175358649	0.219002150423273	1.90103662318405e-17
"Smic40829"	1267.76906708065	4.04198567288793	0.249011815114551	4.42171568528826e-17
"Smic41734"	129.562950692163	3.81787786330947	0.246393305284111	1.61097201115172e-14
"Smic35478"	358.839347989578	3.72768994250763	0.234443056848774	2.77146346587207e-14
"Smic37528"	40.0290374788498	4.67329289363371	0.363110949060308	3.66777669080799e-14
"Smic42618"	188.173481331662	5.64324111960344	0.497488775388386	4.72188528373486e-14
"Smic30347"	13.7382734449652	5.0988491853423	0.439443984097516	1.40128553605421e-13
"Smic19060"	63.4421763483605	4.80104613187394	0.417777383637714	1.13564686343745e-12
"Smic38099"	13.0463739872406	5.62036400791528	0.542678333081307	2.18498024323777e-12
"Smic29682"	73.873168183275	4.34482379072571	0.354488803814418	3.55456700050353e-12
"Smic9238"	560.443803246517	4.10883977395689	0.322521612195657	5.66950069531438e-12
"Smic33519"	18.4363150651799	5.91513901444311	0.600268063953781	7.73700721442605e-12
"Smic38041"	22.4863731583764	5.15481622278024	0.486151919248093	1.00945438535157e-11
"Smic35456"	33.5715965945908	5.27878919897657	0.512723841345602	1.4485850471693e-11
"Smic14411"	263.018958026544	3.6890066079617	0.268349278824547	2.27298330165048e-11
"Smic32004"	16.1007218971463	4.62417966172184	0.419880110749193	3.28808838324877e-11
"Smic32000"	74.6165677829874	3.97891699170612	0.317071738366189	4.25752858159147e-11
"Smic35843"	49.4436907569001	4.49772052407443	0.401758160356565	5.31172662986949e-11
"Smic39895"	218.897738575782	3.26825941942577	0.20434613194547	6.34932690489252e-11
"Smic41412"	401.549657280802	6.7234790817562	0.763169349080332	7.43423183346315e-11
"Smic37340"	82.9012647828594	4.33541086104851	0.378942673601628	8.66306489808466e-11
"Smic3627"	186.998706579903	3.49057915378123	0.242656642578917	9.99178616960245e-11
"Smic3973"	24.4849383534998	4.74139105590096	0.452223079038257	1.22803536413483e-10
"Smic4164"	8.47428349741199	5.81686303974321	0.629772717222894	1.44143984291099e-10
"Smic27647"	21.9688917551483	5.93183169682838	0.652540573879689	1.70040495774849e-10
"Smic9682"	61.2044948281443	4.12038679325292	0.355816451675062	2.09226945054663e-10
"Smic25065"	104.098298587043	3.99765453517921	0.34181614772665	2.89752863790329e-10
"Smic3214"	26.20788377016	4.15740230733362	0.380465309199056	5.17492229513705e-10
"Smic27711"	194.966957855878	3.42735350874477	0.254761508213463	8.41173993884209e-10
"Smic36832"	52.8250068320832	3.65600387992029	0.299352931983413	1.30973054502801e-09
"Smic27456"	32.0221686638717	4.10170124559558	0.380255355869951	1.76338580366224e-09
"Smic10716"	130.714324249848	3.52431878958394	0.277097374660195	2.26680947432649e-09
"Smic14615"	288.619630904006	3.33681020159599	0.243552395333874	2.78015099523632e-09
"Smic386"	99.5869191123122	4.33583622772465	0.429670948099881	3.45829869551886e-09
"Smic28717"	120.479721473871	6.18201895094232	0.769397074315645	4.10345901885161e-09
"Smic48105"	27.8628905005664	4.43912526580263	0.450686253823839	4.81542051445298e-09
"Smic18578"	5.23040326964003	6.48392934160247	0.834673733641058	5.68984572874009e-09
"Smic40834"	11.8898856420414	6.12067620767676	0.770878374814839	6.67513423818167e-09
"Smic7443"	134.018001207837	3.77859685340993	0.333109941346702	7.64977363311537e-09
"Smic28909"	44.3795638961426	10.9637645038942	1.68375879679304	8.67832910534992e-09
"Smic18643"	152.498570292459	3.42713548923034	0.268941308541242	9.77596942710003e-09
"Smic1975"	8.46830663313655	5.68919411912914	0.697543742878504	1.09526238167514e-08
"Smic19564"	14.9330569238508	7.00730201637424	0.950834936437026	1.22566158241084e-08
"Smic2332"	49.3258599973407	3.69957720273684	0.324592231691122	1.37734322724181e-08
"Smic1891"	26.9497090081353	4.05451464214853	0.394971854502606	1.55814649634244e-08
"Smic12167"	126.935350871284	3.36855508446931	0.263372021407844	1.73747119338774e-08
"Smic43601"	16.625919116881	6.97415822586307	0.958044964774323	1.91431882944111e-08
"Smic5187"	252.035648375183	3.24400350025925	0.239743165056557	2.08757149928418e-08
"Smic40365"	640.969449778233	-4.4145193030975	0.469991293063009	2.31978544005632e-08
"Smic11701"	10.1504866763114	6.22554368282207	0.82273484610169	2.54506692519842e-08
"Smic30166"	7.22965645879397	7.63564397424491	1.09851506458164	2.77004276193088e-08
"Smic3316"	26.4079505629892	4.46682920040577	0.484758262166059	3.05242184967405e-08
"Smic4633"	34.9809619336157	3.51724437827354	0.29846113275881	3.33367786389097e-08
"Smic5887"	22.1756667307111	5.07693738205955	0.607194334371393	3.63409782404137e-08
"Smic4659"	750.753973168126	-5.21993666245098	0.637254243673249	3.95219595586802e-08
"Smic9858"	19.5922739788584	4.18724867528723	0.435685277564881	4.32892087454046e-08
"Smic6770"	8.34475987365849	6.12567387927145	0.823331070202095	4.71454037995701e-08
"Smic363"	326.788655096868	3.03712169957763	0.207111228812477	5.09533682843641e-08
"Smic8671"	12.9937273147325	4.45427940630929	0.494600297553882	5.58326720919299e-08
"Smic10093"	116.046872385668	3.38307507036055	0.279535996095022	6.09865870873001e-08
"Smic44059"	13.3847925346329	4.2963876140517	0.464790896626118	6.61968552786267e-08
"Smic39579"	17.3874293611525	3.98258032873151	0.402392043347247	7.16865410198422e-08
"Smic23425"	31.0981122187615	4.42533856353029	0.493389514233064	7.73898771432168e-08
"Smic12833"	25.9810396474632	5.42904884754531	0.69769818080608	8.29500267424027e-08
"Smic4378"	11.0671103386975	4.56351938274723	0.523643528450484	8.90279873744422e-08
"Smic17898"	5.10263137900846	5.26082681104444	0.671667853558202	9.6578744067368e-08
"Smic39002"	15.905260395874	5.49126086028252	0.720673102510034	1.04379515189919e-07
"Smic37920"	100.581642618449	3.22117706076394	0.254621988907374	1.14447919130589e-07
"Smic17696"	19.5917579431298	4.54160320510525	0.530204105585562	1.24370402849284e-07
"Smic23908"	213.604065100141	3.35410947366462	0.282569564309767	1.34102876268469e-07
"Smic46159"	24.2873230324923	3.77691082629199	0.370844383802994	1.43602621501318e-07
"Smic23389"	8.14155336681502	5.19668271896043	0.674892645157467	1.56348222467263e-07
"Smic38360"	15.4946352085324	4.55466760907745	0.539947129821598	1.69133877917479e-07
"Smic37382"	27.7770745644678	3.48333127203318	0.314719343710408	1.82952617867256e-07
"Smic12502"	16.3553039230441	4.34383833469964	0.49771906760145	1.96728604396767e-07
"Smic1783"	25.3966503220298	4.2403249733428	0.476680250715253	2.10895835944147e-07
"Smic45984"	18.8910500781791	5.26126515836971	0.698170243881817	2.27182155732882e-07
"Smic4156"	11.4874270201492	4.55095381292748	0.546166169828301	2.43107420597958e-07
"Smic21637"	22.1359045312201	9.08457500605313	1.51827990975022	2.59047044553665e-07
"Smic14227"	37.7370486338723	4.11803603874046	0.454999374474527	2.7563991589158e-07
"Smic1710"	325.88179623587	-5.69818066806441	0.795465711280573	2.92404802544536e-07
