"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic1"	0.00438669788823116	4.63373262632718e-08	0.00144269503562145	1
"Smic2"	0.537113209360763	3.59032699979467e-07	0.00144269336130477	1
"Smic4"	139.911923542894	2.87882800066302e-06	0.00144260843246432	1
"Smic5"	68.0137087443952	-3.22994556972018e-07	0.00144268224156619	1
"Smic6"	14.6723283757081	1.803547730808e-07	0.00144266539237113	1
"Smic7"	32.9735194458601	-2.2150992629935e-07	0.00144265590650417	1
"Smic8"	56.996201301235	9.33900700552436e-07	0.00144268643802974	1
"Smic9"	5.97955922213543	-5.993199984964e-07	0.00144268137392649	1
"Smic10"	86.0504347135237	-1.66496726637285e-06	0.00144263102542346	1
"Smic11"	42.6551254004753	4.13030860711867e-07	0.00144264566041761	1
"Smic12"	147.142051063516	1.93868228725124e-06	0.00144262589029799	1
"Smic13"	29.4851484574058	-5.65337149001147e-06	0.00144267487212981	1
"Smic14"	15.1323854458475	1.30555698279477e-06	0.001442683168435	1
"Smic15"	198.793756078879	-7.77102115278622e-07	0.00144263592480274	1
"Smic16"	32.823310689542	-2.77420000135432e-06	0.00144263511801896	1
"Smic17"	61.8732714369669	1.82674894096801e-06	0.00144267381081025	1
"Smic18"	111.683281527333	-3.72582284784505e-07	0.00144269299632163	1
"Smic19"	6.66468605935559	-1.51111311197104e-06	0.00144269378118302	1
"Smic23"	60.8715587344354	-5.85081684765304e-06	0.00144267402946085	1
"Smic24"	151.447187978544	3.85454546209295e-07	0.0014426800458876	1
"Smic25"	56.3409097242108	2.29471488780342e-07	0.00144265846701812	1
"Smic26"	70.3269345692251	5.11357669526394e-06	0.00144262696783166	1
"Smic27"	19.3744439096694	-1.37174135562529e-06	0.00144266236710569	1
"Smic28"	273.837236351167	9.86773690538663e-07	0.00144259739403075	1
"Smic29"	83.8584124198639	1.66365662382669e-07	0.00144264437456965	1
"Smic30"	33.469315203312	1.23261291282429e-07	0.00144268103510816	1
"Smic31"	62.2053163824466	-2.36737068566445e-06	0.00144265748172542	1
"Smic32"	25.6098460258257	-1.80802590800159e-06	0.00144267128438074	1
"Smic33"	10.7054186817729	-6.46919575048204e-06	0.00144266490063467	1
"Smic34"	593.543968930713	-1.54660158328826e-06	0.00144266037708559	1
"Smic35"	11.349375484214	-3.69126814255898e-06	0.00144267842311527	1
"Smic36"	187.448034027873	2.46709901593915e-06	0.00144265006766761	1
"Smic37"	15.3302833373252	9.4742612368729e-06	0.00144267260201105	1
"Smic38"	9.72302501632773	9.41751421838053e-07	0.00144268289534693	1
"Smic40"	74.0054685660269	-2.21663890734012e-07	0.00144265348109423	1
"Smic41"	122.240494312819	5.12228910294368e-06	0.001442627724564	1
"Smic42"	50.2228333213244	3.16161510838076e-07	0.0014426651966551	1
"Smic43"	55.2194944558714	3.01378376231858e-06	0.00144265055256331	1
"Smic44"	0.491841225491819	-1.78372114621871e-07	0.00144269295021488	1
"Smic45"	78.2930865690702	1.2655041501481e-06	0.00144266764482542	1
"Smic48"	107.44238709165	1.37652115740361e-06	0.00144267525518841	1
"Smic49"	19.8268625588402	-2.17668669800997e-06	0.00144267152828444	1
"Smic50"	5.57172971571068	1.63529127575514e-06	0.00144268407064815	1
"Smic51"	13.2097370978431	9.51728773492412e-07	0.00144267291988854	1
"Smic52"	2.78330132709734	3.2696532953312e-06	0.00144268821703264	1
"Smic54"	37.2467361809362	6.40488080320548e-06	0.00144264246610861	1
"Smic55"	12.0726745274123	-3.34395501784298e-06	0.00144268450201316	1
"Smic56"	0.940960718267433	7.33400557090165e-07	0.00144269360210736	1
