"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic31710"	435.394912059444	-4.25993541584686	0.243372956689572	0
"Smic28717"	120.479721473871	8.15464139534645	0.754678535910333	8.70675368219178e-17
"Smic5135"	271.278174272099	-4.53399972298761	0.361393249586733	3.92299839624616e-13
"Smic8970"	283.285021405921	-3.81747997378229	0.259967437342481	6.34952325975922e-13
"Smic27697"	260.96961174377	-5.093414221875	0.453446004113012	1.40571040295313e-12
"Smic33268"	43.9671983923563	4.46792985247729	0.366709356413199	2.58592356159452e-12
"Smic29410"	191.840968976914	-4.46002860033728	0.368522747067569	3.97790645916382e-12
"Smic12060"	291.156993929778	-5.02150179466449	0.469373586286013	1.1081407634018e-11
"Smic22432"	275.655579394486	-6.31444678487886	0.670651375543874	1.67906870217599e-11
"Smic47687"	136.565733929288	8.03192857876948	0.940330369187133	2.21670658918211e-11
"Smic9379"	152.59226753422	-5.37748733757735	0.535596052018256	3.3164368158832e-11
"Smic24049"	470.813985086958	-3.17317250890525	0.188041527774537	4.876130789705e-11
"Smic37635"	145.870986101835	-4.26378331838285	0.379441164364307	1.38469593003805e-10
"Smic11159"	141.820572604711	-4.50719033432986	0.425293634295468	2.62233035237267e-10
"Smic22426"	140.619039291452	-4.98164517325579	0.515153082685546	4.82349233101909e-10
"Smic39460"	332.100741228218	-3.29934427223202	0.224965419714439	6.91610378646166e-10
"Smic10429"	178.448490600338	10.401865901009	1.48524482504148	1.10428301319014e-09
"Smic20710"	112.309907702939	4.88303799521584	0.511440679895968	1.52333968656053e-09
"Smic29979"	160.841332349005	-6.52788761000877	0.807639313900874	1.98702973146209e-09
"Smic3917"	143.493655313321	-4.7700240489283	0.498077663798167	2.55661085419355e-09
"Smic14118"	154.814807439995	-4.67817160892714	0.498236755530647	4.25523976166933e-09
"Smic14416"	131.33457311964	-5.15797350903732	0.591655393839344	6.20331122131949e-09
"Smic4631"	205.142929712868	-4.38126858647976	0.446519107127404	8.03413559646906e-09
"Smic34877"	153.266336553209	-4.08830785778959	0.394333195144283	1.01681208666414e-08
"Smic37828"	169.872954647861	-3.84249308000844	0.347938276619193	1.21357450871211e-08
"Smic20532"	205.434157705184	-4.70527208967279	0.51451168928633	1.44704714903358e-08
"Smic14391"	139.552509271399	6.89640287568923	0.933982633960326	1.68681649111792e-08
"Smic21195"	206.752374961192	12.7911938505967	2.0757686019938	1.98503984148476e-08
"Smic391"	25.7261655579912	9.53882576119619	1.45398991840026	2.28918353192242e-08
"Smic2180"	26.6951730394902	6.05144136146853	0.806554421933068	3.06007122975148e-08
"Smic47715"	46.2364122151149	9.62056190537732	1.53890087913925	4.14640874540566e-08
