"30_ICN"	"33_ICN"	"36_ICN"	"30_AF"	"33_AF"	"36_AF"	"30_ExT"	"33_ExT"	"36_ExT"	"30_PrT"	"33_PrT"	"36_PrT"
"30_ICN"	NA	108	2956	216	NA	NA	238	NA	NA	303	NA	NA
"33_ICN"	NA	NA	1995	NA	543	NA	NA	451	NA	NA	658	NA
"36_ICN"	NA	NA	NA	NA	NA	3249	NA	NA	2969	NA	NA	2846
"30_AF"	NA	NA	NA	NA	0	13	4	NA	NA	14	NA	NA
"33_AF"	NA	NA	NA	NA	NA	18	NA	6	NA	NA	9	NA
"36_AF"	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	16
"30_ExT"	NA	NA	NA	NA	NA	NA	NA	0	9	3	NA	NA
"33_ExT"	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA
"36_ExT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
"30_PrT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2
"33_PrT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
"36_PrT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
