"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis11891"	136.496168380365	2.48395420143806	1.02872088432024	0.319019391630692
"Spis1631"	22.0905806518592	2.43989429565895	0.957249142259091	0.320971299783702
"Spis16817"	885.563002145379	1.2941577304671	1.06482974474649	0.462745087682696
"Spis16818"	1622.31876500332	1.06111203607229	0.529163507508107	0.587556855775955
"Spis7948"	44.9308939813048	-1.10178295469441	0.393148387702571	0.667812306695522
"Spis18119"	666.430816873422	0.983667445431648	0.346148044699215	0.72289996839336
"Spis6280"	350.56265199595	-1.14057001017137	0.289674473456897	0.762270804077715
"Spis9732"	1140.31272754928	0.311471217338227	0.539061606129463	0.791878569859879
"Spis6651"	230.617476859564	0.457553570055963	0.467122200196797	0.814949844580252
"Spis9300"	186.000654652681	0.445917574415918	0.378648004020941	0.833452832357874
"Spis23703"	384.520685811016	0.436233151655175	0.350163543161161	0.848593121401746
"Spis12084"	203.661222981064	0.470478615135375	0.332806058676946	0.861210181692498
"Spis9827"	104.935762737714	0.637271907590342	0.288871175642304	0.871886229697514
"Spis11657"	273.577019477488	0.475474656439755	0.308411798121997	0.881037185836673
"Spis15211"	656.665015694857	0.731002800798285	0.24795860766552	0.888968029809042
"Spis5210"	161.696821984641	0.427483201008253	0.304928721028424	0.895907520104086
"Spis16992"	377.944997267235	0.838699627109929	0.214779078363221	0.902030605271317
"Spis4089"	84.5424197028255	0.858006571944779	0.202252376667753	0.907473348967736
"Spis1.t1"	1152.65008219912	2.318029348854e-06	0.00144268050273169	0.912343172706276
"Spis2.t1"	336.128185177605	2.58784827700908e-06	0.00144269042186373	0.916726014070962
"Spis3"	806.48716356628	5.47710623631022e-08	0.00144267404138473	0.920691441972345
"Spis4"	174.837868067591	8.25241333244983e-07	0.00144267481878119	0.924296376428147
"Spis5"	130.011148716964	2.83613090225728e-07	0.00144268579674666	0.927587838322576
"Spis6"	1743.24306237813	-4.56161688807646e-06	0.00144266011585696	0.930605011725802
"Spis7"	21.6307089113227	1.50223709135439e-06	0.00144268751170055	0.93338081125677
"Spis8"	125.866397880822	6.92388660345997e-07	0.00144268289949251	0.935943087746894
"Spis9"	195.513769633721	-4.09974299871636e-07	0.00144267174394977	0.93831556597849
"Spis10"	655.025570636321	-2.80175564407889e-06	0.00144269330158449	0.940518581479259
"Spis11"	25.979965374562	3.50301829725865e-07	0.00144268679779374	0.942569664876526
"Spis12"	301.772403178231	7.05886884411052e-07	0.00144268407829449	0.944484009380641
"Spis13"	1.28475930311289	-7.1339365819719e-08	0.00144269489956788	0.946274847787717
"Spis14"	79.58418395771	2.29822394813763e-07	0.00144267072713754	0.947953758794351
"Spis15"	227.283353882384	-8.07053926802589e-08	0.00144268577591896	0.949530917618765
"Spis16"	2.2532841670706	5.76191807376127e-07	0.00144269423118369	0.951015302394683
"Spis17"	66.8830194005824	-9.89962883450049e-07	0.00144268571368382	0.952414865183407
"Spis18"	6.5265896961282	-4.99621668579505e-07	0.00144269221748044	0.953736674483868
"Spis19"	326.637278643082	-1.04463396198143e-07	0.00144267218978809	0.954987034632952
"Spis20"	188.143607346011	-1.01169982093319e-06	0.00144268485984622	0.956171586353138
"Spis21"	27.4178478718609	-6.6467308223653e-07	0.00144268689574044	0.957295391831263
"Spis22"	175.616560762815	-5.19039271639453e-07	0.00144267320710581	0.958363007035481
"Spis23"	128.640567453672	-7.34778565643598e-07	0.00144267564300495	0.95937854344925
"Spis24.t1"	86.1662308729241	-5.84290940443286e-07	0.00144267708501398	0.960345720986172
"Spis25"	5.4849412817554	-5.17213706162167e-07	0.00144269275876611	0.961267913521378
"Spis26"	80.9731692241041	1.98303853018953e-06	0.00144268372155414	0.962148188214074
"Spis27"	161.353494501568	2.28187041687466e-06	0.00144267408001306	0.962989339587094
"Spis28"	274.730913179016	-2.53505885695329e-07	0.0014426837924977	0.963793919161288
"Spis29"	430.877497386825	3.76048640097843e-07	0.00144267869702736	0.964564261306792
"Spis30"	1337.37518890849	9.47957136245465e-07	0.00144267835603752	0.965302505862901
"Spis31.t1"	167.906642710042	-6.30262357986421e-06	0.00144269052000815	0.966010617988148
"Spis32"	0.550436258549264	-3.39779237004621e-07	0.00144269483775482	0.966690405628385
"Spis33"	104.375869497273	-2.32327163905222e-07	0.00144267207490123	0.967343534929789
"Spis34"	282.278514579995	4.97172500843758e-07	0.00144268380670179	0.967971543873447
"Spis35"	22.1331715988424	5.36418626342767e-07	0.00144269332396769	0.968575854366401
"Spis36"	32.1941192567502	-5.71314884473437e-07	0.00144268943890997	0.969157782989245
"Spis37"	166.693275428242	1.92710015411998e-06	0.00144267789647764	0.969718550571259
"Spis38"	174.865487234283	1.21697630982403e-07	0.00144268383653285	0.970259290739629
"Spis39.t1"	45.7076735402206	-1.0392314231528e-07	0.0014426884023595	0.970781057568759
"Spis40"	42.7295346511464	1.80505926709624e-07	0.0014426880731632	0.971284832438263
"Spis41"	65.9379837783839	-1.68579035118706e-06	0.00144269017909728	0.971771530193546
"Spis42"	6.40255126766801	-6.11182443226519e-07	0.00144269112542472	0.972242004690321
"Spis43"	585.502649747182	3.93362086722618e-07	0.00144268370458575	0.972697053793758
"Spis44"	183.921453364492	-1.34652228232082e-06	0.00144268527777038	0.973137423893859
"Spis45"	1.57911946793387	1.03870904973727e-07	0.00144269491349127	0.973563813990782
"Spis46"	9.98734666420974	-2.33815000867169e-06	0.00144268996988057	0.973976879397176
"Spis47"	14.6210050488514	3.91647506477015e-08	0.00144269384468717	0.974377235098758
"Spis48"	20.7140536182147	-2.44976560052091e-07	0.00144268813165047	0.974765458809382
"Spis49"	4.69990248449111	-3.04462412952176e-07	0.00144269483405384	0.975142093752526
"Spis50"	183.730155251791	2.83524583968414e-06	0.00144267366470229	0.975507651197342
"Spis51"	100.004260326185	-7.9751269430585e-06	0.0014426802115774	0.975862612774192
"Spis52"	334.85528128214	2.89851925941705e-06	0.00144267195518628	0.976207432591704
"Spis53"	923.00389693186	6.15731810647617e-06	0.00144265088642538	0.976542539174919
"Spis54"	175.987710793544	4.44891528931762e-07	0.00144268177402331	0.976868337241934
"Spis55"	13.5947199659159	-1.1016682009016e-06	0.00144269003697866	0.97718520933451
"Spis56"	447.291337739102	-2.38114134078115e-07	0.00144268672398801	0.977493517316476
"Spis57"	162.115388686488	3.08750779238457e-06	0.00144268204913755	0.977793603752257
"Spis58"	5.06459868407535	-3.41121100831933e-08	0.00144269241674487	0.978085793176569
"Spis59"	84.3295890215413	-3.58987452798504e-06	0.00144267826385016	0.978370393265185
"Spis60.t2"	293.974944532274	7.74838450236875e-06	0.00144268491299128	0.978647695915631
"Spis61"	919.875596546486	1.72968764978944e-06	0.00144266841538785	0.978917978245813
"Spis62"	6.53221072499399	1.69436725898742e-06	0.00144269210381414	0.979181503517741
"Spis63"	1093.31401589444	-3.58875566938286e-06	0.00144262447995765	0.97943852199283
"Spis64"	113.107942043452	-1.23633367546244e-06	0.00144268710325996	0.979689271724625
"Spis65"	93.9898498883945	2.07197155310156e-06	0.0014426736020405	0.979933979294208
"Spis66"	2.14857871297443	2.29578541256389e-08	0.00144269369755111	0.980172860493086
"Spis67"	323.63067097307	5.37985196476412e-07	0.00144267509134126	0.980406120957873
"Spis68"	359.616719407712	3.21150270645451e-07	0.00144268706047417	0.980633956760689
"Spis69"	3616.62722194593	-5.05743921954542e-06	0.00144268115354138	0.980856554958842
"Spis70"	0.0695833058430475	-2.34582043987522e-08	0.00144269503105568	0.981074094107037
"Spis71"	1.89663495666404	-5.20927950744302e-07	0.00144269408899866	0.981286744735048
"Spis72"	169.509999817465	9.47721598079805e-07	0.00144266536912702	0.981494669793547
"Spis73"	5508.89396401743	-1.61006441530675e-08	0.00144269109049247	0.981698025070541
"Spis74"	538.312507062787	-2.83852649039482e-07	0.00144268708908934	0.981896959580644
"Spis75"	248.333959647298	-1.48138704633894e-06	0.00144266901255326	0.982091615929239
"Spis76"	495.161404045626	-8.08185449525375e-07	0.0014426792867486	0.982282130653396
"Spis77"	8.58941486142362	-2.05646263119036e-06	0.00144269359232683	0.982468634541255
"Spis78"	110.528730343165	4.57478303113899e-07	0.00144268902633017	0.982651252931451
"Spis79.t1"	60.7315035528688	-4.13418613985789e-06	0.00144268950249851	0.982830105994013
"Spis80"	175.767999266017	-9.21435160028478e-07	0.00144268973861516	0.983005308994074
"Spis81"	148.125593948063	-4.19729509633162e-07	0.00144267238294392	0.983176972539588
"Spis82"	56.9273477878254	-2.74141742676059e-07	0.00144269124999716	0.983345202814192
"Spis83"	440.168339727747	9.962276951092e-07	0.00144268634764987	0.98351010179623
"Spis84.t1"	92.1244498983868	2.86468594603813e-06	0.00144269160612216	0.983671767464895
"Spis85"	635.563378292555	1.68599367197281e-06	0.00144267291501089	0.983830293994362
"Spis86"	296.878572681049	1.15308893088898e-06	0.0014426721059477	0.983985771936724
"Spis87"	213.159499658288	-1.89265128615138e-06	0.00144268388670012	0.984138288394469
"Spis88"	29.6425903707459	-1.58486170849371e-06	0.00144268868194631	0.9842879271832
