"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis13684"	77698.9361065082	6.87848859512588	0.717555997895167	5.27629536257557e-12
"Spis9537"	25928.9615985852	5.7578853245	0.562270470869756	8.47419133197495e-12
"Spis6906"	7715.7144178843	6.2455772338262	0.708457682342099	3.49616481052884e-10
"Spis24169"	3962.5420922419	6.46761629002459	0.775892435241954	1.32594228835344e-09
"Spis22634"	57283.6498907471	4.51567708197638	0.614279188897056	4.2167031530644e-06
"Spis18282"	868.350826209499	4.57920663366084	0.723967424666037	3.41138700607402e-05
"Spis19109"	458.749350739938	4.90634013697447	0.921935648222673	0.000144894824133966
"Spis6594"	220024.407818387	3.73294329248401	0.55938573193561	0.000248577374032771
"Spis6735"	54.4331475895377	4.16062217291857	0.781424281075965	0.000537215226517964
"Spis10490"	109.981448359642	4.92012716792459	1.19157315722621	0.00119648901816092
"Spis20623"	1976.79716831154	3.98256704329832	0.811096917957676	0.00174740871240689
"Spis11098"	124.719971496106	3.58270214152887	0.804280109172244	0.0036470149310161
"Spis19390"	64.4600814208014	3.47434977229521	0.787716498228651	0.00572230198260067
"Spis3736"	321.526549339176	3.88816406146077	1.11930986740188	0.00858579969110567
"Spis18748"	1736.61410872544	3.09275771704019	0.658880509930187	0.0112539211588093
"Spis1598"	143.54408871514	2.96868665093969	0.825856292622323	0.0180760691918679
"Spis19922"	142228.730351163	2.65234633368842	0.625165470471632	0.0257400364411571
"Spis19923"	39373.8049386658	2.58008357257005	0.630717711455574	0.0342466788247075
"Spis19709"	32.2806555533628	2.57413993267509	0.661460029382908	0.0425863387443469
"Spis12605"	744.294159808471	2.54784905918484	0.725305474623614	0.0517082126152905
"Spis8913"	151.096064183686	2.51555247579724	0.824887633896695	0.0619119378342018
"Spis1774"	44.3136026725852	2.47229459729744	1.16163790722941	0.0746504658619796
"Spis6870"	36.0647371384267	2.333801417237	0.821122352774391	0.0862822211632902
"Spis14417"	50.2068082181703	-2.19451401193275	0.627782173498123	0.0984513000577006
"Spis7137"	2.16166265141141	2.56983319170335	1.92287988267582	0.109852601547569
"Spis24763"	11.3022362439315	2.31681551477282	1.25199385336084	0.121016549949846
"Spis8512"	267.823614662195	2.10177374110957	0.482286302208716	0.131957954354498
"Spis12282"	13.6661868850718	2.1329083172893	0.872702948186109	0.142940781853388
"Spis5594"	191.330820136651	2.09604334640457	0.644688514972424	0.153211311601235
"Spis18338"	26.906564919173	-2.0710804696101	0.603895083786687	0.163209313191479
"Spis9607"	1154.56458195519	2.06829752145063	0.78469637656985	0.172954854705887
"Spis17428"	24.8266394587361	2.03905586660747	0.752557501864303	0.182528302243936
"Spis5069"	230.154791442338	2.02582798783878	0.572869128699381	0.191603797670959
"Spis4091"	86.0361221597495	2.04271595982735	1.22367546696059	0.200264761986334
"Spis7590"	11.4984660522287	-2.02704350560852	0.866655769536518	0.208473004518112
"Spis16546"	2914.48485944022	1.99519124773224	0.730637415998621	0.216643911436445
"Spis4796"	171.428144532451	1.98525943971507	0.852522441486889	0.224488605117719
"Spis17836"	541.303254267673	1.98946413499905	0.419282987615585	0.232002686111956
"Spis1970"	286.630058796618	1.94658982505419	1.11009331483413	0.239366386436968
"Spis11732"	132.392507350297	1.93052578347355	1.21596387501491	0.246451757063256
"Spis5083"	1487.55450634433	1.96595826820457	0.496133126167503	0.253302972879474
"Spis15366"	33.9633942105694	1.90024824868712	0.72915098506922	0.260472132340775
"Spis5998"	9.89531679726731	1.75847559355658	0.916222075473992	0.268460208276855
"Spis13954"	57.7796950217526	1.61739327576482	1.20393804501234	0.276556116422537
"Spis23770"	547.356229400606	1.79111604234286	0.609153759500236	0.284503009927947
"Spis4247"	1042.74123545899	1.75565547077162	0.562368530288142	0.292840647432207
"Spis3903"	886.400480401806	1.61185722846324	0.855411015100353	0.300971604347022
"Spis13357"	61.1633754375936	-1.7037126309331	0.595318634440283	0.309089917554579
"Spis11555"	619.12371682168	1.67656948382602	0.542565722363772	0.317566657031322
"Spis4795"	330.352729481264	1.54491374739923	0.648900146221228	0.326384286714014
"Spis6990"	50.0012545865534	-1.61597783902374	0.544333935978793	0.3348816013011
"Spis24593"	21.7976139364107	-1.57793118565403	0.573368645787057	0.34323333066637
