"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis23072"	39.7600650110623	9.17286762837003	2.3287153398567	0.00103436985958508
"Spis7029"	155.457918552483	-4.23986984438209	0.792904942906567	0.00169960339099158
"Spis19109"	458.749350739938	4.51619598267513	0.937753169279334	0.00234836040107444
"Spis3683"	42.9580239320619	6.57988462130746	1.75858895477808	0.00291206338884881
"Spis15073"	9.94292425389905	3.70628660694389	0.673319948392549	0.00345688951479402
"Spis6103"	10.4611842936338	4.22059129825499	0.946332077010356	0.00445986009808576
"Spis12282"	13.6661868850718	3.79401855425863	0.815119877418995	0.00580425586793916
"Spis21631"	8.29319869014123	6.57636640549273	2.1011286559027	0.00691636159401741
"Spis21624"	3.14859374059207	6.37758014350848	2.1784639668132	0.00861933450347987
"Spis20725"	19.1446314408647	-3.3536407038761	0.69589524858807	0.0103450740089855
"Spis9537"	25928.9615985852	3.11254323181431	0.574335288354805	0.0118015887747879
"Spis19204"	28.9174023049647	3.63559659648168	0.883012916297785	0.0134841269229764
"Spis24041"	150.317926309474	3.58959424040934	0.932583739997296	0.0158425273183444
"Spis8994"	2.94065114970782	6.77976143076699	3.07270990618519	0.0189900093873841
"Spis20837"	33.0829403569736	3.01872924503337	0.668327737343513	0.0219718356030831
"Spis24979"	10.3192277854281	5.47523849872262	2.4616895003715	0.0255370260650517
"Spis13902"	14.7535847062928	2.74461833675038	0.638966872354169	0.0312077430367173
"Spis15366"	33.9633942105694	2.7932210427846	0.684179449063381	0.036315731434335
"Spis12109"	5.64447365435086	3.44988308127811	1.28772579229692	0.041251670011755
"Spis21924"	20.6350477965638	-2.83184791658146	0.748084442430987	0.0458428561475943
"Spis15666"	31.5729643807738	4.0730922978721	1.94614334068908	0.0504877532273329
"Spis19783"	81.0300740676172	-2.61286429631306	0.581401877283595	0.0548253640462867
"Spis13317"	95.269132943425	2.87018611018294	0.826021939001852	0.0587922487297041
"Spis13175"	129.635286948486	2.69362100357075	0.723947886587867	0.0633844005571391
"Spis7150"	21.7489849173022	3.09035235168826	1.16541473109547	0.0678386935075647
"Spis22059"	44.290898316719	2.77109673669493	0.902568613250677	0.072785646078864
"Spis21559"	35.3525685960999	-2.61323161778798	0.755647300208856	0.0778132237705066
"Spis12014"	160.4100954471	-2.44725534841766	0.58099628632522	0.0829165736241477
"Spis13879"	19.57557477012	2.58639920840098	0.827718300551677	0.0883102127741504
"Spis21427"	13.0456052683523	-2.44703842061484	0.652007078701237	0.0935822680634982
"Spis7151"	50.706879995323	2.33861914094506	0.547994926706707	0.0992187356959183
"Spis13570"	190.695117619656	2.31506630580127	0.53050634794997	0.104752224926711
"Spis23676"	1.32008605183761	5.27592381603518	5.64641946766571	0.11008996250231
"Spis10888"	84.5442652839782	-2.43724819609015	0.754800791115882	0.115122519905961
"Spis13748"	15.2388062027354	2.72434482611377	1.34704238447361	0.120272785134272
"Spis17228"	2.5706436250518	-2.57493112307854	1.11359200609479	0.125343752202179
"Spis21879"	526.496746079398	2.33225003682612	0.798613918146278	0.131109942515496
"Spis18736"	6.18120529511141	-2.3369390495231	0.91320568860068	0.137030146047757
"Spis8790"	23.6575142829396	2.17152194588193	0.50661762305349	0.142938847609941
"Spis18066"	3.46611489848611	2.32448265578577	0.968725923863245	0.148586084496143
"Spis23569"	146.499708269811	2.27957251459777	1.06107758521992	0.154622774966317
"Spis13504"	5.16145373026049	-2.21110803720565	0.839816997230286	0.160483245544791
"Spis16111"	174.133077781234	2.25092354275067	1.12401762242476	0.166324916710815
"Spis24382"	28.4003957426015	-2.14427623824456	0.737349195131939	0.172145593602527
"Spis7567"	165.1036440565	2.13899383921395	0.806962155108515	0.177911760897938
"Spis11940"	113.61572067412	2.10250914483429	0.721673912989015	0.183685913751022
"Spis11186"	11.8795469770945	2.2759117957908	2.20852343754334	0.189358326466411
"Spis3756"	309.252183693873	-2.08676248527085	0.809092965728971	0.194940477339504
"Spis21860"	47.4203662036655	-2.07519559138472	0.705698490848414	0.200300285405916
"Spis9703"	5.42102736807095	2.09595582682677	1.07145726507438	0.205580677238642
"Spis2431"	28.2818098499751	2.06920846234605	0.821647755915544	0.21069549267714
"Spis2020"	115.275698409931	-2.05788672237332	0.695245762986496	0.215621004015825
"Spis21053.t1"	326.005899288039	-2.04485310583817	0.660187285361283	0.22047563996839
"Spis16161"	64.3604375350965	2.04605987082663	1.04446151132302	0.225326325948356
"Spis4639"	66.8483692882378	2.00498510490544	0.535270041442549	0.230252840088002
"Spis111.t2"	117.043127680846	-2.00475875844983	0.711983432955173	0.235022138790591
"Spis20433"	1.97537487235162	1.85039811959029	4.73096202064379	0.239892157408814
"Spis22625"	27.3432932332452	-1.95229983614002	0.614895562407792	0.244909821983713
"Spis13659"	141.788451543543	1.92388601693786	0.855444873185911	0.249834222814676
"Spis22853"	7.94672093625993	1.89456545771284	0.999436245943427	0.254703787277297
"Spis2371"	20.3523356146478	-1.9265485822424	0.673855608744517	0.259436502820331
"Spis7126"	15.3147721300376	1.92899690565277	0.633803467242809	0.264035897881547
"Spis10089"	3.25853877911725	1.86327220853471	1.01215476030214	0.268634185268179
"Spis24557"	115.895380811206	1.86857176191487	0.912176458094161	0.273144309774492
"Spis6583"	2287.76243269147	-1.847030500246	0.83084170295696	0.277758058021351
"Spis21043"	30.3214057070446	-1.83589016409551	0.804417906690177	0.282350018043741
"Spis18339"	13.7686242101429	1.79364267426692	0.949992594657566	0.286881831558709
"Spis22842"	68.1355793305567	-1.84646459477165	0.697961565637207	0.291296149010855
"Spis2234"	7.56306344566652	1.19521239687279	3.4602151766602	0.295653558845304
"Spis23623"	69.7983656808843	-1.81408460195206	0.792757276537786	0.299897198688266
"Spis20431"	17.4053408249616	-1.81113514646292	0.755066981790264	0.304106485549003
"Spis22866"	268.492473951763	-1.81514067487499	0.713782770371426	0.308246350361869
"Spis21637"	466.406736336567	-1.85058624107683	0.504284443128865	0.312468937001316
"Spis12789"	242.333866358772	1.7325547617616	0.873016228427424	0.316629214631609
"Spis2630"	142.786983982788	-1.77402275742064	0.7361002889706	0.320681831055522
"Spis21862"	13.7039801033331	1.74352352755973	0.811903203939347	0.324672320663251
"Spis24261"	13.6194834266128	1.47277159860632	1.54361811023585	0.328685103364716
"Spis24987"	9.17347969363543	1.74858388153509	0.704385703077578	0.332668983464286
"Spis23511"	109.251032728063	1.78638079234537	0.569247259106068	0.336638600358654
"Spis20223"	28.3075167104054	1.26918444598692	1.78589565585805	0.340665731733996
"Spis7616"	209.10153024701	1.82417684316925	0.420872510897714	0.344632058854288
"Spis5873"	22.9824385687948	1.76171810096906	0.556716976475909	0.348547265924265
"Spis12648"	92.6561243460836	-1.69809751979673	0.672182013514016	0.352460358413769
"Spis18341"	77.8883981972485	-1.65350950899638	0.768301358471216	0.356288198553792
"Spis20009"	34.6322434588561	-1.67677939431738	0.709028347120281	0.360046645220062
"Spis22130"	40.4228112286995	1.66554692597643	0.719358030180971	0.363755523475474
"Spis18059.t1"	18.3625350642094	1.50349690478615	1.05123798747196	0.367409423398792
"Spis11918"	75.4240889622616	1.59772168251004	0.850898966541249	0.370982167026244
"Spis163"	278.159644945213	-1.83480029338582	0.348758457065378	0.374478274558937
"Spis24169"	3962.5420922419	1.46428475862823	1.10177861843922	0.37794626172474
"Spis17664"	509.069624826645	1.6344705757641	0.73890165523087	0.381370935258333
"Spis5998"	9.89531679726731	1.47933857267405	1.01076573793542	0.384799120284153
"Spis23712"	61.3751905384442	1.51487018076701	0.842855528112393	0.388377087392711
"Spis6906"	7715.7144178843	1.02641775835233	1.67495085814971	0.391899325229382
"Spis1511"	12.1872546804865	1.61477231213062	0.656020506147336	0.395368507850692
"Spis22621"	120.458456893425	1.67110234946463	0.556831008815427	0.398777437776441
"Spis19368"	118.837775038842	1.5981475692021	0.674522442312201	0.402133667188755
"Spis10758"	73.0157679241751	1.53044162737351	0.762646562714625	0.405488960204959
"Spis12693"	18.8845600554361	-1.61438041958885	0.615203716275094	0.408813416145697
"Spis21167"	15.1316281478372	1.13743493656574	1.36274970346315	0.412091480792752
"Spis23767"	78.9233083889558	1.52076525164609	0.75461719143675	0.415311452494887
"Spis5405"	207.428909662688	1.78942317373668	0.329989444431948	0.418478066914712
"Spis9791"	33.5920576801735	-0.537243753882436	2.28112617564893	0.421593013833928
"Spis19470"	108.139361077871	1.53278839694034	0.717146036459491	0.424679946819307
"Spis17597"	6.09862746258949	1.36813741495879	0.955610459883761	0.427737874123462
"Spis14659"	19.0780400452327	0.778256047828066	1.83047497154095	0.430756917630005
"Spis25813.Novel"	44.9805422390556	1.5898707634063	0.585758932895814	0.43381609202029
"Spis15932"	23.0560983239757	-1.44840980137398	0.753189662480766	0.436910564997296
"Spis8552"	10.2701393258598	1.31398614556991	0.929203460697477	0.439964856505053
"Spis23000"	207.625310842192	1.57177749756646	0.570634119192501	0.442997020795584
"Spis9554"	320.292678132882	-1.42872550493786	0.727064133971597	0.44606899818095
"Spis5775"	451.37038955724	1.55516627939316	0.547930970809394	0.449153730621532
"Spis20041"	61.6917560566677	-1.41191366670049	0.698445774944394	0.452259485359757
"Spis22805"	40.416479508963	-0.755161061416844	1.46301283584898	0.45533247411035
"Spis9167"	89.8733755586022	1.36131624985531	0.743389616886487	0.458371942384955
"Spis501"	55.3088218692273	1.2531783910448	0.865830136077535	0.461367076320192
"Spis15195"	46.755806057903	-1.46156329571643	0.623917521587687	0.464312053895064
"Spis14044"	1372.95969550757	-1.57073607042683	0.493462222602243	0.467223164495534
"Spis16513"	59.0877890439878	1.50186571642773	0.564728586769803	0.470113158949249
"Spis20201"	46.0653505323839	1.48112150037576	0.586619742253142	0.472960490564495
"Spis13130"	18.3040111193732	1.42569938454894	0.639493627537764	0.475790750601383
"Spis8059"	16.5385688545524	0.29441347025548	1.87965676582512	0.478594927841407
"Spis24317"	373.87844682846	1.64426743282532	0.391318486524655	0.481357092379925
"Spis21602"	962.972068565376	-1.2936973008435	0.774244998369759	0.4840814759398
"Spis19538"	102.146820204538	1.21212001262805	0.859779711255835	0.486770941585416
"Spis6908"	394.682236186141	-1.5105535977213	0.533643152686976	0.489419391485275
"Spis24726"	27.2951289092765	-1.26120070055119	0.796193986751975	0.492048166579994
"Spis15090"	80.8277759406845	1.40713727533009	0.630399342241871	0.494661134786847
"Spis5907"	78.7686176610095	-1.19266767446373	0.850822052568888	0.497250276846089
"Spis18344"	686.51305752256	-1.36344980563644	0.668277677097634	0.499806691824828
"Spis21663"	48.7078259392221	-1.19030461834023	0.846879023388629	0.502330972472521
"Spis10561"	17.3409305842563	-1.3384767488757	0.676288996282541	0.504858798535737
"Spis22937"	32.1480911336072	1.26811817290544	0.725924162463873	0.507403638040038
"Spis24433"	192.083055809809	-1.41466502709934	0.569660754196882	0.509944737668747
"Spis22983"	61.8846711963284	0.489412622658102	1.46978844136129	0.512448615531269
"Spis13936"	17.8367586571573	-1.18407814804222	0.793104805257857	0.514917419424186
"Spis8603"	35.4436700229388	-1.43856310327206	0.541306958118035	0.517364560857808
"Spis6041"	791.637440157736	-1.5519992712388	0.430823404672457	0.519780760141425
"Spis15603"	7.37562605175597	0.933341887231803	1.02512049646982	0.522163278062389
"Spis5069"	230.154791442338	1.34454988463888	0.62990472532903	0.524511817442716
"Spis19299"	205.090823718221	-1.41190985867069	0.560732996986011	0.526840543499237
"Spis13146"	2319.05591805982	1.66147494647963	0.3211647817403	0.529144982801694
"Spis18392.t1"	66.9069638289287	1.44545744119664	0.515341941400999	0.531452020668402
"Spis10437"	57.2071092053725	1.20320422407343	0.739423160106217	0.533729380593529
"Spis1180"	124.952014512528	-1.32244736511679	0.624439517089757	0.535986776958478
"Spis14326"	34.5429061366231	-1.0854445945328	0.835909319507415	0.538226874607447
"Spis8401"	207.730646784052	-1.39457551579626	0.552435014969968	0.540439229668114
"Spis9454"	131.032927565262	0.945352720182294	0.961642124423663	0.542622863164578
"Spis6067"	448.410228198887	-1.33576467791448	0.605133318909861	0.544778583540112
"Spis2481"	148.186840377735	-1.1058904570442	0.811604894129449	0.546911355727704
"Spis4518"	48.0953209019937	0.695652922990422	1.18293522024687	0.549017289706652
"Spis21142"	28.3430793140259	-1.30652449696493	0.622814096309022	0.551110883058265
"Spis19258"	35.7060537502566	-1.45705393677412	0.482362943687788	0.553194026532205
"Spis9723"	81.8564009713747	1.39506489414935	0.533788995351304	0.555260641444253
"Spis23948"	12.7144832432225	1.14835974037319	0.746947587882744	0.557309865141076
"Spis20714"	11.4978870377679	0.891866468098844	0.969402513750451	0.559336747421965
"Spis5987"	347.095263331061	-1.23969599182718	0.658804784300896	0.561352203705653
"Spis17841"	109.185627128955	1.48879060292658	0.441886519264749	0.563345792133825
"Spis25845.Novel"	17.54609854559	1.29479223008401	0.602232311681099	0.565332287277354
"Spis22299"	38.1885064728306	1.20065664006428	0.682603832486175	0.567293990566164
"Spis20012"	6.74803964505962	-1.00426687959269	0.847623370403379	0.569235951433027
"Spis661"	40.2047237407945	-1.1718985268401	0.703702037838726	0.57115645821172
"Spis4814"	74.1003989286592	-1.41635369284861	0.494521039433632	0.573057613171118
"Spis19751"	49.3520767876258	-1.29921599933819	0.593332515869011	0.574936640858931
"Spis14380.t1"	116.71572543907	-1.27370736261288	0.611256397177652	0.576801400459168
"Spis16700"	83.5364263463996	1.33765831127318	0.556616248290342	0.578645763289609
"Spis12135"	7.43661855340417	1.27383832027158	0.605753536180967	0.580478376152926
"Spis21553"	636.444647175535	-1.01927616012681	0.815705778187793	0.582293246100589
"Spis11730"	135.158715840587	1.43151749590707	0.463036900292495	0.584115328099989
"Spis4634"	299.192696139317	-1.00373554506713	0.796988252259665	0.585940278547782
"Spis8584"	27.7180376810531	-1.02952581811363	0.772788259632949	0.587750027344854
"Spis13533"	639.924011830228	-0.945052242783834	0.833793039195014	0.589548615723744
"Spis19389"	97.3746932699701	-1.29639474052477	0.551716222539451	0.591336768012132
"Spis11553"	112.238804193456	-1.15393445451321	0.658969968732332	0.593113081094311
"Spis22237"	188.252783325794	-1.30532372545048	0.539365923081686	0.594873110883966
"Spis11091"	18.4405897086693	1.22379455895707	0.601271801742915	0.59661609121378
"Spis20793"	187.152081598765	-0.915857696767045	0.836768705024894	0.59834395757431
"Spis13596"	72.72929690963	0.352916148456703	1.23679271198137	0.600086558099281
"Spis13895"	72.72929690963	0.352916148456703	1.23679271198137	0.601809688227324
"Spis20995"	72.72929690963	0.352916148456703	1.23679271198137	0.603513672465056
"Spis9217"	24.0346922546857	0.977887738506322	0.759249020310593	0.605211847600119
"Spis4014"	11215.2572099562	0.89071491519878	0.822534285236153	0.606893487217056
"Spis20264"	70.4773734623007	1.00525895003592	0.735841089025781	0.608559572545734
"Spis4742"	46.6681666595842	1.347954578987	0.480780495727565	0.610211345732325
"Spis16829"	1378.44880271233	-0.821340695267106	0.865917441912789	0.61184949917658
"Spis6950"	100.430924132715	1.22188633570865	0.566320711084392	0.613480825233149
"Spis24427"	16.7471731718371	-1.16734698883301	0.605602334007993	0.615095480863037
"Spis19523"	54.0643437550076	1.36616464901807	0.460873433844691	0.616693268020055
"Spis15665"	54.9957435440109	-1.47400636725134	0.379520099586639	0.618282816915528
"Spis17467"	182.507966242721	-1.21462200750188	0.557344732042793	0.619873978092043
"Spis5927"	68.2665220140297	0.842869182039663	0.81021392950084	0.621463014234286
"Spis895"	48.3626599391988	1.25345888306763	0.522145052155605	0.623036679631496
"Spis3108"	59.7243374507685	1.26151424838008	0.514544947656084	0.624598085149964
"Spis22377"	8.72022527199464	-0.870894602707242	0.785998867236804	0.626144348639397
"Spis5363"	31.754956140997	-0.696090180677793	0.904703766220233	0.627678192119701
"Spis12444"	215.097148714343	0.892162384080764	0.757632586407462	0.629211271345311
"Spis25807.Novel"	65.2696255262896	0.585360431536292	0.954600317313705	0.63074227487642
"Spis18319"	42.0974217308444	0.898522053220733	0.740695652554312	0.63226127306948
"Spis8848"	145.795809063276	1.45317277623384	0.367449537210128	0.633765723513253
"Spis18487"	152.192300370692	0.966097985818113	0.692888424440679	0.635257753415971
"Spis13849"	161.77279013555	1.21362104118513	0.525361676235467	0.636737972090408
"Spis2722"	436.232702622002	-0.933183170196622	0.707732173334343	0.63821027195925
"Spis2900"	86.7689868916912	1.06717231604818	0.618606416567114	0.639668430059893
"Spis3131"	85.604245185761	-1.07451964089529	0.610744015217853	0.64111689810151
"Spis10208"	222.049162579944	1.01414224313921	0.650047109342546	0.64255201289335
"Spis4312"	293.780635615841	0.551977685830749	0.945411424744681	0.643982310667107
"Spis11435"	72.0721236677613	1.10750489517661	0.579529289978762	0.645403768243096
"Spis22583"	160.762487571378	-1.08214385747312	0.592925948998846	0.646816203140709
"Spis17287"	529.602965565869	0.440197011543276	0.991848669909392	0.648229029005463
"Spis25367"	57.794887722297	-0.966056437637623	0.656724620051584	0.649629375776145
"Spis9473"	11.0263543253417	-0.826359315456057	0.742442958511988	0.651019928914903
"Spis12011"	80.0941938934595	-1.28568361144976	0.451718057779777	0.652397660238085
"Spis23508"	27.7302071775879	-1.23899468642928	0.480820058670081	0.653763200686103
"Spis10016"	105.975899871115	-0.967983236895813	0.641605520330135	0.65512942950081
"Spis2890"	86.0768648253729	0.536014442139992	0.894951763113144	0.656496557821173
