"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis6594"	220024.407818387	-6.04237589313526	0.593803767000068	4.96214180856214e-12
"Spis24169"	3962.5420922419	-7.54436767370038	0.852329234572801	2.19095852571627e-11
"Spis18282"	868.350826209499	-6.87523659007346	0.770324028281548	5.57821566715688e-11
"Spis23000"	207.625310842192	-5.35766491827213	0.538605623571206	9.86724590923416e-11
"Spis13684"	77698.9361065082	-6.77247651922082	0.773571685267956	1.47485690327187e-10
"Spis6906"	7715.7144178843	-6.73438416769289	0.772463540079407	1.96625919250219e-10
"Spis22634"	57283.6498907471	-5.8552338357652	0.659877146325971	5.36173994092337e-10
"Spis20623"	1976.79716831154	-6.79612206974451	0.824662813124847	8.46174436075486e-10
"Spis23770"	547.356229400606	-5.39791338150722	0.621206856048696	3.25435460061622e-09
"Spis19923"	39373.8049386658	-5.52079682450797	0.651137292195923	6.13069984778392e-09
"Spis19922"	142228.730351163	-5.42212625994249	0.647612774212983	1.1311714423731e-08
"Spis11098"	124.719971496106	-7.78907870280255	1.18132881277692	5.02034846842451e-08
"Spis4494"	856750.97695211	-5.1703665671207	0.653073177172293	9.27530566882021e-08
"Spis18748"	1736.61410872544	-5.41660833940052	0.734733886490547	2.04601164812056e-07
"Spis19090"	79.841595815618	-5.99402830954864	0.891792929312755	4.41349803651884e-07
"Spis19476"	89.0994875573444	4.24018958722369	0.508682995368837	7.46019951439545e-07
"Spis19925"	54827.3992894917	-5.22000345683647	0.741214617825601	1.11321841753306e-06
"Spis19390"	64.4600814208014	-6.03612361838027	0.958203662935459	1.75393131128089e-06
"Spis5083"	1487.55450634433	-4.03937406038693	0.515507776792561	3.66686955825769e-06
"Spis5264"	62.8600040784247	4.12502993611711	0.538581563284999	5.4734972697542e-06
"Spis9537"	25928.9615985852	-4.38819704724219	0.612357904797788	7.50313781475105e-06
"Spis9830"	1142.10737674292	-5.7116116920712	0.957715190887898	9.58054414083807e-06
"Spis22068"	403.890554324079	-6.86541491544905	1.30593253168454	1.33994738924413e-05
"Spis2862"	257.676152319118	4.83041901765167	0.770904353009882	1.78636126612275e-05
"Spis25770.Novel"	1044.32219415864	-3.98492904848473	0.553673790246046	2.38902352214001e-05
"Spis19701"	221.254133644474	-5.14965426354772	0.883107127553154	2.99271200906301e-05
"Spis4796"	171.428144532451	-4.84622258950806	0.802846587682937	3.60848064608387e-05
"Spis9065"	47.253239176096	4.09911285047611	0.603468248497643	4.38030073929675e-05
"Spis25750"	1682.23402820021	4.3878377700688	0.690457214742334	5.1663408063401e-05
"Spis11128"	536.709831992437	-4.09766328625023	0.610556519799544	5.97932451679803e-05
"Spis15401"	1957.66902653222	-4.10972365451899	0.623159553851889	6.93227621013373e-05
"Spis17587"	15.8871700361231	4.7427622467903	0.842906081479686	8.4940490154159e-05
"Spis12611"	152.843879963264	-5.06507860499337	0.950383819937807	0.000101446936236365
"Spis21853"	416.101806751389	-6.33057213926853	1.35698322462466	0.000119290074100707
"Spis11555"	619.12371682168	-3.71271471942912	0.53915561609834	0.000137164782599023
"Spis19082"	26.4071527216412	-4.88016487258932	0.916410208876969	0.000156590196028946
"Spis9762"	13.9455212813833	9.20786996628514	2.29748941728175	0.000175401622347845
"Spis14334"	109.842541756331	-4.81806410867291	0.902322606942902	0.000194330948576773
"Spis365"	15.3369589729895	4.67779506770332	0.858526730951627	0.000212608354643358
"Spis6349"	10.3336755150329	4.67883295995501	0.862769952541932	0.000231084338488372
"Spis1609.t1"	106.236164970429	4.15200417140724	0.704992877490246	0.000253122445487244
"Spis15596"	77.7361082833159	-3.69144836358288	0.554582036351982	0.000274343131905295
"Spis14025"	97.0721959536662	-4.16024738829665	0.709012587621753	0.00029485391267348
"Spis5419"	67.6083204194381	5.46471276283955	1.13949123792385	0.00031498495894736
"Spis20595"	74.3567484583715	-4.43368360332753	0.816207602698678	0.000339835930156549
"Spis17609"	415.584127056114	-5.64920031820261	1.23596965181966	0.000366710381157621
"Spis22997"	34.19541025738	-3.93390583488284	0.657741904213474	0.000393799457137074
"Spis9663"	126.113056258295	-4.72768516203989	0.93689509866415	0.000423074705891261
"Spis3399"	72.5349439705174	5.28343386908755	1.13045016696848	0.000451970856235259
"Spis20715"	20.7292455979037	-5.52493659713372	1.21520593010645	0.000480165553558138
"Spis20624"	270.298319075861	-7.53621385101653	1.91293428977145	0.000508030240208166
"Spis18736"	6.18120529511141	6.15709118390357	1.44598798436265	0.000537119801460198
"Spis3658"	17.5807486450375	-4.59419613208755	0.913798685418983	0.000569690481001246
"Spis2373"	46.5031120280975	-4.01358308544566	0.72356360796038	0.000609029986757536
"Spis12948"	1291.51812297939	-3.8214039827698	0.668054089862484	0.000656159588907596
"Spis1933"	167.473447438251	-4.25058822553798	0.826208998636234	0.000702029693409355
"Spis12843"	2773.8484852087	-2.93585761873491	0.343871872398389	0.000746713809071766
"Spis73"	5508.89396401743	-3.75471703151286	0.658603960774517	0.000800347406648189
"Spis5422"	2059.85376842291	3.67648539479909	0.630741285469539	0.000853405176650327
"Spis297"	5.49274986212792	6.04176451880197	1.52305990597089	0.000905524596441889
"Spis3508"	7681.27578676783	-3.13371519696304	0.428331147181522	0.000957280529055438
"Spis24979"	10.3192277854281	-5.90890809592291	1.48500904796446	0.0010102458385875
"Spis19785"	5.2569548207696	7.68825481348773	2.16489364748319	0.00106247623863271
"Spis22069"	1473.14134580529	-4.23913925014449	0.854288035006885	0.00111435717092837
"Spis4795"	330.352729481264	-3.65741316864507	0.634574709031955	0.00116648558529486
"Spis17482"	53.9134917866638	-6.8096157508545	1.8577259568387	0.00122173627675533
"Spis22531.t1"	77.7807983617493	4.92969712839917	1.14142732434745	0.00128012270152333
"Spis17007"	33.8143375246524	-4.81527710491456	1.10092858878986	0.00133888806454923
"Spis11989"	55.0695650567702	-5.19097671538933	1.25165998587683	0.00139767936201406
"Spis3639"	711.272355277693	-3.45555361945401	0.574677767208818	0.0014585339476381
"Spis6105"	35.7449982834251	4.01878838404112	0.797890641301805	0.00151828106262984
"Spis5854"	2021.58442104966	-3.71568721327655	0.678198216989177	0.00157645528314559
"Spis25521"	798.035740333955	4.62339801150434	1.04811895207444	0.0016392162110798
"Spis8008"	34.6981181226597	4.09923497932685	0.840237288049682	0.0017013627093563
"Spis23852"	539.718495652811	-5.30817947820101	1.33341256766928	0.00176602393146451
"Spis6735"	54.4331475895377	-4.2220424108767	0.899012907929709	0.00183126855470791
"Spis23875"	137.62792878185	-4.3951656617637	0.970473072937251	0.0018957036460932
"Spis7700"	12.0125728955015	7.12341269281197	2.08151329346839	0.00196011798677492
"Spis18079"	5370.57121829233	-3.39396254739874	0.570705135647855	0.00202761554141163
"Spis20411"	172.027838036021	-3.09246303931464	0.450025782522988	0.0020972760755704
"Spis846"	60.4155553450064	-3.03901392443421	0.435145333843702	0.00217602778774392
"Spis23211"	50.6638224168288	6.87696316891946	2.07380691078314	0.00226344237053364
"Spis7609"	230.5373655409	-3.84222534902489	0.786910644571149	0.00235200178129501
"Spis3053"	8.2481119951677	4.86992287373582	1.23544102413657	0.00244411747753093
"Spis5310"	17.5612724562799	3.93741134715716	0.840644961504947	0.00253998033482026
"Spis15846"	12.2499503760905	4.15952906783817	0.939450253470975	0.00263556827954956
"Spis540"	43.0121221806026	4.1061366987658	0.925742963143496	0.00273689105659273
"Spis8500"	10.4932877420724	6.62889922950417	2.04505510949975	0.00283992288604373
"Spis3588"	365.913853296654	-4.24001784081342	0.991817757919583	0.00294236569437558
"Spis9375"	68.3590226188907	3.10938631341709	0.492070178552548	0.0030439112457336
"Spis5594"	191.330820136651	-3.47800066480406	0.65645409918879	0.00314427727621784
"Spis10233"	151.502129762772	-3.6658467660565	0.740242623388082	0.00324283489627463
"Spis373"	9.60919736296151	4.47055288094442	1.09821737475115	0.00333954726608179
"Spis18041"	108.25252150925	-3.08389030737423	0.48255521829838	0.00343537414133566
"Spis17957"	503.436766530999	-3.30706627252222	0.582802108023833	0.00353034071263433
"Spis12605"	744.294159808471	-3.68055265330917	0.751744998379564	0.00362576534976229
"Spis19356"	11.5889429259072	4.03890832585061	0.91302023304078	0.0037200319802153
"Spis18904"	4.65141797838517	6.73329725469349	2.13248442979317	0.00381699503707603
"Spis8785"	20.9196490398319	4.03920775373479	0.924841450638112	0.00391712249877414
"Spis8279"	21.5032296689812	5.39275277948227	1.54438171649055	0.00401811221124141
"Spis12951"	1053.98567591837	-3.29692638662346	0.590632231772593	0.00411745914927717
"Spis25055"	27.0290160767137	3.3319883179425	0.613529377732602	0.00422380364938979
"Spis19928"	370.181871791389	-4.67078529352306	1.23270535283938	0.00432971334027799
"Spis6251"	232.17180087472	-3.47242294950437	0.686913178065531	0.0044422646744819
"Spis20371"	1288.0148809632	-3.19427728679477	0.558138236600268	0.00455412325746487
"Spis15814"	15.3558684374367	-4.71407268345819	1.2743516073376	0.00466772025542908
"Spis19571"	21.5098451766084	3.60312077662458	0.75651202049915	0.00478336046933591
"Spis25315"	335.356222509938	3.41033922846746	0.674239581375034	0.00490787135925965
"Spis6160"	80.5272172200132	-3.8877737103181	0.902557092424554	0.00503016506766752
