"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis9810"	11136.2675119756	-12.6217348374164	1.14771816369919	0
"Spis9814"	7874.5960169368	-12.1727551390724	1.14159579796455	0
"Spis25750"	1682.23402820021	-7.65099414520315	0.652993968325696	0
"Spis9221.t1"	1004.52095951961	-8.37864404339619	0.820461466144462	9.43689570931383e-16
"Spis18282"	868.350826209499	7.76333879873492	0.748676645733197	2.13670018194913e-15
"Spis5422"	2059.85376842291	-6.41708566060833	0.595538176999941	1.1772590706584e-14
"Spis6594"	220024.407818387	6.10225078212096	0.571216439134946	5.93034964456829e-14
"Spis18853"	115.070582034286	-6.18209157147972	0.610229398721801	5.02890907568327e-13
"Spis4046"	727.987683214746	-6.18291754613851	0.611914761322416	9.00108492221646e-13
"Spis10336"	109.760169396602	-5.32420133163539	0.506825868979589	3.52108463345017e-12
"Spis19650"	2067.00066744322	-14.0059778589388	1.94709068461315	3.50145479162822e-11
"Spis19395"	246.666859359943	-4.66881686715593	0.443131160204429	1.03597094873573e-10
"Spis20623"	1976.79716831154	6.6876466697653	0.787617781854589	1.97708360351157e-10
"Spis6906"	7715.7144178843	6.33987602519695	0.737098356075521	3.23374842996154e-10
"Spis22460"	65.4355349614385	-6.07154433195695	0.696385142147939	4.68972128003543e-10
"Spis13684"	77698.9361065082	6.28320525842483	0.74548480987416	7.26016267801771e-10
"Spis1636"	81.0746224872829	-8.31587197167118	1.10370644252255	9.92183590061004e-10
"Spis24169"	3962.5420922419	6.57342207381127	0.803064169227045	1.27983302594865e-09
"Spis21618"	1492.58805728778	-4.91100938673733	0.514356298155108	1.61194074693619e-09
"Spis23000"	207.625310842192	4.88062396713118	0.511024478412354	1.96404228016849e-09
"Spis15414"	38.7752337812326	-5.70073447188311	0.661207115230198	2.38997389732875e-09
"Spis19598"	47.4253320805612	-6.03279326345715	0.743882144719839	3.62619888785099e-09
"Spis25338"	428.529233765365	-5.12639964662418	0.578605436502171	4.89055379885967e-09
"Spis20371"	1288.0148809632	4.8454578964109	0.528952310162549	6.24355578213439e-09
"Spis3399"	72.5349439705174	-8.08118379285202	1.15248344579302	8.62599681331219e-09
"Spis1888"	110.942353121795	-5.96604937057812	0.752788384475185	1.09395968980382e-08
"Spis13743"	783.419088340067	-4.48486953666405	0.480015090126783	1.47178877303911e-08
"Spis24864"	1316.80273690319	12.2883066966679	1.9940269160741	1.86123819670413e-08
"Spis8240"	126.811511006593	-9.94257704805336	1.53959182532674	2.2253764335158e-08
"Spis14609.t1"	280.03955815502	-3.98617945853323	0.3853260565694	2.57494915778892e-08
"Spis1420.t1"	159.847471530057	-4.60055950103488	0.504782133226612	2.90791154328342e-08
"Spis19126"	227.414062004878	-4.31307791646403	0.449358900643451	3.229495072237e-08
"Spis22634"	57283.6498907471	5.19002466271472	0.634347588053587	3.87934038795113e-08
"Spis11738"	3456.9592315532	-3.64441685000583	0.33340425473146	4.96094978492848e-08
"Spis22531.t1"	77.7807983617493	-7.68136823376491	1.15771883061516	6.13778380784031e-08
"Spis8107"	636.114626454435	-5.60934228580897	0.757617108160717	8.6023587395096e-08
"Spis5031"	28.7072556555303	-5.03318535189362	0.63900656232612	1.11636684986078e-07
"Spis20522"	260.996504091452	-4.73321919152393	0.581605217677339	1.43024541177998e-07
"Spis13485"	50.841306380347	-8.86632241588094	1.46168229778509	1.73114119304239e-07
"Spis19109"	458.749350739938	6.6307305206465	0.993516124000068	2.08130117900088e-07
"Spis826"	64.2196194914819	-5.39314225199045	0.733435056150084	2.48435419546886e-07
"Spis5858"	104.486071191341	-4.83357294260966	0.619950989315658	3.00405574285311e-07
"Spis4494"	856750.97695211	4.86351015769495	0.627730564617195	3.52424433409796e-07
"Spis2745"	8369.84077709387	-3.73708900276193	0.381036485646125	4.02862472339694e-07
"Spis9880"	2517.30478092803	-3.86033083761445	0.409709429173618	4.56234012375028e-07
"Spis17787"	137.353471563277	-6.60935217904159	1.01629940052103	5.08801688709489e-07
"Spis5083"	1487.55450634433	4.21182342116374	0.490885774483498	5.68326653835858e-07
"Spis6275"	60.4324071961224	-4.96273041300361	0.660105654136097	6.31283292284895e-07
