"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis9810"	11136.2675119756	-12.3611781417707	1.14877446025916	0
"Spis9814"	7874.5960169368	-12.7411329708603	1.13939158237138	0
"Spis18282"	868.350826209499	8.23572392823745	0.772114169213661	1.11389431379614e-16
"Spis20623"	1976.79716831154	8.08553862615812	0.803994794550034	4.78030427138256e-15
"Spis2745"	8369.84077709387	-4.81435185777096	0.380025686873624	1.68804661866979e-14
"Spis22524"	172.940496361265	-8.37468121977625	0.893925993394722	9.70377225292349e-14
"Spis25750"	1682.23402820021	-6.59989999107606	0.655110583641525	2.39891100829647e-13
"Spis2736"	3426.65855491423	-4.10846721855571	0.300294781767808	3.47267056947688e-13
"Spis9221.t1"	1004.52095951961	-7.65653509497974	0.822647604237349	6.50630519982493e-13
"Spis5422"	2059.85376842291	-6.09036918042155	0.596588540911544	9.3898476341317e-13
"Spis6594"	220024.407818387	5.85468907411799	0.571257227045078	1.53624474305278e-12
"Spis5858"	104.486071191341	-5.80628033463751	0.617297017950981	3.05831368336837e-11
"Spis2746"	2892.22593971129	-4.49677297110344	0.409448256091097	6.95665396019778e-11
"Spis2734"	820.659512688077	-4.42131022858325	0.402707223046225	1.29808694646881e-10
"Spis1905"	10196.1711156113	-3.89736478821433	0.315676483169825	1.82815946733209e-10
"Spis10336"	109.760169396602	-5.02823972645715	0.507836885560517	2.48772265895258e-10
"Spis19650"	2067.00066744322	-13.5331484783537	1.94829207219326	3.29046416829763e-10
"Spis18853"	115.070582034286	-5.61580870921958	0.611696046888147	4.05152022348353e-10
"Spis6906"	7715.7144178843	6.2947405833349	0.73907284377123	5.47266765845189e-10
"Spis19395"	246.666859359943	-4.5769133566355	0.443517181196574	6.75920426872704e-10
"Spis25338"	428.529233765365	-5.35127756819558	0.577610671432892	7.9978562557804e-10
"Spis18399"	136.886879536999	-4.43138519250729	0.426286847000231	1.02997283078065e-09
"Spis14609.t1"	280.03955815502	-4.16240050113272	0.385403268961536	1.42313554324534e-09
"Spis2751"	10659.1950089578	-3.99924535757912	0.361625745784872	2.03674145282588e-09
"Spis24169"	3962.5420922419	6.44693729247276	0.806181210628092	2.64867213768758e-09
"Spis23000"	207.625310842192	4.8408890082935	0.515511171932959	3.23365953344149e-09
"Spis3249"	3808.88166846335	-3.83445415187321	0.333666972144607	3.82579973558159e-09
"Spis23623"	69.7983656808843	-6.24404022274004	0.772272031727313	4.38478875919383e-09
"Spis22390"	444.348753462953	-5.74547237056102	0.683025097980039	4.95192105034615e-09
"Spis11033"	52.5428038002814	-6.1658558633822	0.761772712711322	5.54272055006025e-09
"Spis1888"	110.942353121795	-6.0952954974295	0.752549618627919	6.21419645573494e-09
"Spis23549"	167.61456339573	-6.58024257783592	0.853347699919737	7.26825286148719e-09
"Spis7191"	263.260454357248	-5.8958609394561	0.731605241225444	8.57686947804669e-09
"Spis1420.t1"	159.847471530057	-4.67772315127061	0.504760605785898	9.98213791439941e-09
"Spis4050.t2"	802.820397514623	-3.545530015046	0.293903359132413	1.17702182801294e-08
"Spis13684"	77698.9361065082	5.91517628556231	0.746121090020836	1.35860821365986e-08
"Spis16950"	103.441898419394	-5.28668327281201	0.634081649003619	1.61635627022282e-08
"Spis4083.t1"	51.6776272402892	-5.23402826292972	0.626300233403963	1.89238902011839e-08
"Spis16559"	158.586036615801	-4.09724936435707	0.415836694654537	2.43005212768232e-08
"Spis1636"	81.0746224872829	-7.56822587315522	1.1066041137579	2.97662705796075e-08
"Spis20406"	208.774198513939	-5.0808999928883	0.614322916636408	3.55038970424905e-08
"Spis5275"	6052.58498711594	-4.81415444164105	0.563544689355251	4.17113701124943e-08
"Spis3399"	72.5349439705174	-7.73959436728217	1.15233635724486	4.81031202086433e-08
"Spis11762"	111.355536798805	-5.10544924201832	0.624132483223102	5.44004832424721e-08
"Spis2737"	980.636345363362	-4.42451616251427	0.488197018250098	6.07754042628765e-08
"Spis6888"	154.483452474672	-7.44188452409733	1.09844099063813	6.7349036524636e-08
"Spis24557"	115.895380811206	-6.30537122822917	0.876067156721323	7.53885108411824e-08
"Spis826"	64.2196194914819	-5.5934000074726	0.733085049591152	8.37123364267758e-08
"Spis21618"	1492.58805728778	-4.52354097378186	0.515516047370899	9.20262245029999e-08
"Spis15511"	34.7245435433684	-5.04549384401073	0.623187858374474	1.00426213325827e-07
"Spis4055.t2"	594.671235137611	-4.02441575306815	0.416143196516051	1.09694821786462e-07
"Spis18859"	676.009932892678	-6.5408035810433	0.934677470477835	1.18978333608894e-07
"Spis2955"	58.0601899289511	-5.11837348471889	0.642394919691763	1.28131260166425e-07
"Spis24545"	268.401755306364	-8.13111128021297	1.26500495059898	1.37381249728636e-07
"Spis16687"	27.8479358023923	-5.24549717237433	0.677068248645201	1.4978632227727e-07
"Spis13743"	783.419088340067	-4.29433753353973	0.480286268209725	1.62996504266469e-07
"Spis7258"	31.5650255684168	-5.47875679949356	0.728474800868079	1.75869596965977e-07
"Spis12789"	242.333866358772	-6.12831048831493	0.86499943731902	1.88513910677512e-07
"Spis7139.t1"	154.850101823511	-5.78546331718537	0.794253936478454	2.01239242101213e-07
"Spis8004"	38.9879879524013	-5.9898920924166	0.839085561734496	2.14418530390656e-07
"Spis14003"	195.903244752502	-4.26534540702196	0.476861189335666	2.27532975661499e-07
"Spis8008"	34.6981181226597	-5.81762795163941	0.80701008684196	2.41917629756952e-07
"Spis18781"	65.1730086085234	-5.9364075365539	0.833513055427645	2.56551300616762e-07
"Spis1234.t1"	691.195599034061	-4.83900389503702	0.60301707217652	2.72086442769108e-07
"Spis10997"	215.110915595066	-5.43821346512829	0.734803161293146	2.90065463426773e-07
"Spis11485"	236.905040695055	-4.52811370550864	0.540957626549851	3.08113544114965e-07
"Spis15124"	94.5455573375886	-5.42646674504178	0.734457883502216	3.2651232147743e-07
"Spis11738"	3456.9592315532	-3.5470975670897	0.333481005872487	3.4742369203958e-07
"Spis3382"	269.771402202324	-3.83994771150031	0.396703583740212	3.67869746819551e-07
"Spis22124"	140.373790588785	-6.24969389686646	0.917791468295767	3.88689583717869e-07
"Spis7635"	131.307903396041	-3.90190555796744	0.411863025249298	4.10525606687645e-07
"Spis19673"	114.957356402233	-5.77975913776875	0.819129157363881	4.32206020558296e-07
"Spis7321"	152.464936059075	-3.84882632735411	0.40066886431413	4.5329413402796e-07
"Spis6275"	60.4324071961224	-5.03588484694297	0.660910181163376	4.76620714190626e-07
"Spis9239"	33.3897915061133	-6.36942619013972	0.952505191392412	5.00200251808402e-07
"Spis17244"	124.916116271686	-4.70375331161778	0.590772431907855	5.2470428567574e-07
"Spis16078"	51.2076599644671	-4.63643736113356	0.578660425578888	5.51728270055151e-07
"Spis2173"	51.7237039540031	-4.60323788630279	0.573393295996349	5.8070559379103e-07
"Spis3076"	111.088000507524	-5.41972053681184	0.754230952391493	6.09977317795466e-07
"Spis10930.t1"	68.0809259867064	-8.9184464347648	1.52621525142782	6.38684777256097e-07
"Spis22531.t1"	77.7807983617493	-7.24477746547088	1.15781522175909	6.67228145788065e-07
"Spis11145"	345.224945289705	-5.09802061555151	0.684355901553663	6.95585825085668e-07
"Spis11044"	48.6231491811079	-4.15712238336875	0.476946877356826	7.23973184793113e-07
"Spis17585"	53.8584701142371	-5.93660819651732	0.873810784080269	7.54842871736648e-07
"Spis20080"	145.658578342912	-3.44797903974358	0.321468193559619	7.85139999151683e-07
"Spis19598"	47.4253320805612	-5.35495139292652	0.746808309994667	8.16957867728983e-07
"Spis11122.t1"	24.0056022415621	-6.45241711976142	0.99459706090589	8.5115361310306e-07
"Spis23218"	191.834566911647	-4.10031624168339	0.471828662308193	8.899456111315e-07
"Spis8107"	636.114626454435	-5.35356785309886	0.758974767340572	9.35769456983735e-07
"Spis9880"	2517.30478092803	-3.8059428627187	0.409790557367018	9.8360371615029e-07
"Spis6005"	22.2670221281764	-5.06174517706467	0.695062564288905	1.0309199842321e-06
"Spis643.t1"	393.374171043256	-3.90590663986672	0.43281498495527	1.07760109341114e-06
"Spis17787"	137.353471563277	-6.46049277817602	1.01415645317785	1.12469009532814e-06
"Spis16071"	51.1242549357694	-8.18039789336752	1.40873190303003	1.17379749991007e-06
"Spis12606"	162.276468132501	-4.76291719433543	0.630380890927023	1.22306918135323e-06
"Spis13697"	70.9694504890194	-4.61359314546055	0.59923201926294	1.27758498772497e-06
"Spis17361"	327.173140276702	-4.13302417681953	0.490422034923482	1.33479165237626e-06
"Spis18247"	19.9721112573065	-5.41859897448646	0.792055018190378	1.40219209312808e-06
"Spis2741"	1314.70585727831	-3.33404635346927	0.30929430559841	1.46929761600368e-06
"Spis5665"	2159.83580571868	-4.92004104165086	0.678752244102869	1.53920878246865e-06
"Spis21735"	139.387414614434	-3.42031938896436	0.33044523598056	1.60921241861464e-06
"Spis5273"	43.4359430143309	-6.195136581593	0.977140674188468	1.67973696482229e-06
"Spis19109"	458.749350739938	6.41190211902046	1.03373154414067	1.7591997888037e-06
"Spis4399"	544.617672661239	-4.63904060828798	0.618835662646949	1.83859558705513e-06
"Spis7393"	51.4226908345566	-4.17895287990536	0.516137374004381	1.93656957291003e-06
"Spis10235"	59.9672053507834	-4.85512593393712	0.676422703369298	2.03306777117034e-06
"Spis12644"	51.5307668408319	-5.31654614228399	0.787699830738706	2.13317824836258e-06
"Spis24864"	1316.80273690319	9.43041485112805	1.77067852911802	2.23899698340441e-06
"Spis24464"	2480.78617981844	-7.20896751609292	1.2563454676362	2.3735689045234e-06
"Spis15414"	38.7752337812326	-4.75823464905662	0.66557132670494	2.50701839939124e-06
"Spis3566.t1"	247.896676848075	-3.24061626280549	0.300156684087266	2.64555979067765e-06
"Spis10053"	26.0596803882056	-5.3431740839544	0.809187889032979	2.78282083740285e-06
"Spis3553"	254.40779791373	-3.68984817209889	0.409369976085051	2.92016444060049e-06
"Spis10135"	1099.04123691663	-3.56686259771091	0.380403476572012	3.06148055270793e-06
"Spis13459"	103.903020229652	-5.0990279420422	0.756739244200225	3.21822132876696e-06
"Spis7694"	356.831269466921	-3.29504380941997	0.316499080658057	3.37499499355547e-06
"Spis23389"	55.1922041976971	-6.73782530274984	1.15834150530626	3.53035335539763e-06
"Spis3247"	133.741253292001	-4.10176833640515	0.514049764449928	3.68428909983549e-06
"Spis21400"	53.3923436175686	-5.67836762206979	0.903806724164419	3.85098087882118e-06
"Spis6335"	66.4085202622958	-4.5774644880392	0.633973172996603	4.01853314060309e-06
"Spis2093"	21.1843083804085	-6.5536667284935	1.12045162659179	4.18454074684204e-06
"Spis9672"	153.822852746431	-3.27639990824695	0.314392978914662	4.3514564399195e-06
"Spis17516"	52.1641718158044	-4.34295688015632	0.577623870911122	4.51883463180353e-06
"Spis159"	288.059220440205	-3.80117071524151	0.44614604334007	4.70053017868501e-06
"Spis14746"	41.6913517298567	-4.95124092454126	0.732933536605518	4.88926854450261e-06
"Spis23266"	35.3103433928455	-7.20370080335437	1.29385260852831	5.07958822161563e-06
"Spis23125"	158.481066445214	-4.25814680871304	0.561598219115404	5.2678157548211e-06
"Spis24602"	56.6753005102167	-4.50663529946089	0.625858718221339	5.46880027747607e-06
"Spis23699"	240.10870993316	-3.42708658798127	0.356399117310324	5.66761846929166e-06
"Spis9809"	4141.86736281882	-3.70008821908676	0.425171044537105	5.86909338462168e-06
"Spis16744"	68.3022099586911	-3.89252853504779	0.473533978137683	6.06954775718315e-06
"Spis4046"	727.987683214746	-4.46598960154263	0.617084428374308	6.26738741663842e-06
"Spis23633"	103.731730844911	-7.60106809901683	1.40597681783455	6.4752815762673e-06
"Spis13693"	364.545225543294	-4.00394746124279	0.504065778870206	6.68894240228243e-06
"Spis18970"	148.211943475301	-4.5461032093124	0.644477164347538	6.92805943921396e-06
"Spis8240"	126.811511006593	-8.11247835015138	1.55324912852156	7.18262498566394e-06
"Spis3245"	86.8083299781017	-8.68519360226446	1.70528711247399	7.45300057114084e-06
"Spis8450"	1030.69200774962	-3.88945231057039	0.48382567364029	7.74005991985741e-06
"Spis5095"	224.698426918553	-6.34790632253449	1.11547236178473	8.03352715607625e-06
"Spis15833"	1156.39270191945	-2.95950274174424	0.247644243712154	8.35769758474726e-06
"Spis4211"	54.052532643798	-7.34085025159684	1.37979114490501	8.68315144041568e-06
"Spis14494.t1"	80.077564801038	-4.3142797835881	0.599336549197676	9.01896691544908e-06
"Spis21202"	41.6600233841039	-4.400795211363	0.622294935273307	9.35566176994923e-06
"Spis14842"	817.577052096637	-3.47477081685944	0.382474835590107	9.69111465725127e-06
"Spis5031"	28.7072556555303	-4.47577301561996	0.642792553639908	1.00289471433411e-05
"Spis18685"	31.8857218550849	-7.56854568819566	1.45110834123116	1.03860160996247e-05
"Spis446"	4900.04576229544	-3.70525555308225	0.445374374819608	1.07533301960128e-05
"Spis8134"	17.1523033860433	-5.83037679963265	1.00404623644206	1.11408606300293e-05
"Spis10449"	86.7271163733648	-4.27172411449976	0.595708915974917	1.15259003124916e-05
"Spis20633"	868.788855650231	-4.15240376177781	0.564728918874404	1.1909680826352e-05
"Spis21060"	32.4686427670239	-6.26277519004041	1.11893127691849	1.22915512017471e-05
"Spis158"	320.167236732842	-4.66484329563104	0.702838570220944	1.2703164928757e-05
