"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis4998"	1325.39650237152	-4.89445392356772	0.32913743328763	0
"Spis6380"	8021.92250870052	-4.25367965523668	0.232899427111317	0
"Spis16190.t1"	1897.32703324468	-5.72617709890068	0.44259212880845	0
"Spis17885"	18938.0367017206	8.40091707431039	0.218282507852759	6.40943695616455e-190
"Spis881"	2391.34054475291	7.66289470519141	0.26036119366998	6.88560848918728e-106
"Spis6594"	220024.407818387	13.2082985511343	0.568703344001404	1.5186301065958e-87
"Spis19922"	142228.730351163	12.3829827905334	0.615045495536132	4.38602395928809e-65
"Spis19923"	39373.8049386658	12.2857325167493	0.617700509535281	1.87821611617747e-63
"Spis11311"	2084.29311111211	8.73758048154487	0.409458356531258	4.46689245406517e-62
"Spis19175"	11654.1612704934	9.34879499556765	0.454386201015822	3.94903207989229e-60
"Spis19925"	54827.3992894917	12.7097147826698	0.696722318298459	1.15430524236633e-54
"Spis16084"	1928.19352722695	3.93464696222679	0.128108791121263	6.69186738566227e-53
"Spis4493"	23131.6432870244	10.3390506043418	0.552677666467584	1.35968983746926e-52
"Spis3508"	7681.27578676783	8.05435340827246	0.404643880374821	5.89514607263123e-52
"Spis19174"	13945.3207290577	9.53919240165483	0.512517617287026	1.90549129175573e-50
"Spis9537"	25928.9615985852	10.4848039675825	0.580298944809912	8.19356457063203e-50
"Spis4494"	856750.97695211	10.8285903751652	0.621372866420497	2.40455199779006e-47
"Spis18323"	14296.5846734634	4.89565556312824	0.203922046086545	4.82243996865826e-47
"Spis22634"	57283.6498907471	10.6533627431179	0.627716063780434	8.24877826216456e-45
"Spis3909"	4672.67030055083	5.94885488955121	0.297874987642367	1.03171279010234e-41
"Spis5121"	2789.5614874833	5.59979240454272	0.271793797999405	2.13744541924857e-41
"Spis11936"	3692.64590108413	5.32921250734435	0.253799552908289	7.98255493090764e-41
"Spis14978"	2750.72512917285	5.7101489948254	0.288056993751131	1.34595091699054e-39
"Spis13684"	77698.9361065082	11.4880264494022	0.739054675014144	3.3807254289768e-39
"Spis6906"	7715.7144178843	11.3464589582096	0.728536187954492	5.49898838843376e-39
"Spis14544"	1220.12994601075	6.69148571525437	0.369606765483108	1.7693468415807e-38
"Spis12107"	1882.15694107665	5.89101680087036	0.308329341540057	4.74999861952289e-38
"Spis20623"	1976.79716831154	12.0048003457473	0.804607095958694	3.49426336111702e-37
"Spis13146"	2319.05591805982	6.00432831227282	0.322529796599284	7.09229652407415e-37
"Spis12843"	2773.8484852087	6.0378478099061	0.325551630210992	1.10462405769405e-36
"Spis22069"	1473.14134580529	11.6238958928665	0.791326790268384	9.08516432359689e-36
"Spis11996"	37644.1830511163	4.93130830397769	0.245567062279984	1.27563258951936e-34
"Spis23974"	3033.90634177727	9.6918851774452	0.650546714890738	5.69666233356596e-34
"Spis24169"	3962.5420922419	11.2378729568917	0.79576716629129	6.02283347868802e-33
"Spis18748"	1736.61410872544	9.11754815321775	0.654808439674481	2.29759575555351e-29
"Spis122"	1285.31799669221	4.57748577124268	0.237362968609944	4.7482213213748e-29
"Spis17749"	262.562825246983	7.23380196603182	0.498335646478921	1.18221614309902e-27
"Spis18282"	868.350826209499	9.58788138945873	0.734508509105566	7.89617143636119e-27
"Spis3639"	711.272355277693	7.34014708978826	0.519352969388623	1.85495235957952e-26
"Spis16372"	563.884951239153	5.88847161233809	0.387966458937486	1.69519222102893e-25
"Spis18809"	563.884951239153	5.88847161233809	0.387966458937486	3.1312454507306e-25
"Spis7223"	1278.94428705556	3.96101912974611	0.196852321657708	5.72087136179779e-25
"Spis4499"	10094.4875935151	7.49449107357745	0.555902261087862	1.12720750133744e-24
"Spis19109"	458.749350739938	11.0453489126678	0.921014371017716	2.13984206176964e-24
"Spis17863"	991.617106383423	4.39381040218349	0.244593855427971	3.51664647054506e-24
"Spis3041"	270.491413395766	9.665707867479	0.784925072484691	5.14990939391757e-24
"Spis8458"	126.787474905756	6.06499059924376	0.417333149911031	7.19736326267572e-24
"Spis24901"	1260.46920377395	8.61357279490271	0.679073516704423	9.18639257329684e-24
"Spis3588"	365.913853296654	9.88115985149272	0.812306668657481	1.20098675403995e-23
"Spis2369"	389.407199983353	4.78863429658865	0.28773099912301	1.50365267072233e-23
"Spis17096"	215.373003842467	8.82277533663909	0.706319843409002	1.91295130093455e-23
"Spis21335"	74.5107471369364	8.66724440601853	0.693186012253558	2.51994347648821e-23
"Spis2481"	148.186840377735	7.91601626416632	0.620681154343352	3.93505411240263e-23
"Spis11923"	314.030881707621	4.89160843188809	0.305589310137438	6.64878903440536e-23
"Spis5891"	928.389666547583	3.68695767553339	0.178451087776501	9.51160841360731e-23
"Spis18343"	1204.78769024944	6.10948837414913	0.450969313267746	8.1176481462895e-22
"Spis15210"	351.773446702883	6.05489448160915	0.447031133065603	1.83465079112552e-21
"Spis5775"	451.37038955724	6.518897067496	0.500769792446297	3.36774218236971e-21
"Spis8151"	213.024933635025	5.79749538451076	0.423418792554074	5.85445823361117e-21
"Spis14640.t1"	3949.12387316202	4.21377772082775	0.250777805609965	1.46653565795705e-20
"Spis13162"	300.598117026167	4.97477025065038	0.337213766322427	2.36724722476774e-20
"Spis73"	5508.89396401743	7.41407003256913	0.619066465423795	4.11901081901948e-20
"Spis3876"	271.863998475275	5.41986493812874	0.39269553977779	6.49329882755334e-20
"Spis22207"	523.552454754334	11.5391282447462	1.09548598129458	8.81520215153642e-20
"Spis1277"	282.730241455975	6.46809373461869	0.515329189716884	1.19928597032718e-19
"Spis7838"	289.419160182623	5.22517204250802	0.373112011341269	1.59239512731277e-19
"Spis15542"	1745.58637850622	7.59783583224934	0.648956718535564	2.04318403779281e-19
"Spis7609"	230.5373655409	8.23888073051205	0.724949738194536	2.56966428388472e-19
"Spis22068"	403.890554324079	13.5561961089153	1.34315834317203	3.09151104263177e-19
"Spis2715"	3466.8076343814	3.82058680746099	0.21342197395748	4.08857287744589e-19
"Spis3736"	321.526549339176	10.9258406669378	1.06455846898905	7.61700223227822e-19
"Spis4687"	446.465418314109	3.90217976378855	0.227016222903459	1.12166023165156e-18
"Spis23000"	207.625310842192	6.29789796218979	0.513839697867405	1.52057086992491e-18
"Spis20624"	270.298319075861	12.2026268865962	1.23639164185616	2.55304002366953e-18
"Spis11895"	2053.4814959007	-5.46403892248023	0.419141194230529	3.99929685618748e-18
"Spis12300.t2"	1840.43082081716	4.31586681358557	0.282511864036515	5.56254723138264e-18
"Spis8966"	825.484353106585	3.82755823391631	0.223842720087947	7.58664970282237e-18
"Spis13605"	348.898070605707	5.62136008323371	0.444368539705596	9.83282799004961e-18
"Spis15558.t2"	1422.85782122474	5.85443327330134	0.474325391150832	1.25133418698192e-17
"Spis3340"	2939.29406418957	5.35769590823412	0.414770923271188	1.59270769655692e-17
