"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis22634"	57283.6498907471	5.51681518107831	0.665368364824849	6.26754356559421e-08
"Spis13684"	77698.9361065082	6.07757899268904	0.782331124585613	7.80193452748205e-08
"Spis22524"	172.940496361265	6.52639589002027	0.913708877608599	1.73265322866752e-07
"Spis6906"	7715.7144178843	5.84812086634977	0.784919704914276	2.48189854919295e-07
"Spis18282"	868.350826209499	5.82371610938491	0.856208480086665	9.95990623179374e-07
"Spis7029"	155.457918552483	-5.30462501509425	0.850234478332942	9.29724402423026e-06
"Spis24169"	3962.5420922419	5.2704432078681	0.865146180795818	1.91611818058103e-05
"Spis24839"	110.249175420447	-6.14178541468871	1.27729451428678	9.07876208117547e-05
"Spis2318"	277.160306449486	6.26179614112111	1.43724562942297	0.000248719343956287
"Spis24437"	67.6958590878597	5.18415328678937	1.13836375851956	0.000481640017796493
"Spis3748"	135.218052515077	5.39106396757827	1.21843188035887	0.000682563269116729
"Spis5083"	1487.55450634433	3.41128978871929	0.520182053624546	0.000903446455419444
"Spis21631"	8.29319869014123	5.39304457162606	1.29787937632309	0.00117783822507139
"Spis4494"	856750.97695211	3.70267325493982	0.668020601375066	0.00147972086600025
"Spis19390"	64.4600814208014	4.15820984092438	0.873770649857334	0.00183145492847552
"Spis7041"	27.4049246857148	4.8023218424718	1.14261228404435	0.00216025422844981
"Spis10490"	109.981448359642	5.44100683709941	1.43500107210185	0.00251814541846891
"Spis23770"	547.356229400606	3.47331403460609	0.624916050074224	0.00288915269397189
"Spis4536"	40.1534414794007	4.6948578108041	1.20391240657321	0.0034000889876608
"Spis11098"	124.719971496106	4.05983759732448	0.922305259638776	0.00386821859226544
"Spis14457"	766.777130583577	-3.73886703942646	0.832698683224822	0.004559661040783
"Spis19109"	458.749350739938	4.42348361868918	1.16503782564673	0.00520489010742359
"Spis23369"	26.9404521871441	4.24303964168459	1.11696386956748	0.00594873253727088
"Spis8551"	461.267984569116	3.62182015719725	0.818713634112788	0.00669250066908826
"Spis23196"	5.03060648183293	5.97290635270384	2.25160133471678	0.00797782339629419
"Spis12491"	13.6082786312357	4.26573890432252	1.33106029013229	0.00937707529351541
"Spis19922"	142228.730351163	3.11800716198981	0.670797982168592	0.0107997314479786
"Spis9537"	25928.9615985852	3.02285145398479	0.630574663997227	0.0122851552754339
"Spis6594"	220024.407818387	2.98076138176991	0.617433536514352	0.0137957525980484
"Spis20449"	2.79326055021594	4.88805903708651	1.83641267683173	0.0152658404231693
"Spis21624"	3.14859374059207	3.64863785699145	1.08323526213074	0.0168382289651253
"Spis19923"	39373.8049386658	2.96492445049397	0.681296105684723	0.0187602473764927
"Spis16939"	4.36093084856083	4.88261173213605	2.36769026651628	0.0215769406960841
"Spis25446"	7.64446665794276	3.78036769899772	1.51807760048293	0.0244847501669201
"Spis23113"	12.7085978084384	5.18463233972571	2.86196728281607	0.0275826013101431
"Spis4493"	23131.6432870244	2.66796171357159	0.603459305462335	0.0305433965835
"Spis19587"	24.6454168915341	3.84776909058782	1.68339835422549	0.0333984501008782
"Spis21924"	20.6350477965638	-2.8317897495672	0.824047612581631	0.0366351371173744
"Spis1933"	167.473447438251	2.84747209898343	0.852164651735978	0.0397981173203502
"Spis4912"	30.2418375238798	3.48095572304458	1.54392931278087	0.0430213130307904
"Spis17156"	10.6959033762007	5.0482029891562	3.24997972876408	0.0462194318638941
"Spis3097"	2372.57120745538	2.50316474967912	0.543638202918982	0.0493413441399436
"Spis387"	14.7280301491478	3.08532197772711	1.23558786342597	0.0526093915285576
"Spis17578"	67.200219305229	2.61912110044686	0.76037139996827	0.0561354311294181
"Spis23429"	5.92493099649127	4.4697236483502	3.18646039425697	0.0597579709814592
"Spis22915"	4.44517851305462	2.96566861257421	1.27652807708625	0.0633432450107447
"Spis21182"	7.72972626277019	2.69377580328211	0.921388173627898	0.0667983796726071
"Spis4499"	10094.4875935151	2.45000052359137	0.612268740617513	0.0702229593133293
"Spis14165"	560.962710582665	2.46772487216607	0.65278258757661	0.073623274980354
"Spis18748"	1736.61410872544	2.52434224989512	0.756183987869607	0.0770313596539439
"Spis13747"	8.44532235703435	3.6035158604066	2.479235229194	0.0805971698246496
"Spis19925"	54827.3992894917	2.50583799866338	0.804044300873082	0.0841363820652732
"Spis11646"	13.5777319264683	2.73351081992298	1.17416422715728	0.0875693007391645
"Spis7510"	237.718679167149	2.52518508665806	0.921874889083054	0.0912151133992355
"Spis12281"	10.321577024977	2.66114073855149	1.19593101746576	0.0948328672315674
"Spis12568"	4.73278153177529	2.53031771853413	0.991579830456627	0.0984320449492562
"Spis7809"	16.7231737137248	2.68746207148812	1.42214107511496	0.102221063542677
"Spis16721"	5.70431992542049	3.08721541314963	2.28550997118454	0.105926636970684
"Spis20371"	1288.0148809632	2.23625131039936	0.582451740554561	0.109936569559237
"Spis928"	1.89657247709285	2.53392608170972	1.35985363957361	0.113892536011541
"Spis21532"	18.7796638145459	2.81155146503581	2.29932266166707	0.117960888878186
"Spis1654"	220.993600067655	2.61613714504017	1.81636327082933	0.121981261529657
"Spis6160"	80.5272172200132	2.32222107866581	1.0087284812898	0.125992656227658
"Spis14033"	5.61590570829155	-2.23440859547142	0.764354549284082	0.129954416264172
