"30_ICN"	"33_ICN"	"36_ICN"	"30_AF"	"33_AF"	"36_AF"	"30_ExT"	"33_ExT"	"36_ExT"	"30_PrT"	"33_PrT"	"36_PrT"
"30_ICN"	NA	4	765	1163	NA	NA	764	NA	NA	480	NA	NA
"33_ICN"	NA	NA	623	NA	728	NA	NA	556	NA	NA	367	NA
"36_ICN"	NA	NA	NA	NA	NA	815	NA	NA	658	NA	NA	689
"30_AF"	NA	NA	NA	NA	0	0	158	NA	NA	211	NA	NA
"33_AF"	NA	NA	NA	NA	NA	0	NA	121	NA	NA	172	NA
"36_AF"	NA	NA	NA	NA	NA	NA	NA	NA	123	NA	NA	174
"30_ExT"	NA	NA	NA	NA	NA	NA	NA	0	0	47	NA	NA
"33_ExT"	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	34	NA
"36_ExT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12
"30_PrT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"33_PrT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
"36_PrT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
