"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic3262"	2500.06636828082	-8.22592810623706	0.455675559994862	0
"Smic9238"	560.443803246517	-5.13069610009209	0.324194682527611	0
"Smic19060"	63.4421763483605	-6.38163142583959	0.447183245823994	0
"Smic23724"	139.005034835503	-8.59544109131781	0.739557018942851	0
"Smic32000"	74.6165677829874	-5.29463560315416	0.33491204302387	0
"Smic37528"	40.0290374788498	-5.37478039087573	0.381832212845196	0
"Smic40829"	1267.76906708065	-4.5531515034838	0.248873540401107	0
"Smic41734"	129.562950692163	-3.96534993682783	0.246206523418782	8.32667268468867e-17
"Smic33352"	404.62714834834	-3.7402772094584	0.218438962669666	1.60365548001411e-16
"Smic42618"	188.173481331662	-5.86930488724785	0.496912177027802	4.88498130835069e-16
"Smic33519"	18.4363150651799	-7.52418036233416	0.718838092212403	1.14050183438766e-15
"Smic32004"	16.1007218971463	-5.42221702138062	0.446876922552985	1.83186799063151e-15
"Smic27711"	194.966957855878	-3.95215562440781	0.25635233070902	2.70723614466288e-15
"Smic35935"	166.025740408445	-5.32917983969807	0.440540646821904	3.98887272418896e-15
"Smic10351"	17.9202951552473	-5.44063829629747	0.478429466143385	2.50762373828669e-14
"Smic27647"	21.9688917551483	-7.10231926572828	0.710963184960775	4.58383331292112e-14
"Smic25065"	104.098298587043	-4.44306891936986	0.345281028545537	8.6910870657127e-14
"Smic37548"	102.464663583739	-10.29195243018	1.19485117030065	1.91205076463221e-13
"Smic21447"	2798.45997849991	-5.60312239410806	0.521043315862629	3.04084243165753e-13
"Smic17626"	16.7300849211162	-5.09925385584002	0.449889789274521	4.29423163694764e-13
"Smic7443"	134.018001207837	-4.29955649894925	0.336012991656473	5.92779793505218e-13
"Smic11029"	354.56475252665	-8.82087935376664	0.997632099269233	7.49541842734206e-13
"Smic20710"	112.309907702939	-5.68739187145194	0.546033068333507	1.0316530238781e-12
"Smic3398"	20.3323595538119	-6.7504451405686	0.703524947564343	1.29173523729283e-12
"Smic2332"	49.3258599973407	-4.22902165686375	0.331395217530455	1.588431608468e-12
"Smic38041"	22.4863731583764	-5.40474702736722	0.508082840905972	1.92496019124633e-12
"Smic39895"	218.897738575782	-3.3538605764828	0.204636999710577	2.5374887376491e-12
"Smic27114"	29.8601156724235	-4.3703752587142	0.359308360937336	3.19582852245251e-12
"Smic3316"	26.4079505629892	-5.29833937468771	0.501517014216651	3.91480717574911e-12
"Smic15133"	20.2211623026038	-6.37946529899234	0.668842132482099	4.75729085754513e-12
"Smic15992"	25.152106956282	-5.78434134248584	0.579171618807593	5.63626206638534e-12
"Smic10716"	130.714324249848	-3.80455773166454	0.277397887461262	6.67163199685739e-12
"Smic28717"	120.479721473871	-7.04448637978038	0.775848976048326	7.67121719682316e-12
"Smic30347"	13.7382734449652	-4.81918754132526	0.434095230609241	8.67156020192664e-12
"Smic43650"	84.4633224953375	-5.10241951373075	0.478151169058083	9.66340975492942e-12
"Smic4156"	11.4874270201492	-5.91914597127125	0.60927740546399	1.11389262011683e-11
"Smic6319"	40.9561766604205	-5.73606813648249	0.586922199417785	1.34679084701367e-11
"Smic45206"	36.4110741016853	-8.82459674532006	1.07743258791993	1.6254097483164e-11
"Smic45457"	36.4110741016853	-8.82459674532006	1.07743258791993	1.88974050083437e-11
"Smic31113"	43.8796569394108	-4.26406994843219	0.358262669099264	2.17033890859142e-11
"Smic23425"	31.0981122187615	-5.15221888241734	0.501333448055745	2.5104132864636e-11
"Smic29682"	73.873168183275	-4.20393696469628	0.35473912790417	3.0701161190025e-11
"Smic13037"	10.961276700948	-6.10833099317602	0.665554518250546	3.77887592018989e-11
"Smic19603"	11.2346183578867	-6.25682066323187	0.689803978162677	4.46383712821524e-11
"Smic35478"	358.839347989578	-3.43935642846827	0.233362298052624	5.13353853253622e-11
"Smic3214"	26.20788377016	-4.41872562719304	0.394226682791785	5.94544510242347e-11
"Smic38099"	13.0463739872406	-5.41885830739269	0.557745664120979	6.75512270234133e-11
"Smic36832"	52.8250068320832	-3.82438844281794	0.297945859782039	7.56962201253764e-11
"Smic32430"	139.213456517429	-4.63517393913988	0.430377653687042	8.35256648426484e-11
"Smic40834"	11.8898856420414	-7.17887736686195	0.850420531679501	9.31614629884336e-11
"Smic37340"	82.9012647828594	-4.30396570793265	0.379529877289526	1.03829935934455e-10
"Smic5489"	11.8449291313247	-5.28562242446589	0.544326092622425	1.17011594857885e-10
"Smic39870"	21.9904057622103	-5.84813554261656	0.637731661561602	1.29884275242832e-10
"Smic12167"	126.935350871284	-3.59449005171674	0.264619366852069	1.43079474194489e-10
"Smic18643"	152.498570292459	-3.60996691993977	0.268657429973008	1.59247409198765e-10
"Smic10594"	14.8580994711289	-6.81392602221875	0.803419828493819	1.74933960174682e-10
"Smic22809"	58.989355730478	-4.13051364179124	0.357499115328644	1.94059766307058e-10
"Smic40469"	34.9017648923492	-4.08715976592205	0.351584791230488	2.15825013033713e-10
"Smic46158"	94.2701656077651	-4.48213736861195	0.42039185120441	2.42171747815232e-10
"Smic23389"	8.14155336681502	-6.63472008222535	0.788432586989785	2.72657002531318e-10
"Smic3973"	24.4849383534998	-4.6826758310697	0.459177555651781	3.10375439375122e-10
"Smic27456"	32.0221686638717	-4.19818398199216	0.377502535286592	3.51992551593472e-10
"Smic4366"	29.4892058062829	-5.07350571302062	0.530090360322415	3.996425976745e-10
"Smic33684"	27.555543570222	-4.84985510659259	0.491729141010718	4.46590250890999e-10
"Smic31163"	29.8900129767826	-4.83471642357357	0.490039658407757	4.95608824065877e-10
"Smic17696"	19.5917579431298	-5.11362251898251	0.542289201566869	5.59138228983118e-10
"Smic9858"	19.5922739788584	-4.56639990754744	0.44733876834198	6.22692990040019e-10
"Smic30932"	14.1611119490184	-5.12067704282558	0.544160637180123	6.85301490391744e-10
"Smic35843"	49.4436907569001	-4.30609937763831	0.403385320670151	7.53998078144161e-10
"Smic6422"	44.7332983912007	-5.72853720177263	0.654705052015222	8.31355844483588e-10
"Smic20982"	36.1551917391086	-5.03059031751585	0.534227183997618	9.18549249182116e-10
"Smic1975"	8.46830663313655	-6.43059103056771	0.782414687644723	1.00926169736374e-09
"Smic37638"	254.582603984131	-2.90074589172415	0.159498048769329	1.10702020457641e-09
"Smic23331"	93.0346811267789	-3.63858341656185	0.290363829157469	1.20483798463603e-09
"Smic8982"	54.9912738424246	-4.03092792363171	0.361451412597914	1.31695596798191e-09
"Smic4378"	11.0671103386975	-5.09554917795682	0.551141726294643	1.42774480542323e-09
"Smic48105"	27.8628905005664	-4.5019542577605	0.449712651143847	1.58095025815241e-09
"Smic18578"	5.23040326964003	-6.68749415950892	0.84381991091687	1.73854793097451e-09
