"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic3262"	2500.06636828082	-7.49982498035953	0.45465694831422	0
"Smic21447"	2798.45997849991	-6.46396147430367	0.520813221973337	0
"Smic33352"	404.62714834834	-3.81553234433706	0.218916843359269	0
"Smic40829"	1267.76906708065	-4.03438053714977	0.248825949980692	2.77555756156289e-17
"Smic41734"	129.562950692163	-3.81930635179227	0.246245792283061	1.48991929904696e-14
"Smic35478"	358.839347989578	-3.72396858524651	0.234327319638753	2.80701388059394e-14
"Smic37528"	40.0290374788498	-4.6693016296315	0.362906231528175	3.76682811926392e-14
"Smic42618"	188.173481331662	-5.62837431911647	0.496026306504184	4.90579799006241e-14
"Smic30347"	13.7382734449652	-5.08220080553063	0.43910776792241	1.67544990227321e-13
"Smic19060"	63.4421763483605	-4.7843579651162	0.417350953268291	1.41677780618465e-12
"Smic38099"	13.0463739872406	-5.6066585723981	0.542124663353416	2.59492427545638e-12
"Smic29682"	73.873168183275	-4.32815254255899	0.354270620873782	4.45165200998095e-12
"Smic9238"	560.443803246517	-4.10124409945837	0.322021584949323	6.72177698117611e-12
"Smic33519"	18.4363150651799	-5.8953337235779	0.599472861775983	9.14992684794161e-12
"Smic38041"	22.4863731583764	-5.14585789519679	0.485497461310266	1.16042730979871e-11
"Smic35456"	33.5715965945908	-5.26320024593824	0.511879131984515	1.65987293354597e-11
"Smic14411"	263.018958026544	-3.68704238308378	0.268200411884549	2.49457186933288e-11
"Smic32004"	16.1007218971463	-4.61330386350143	0.419605757794444	3.66829776431309e-11
"Smic32000"	74.6165677829874	-3.97256036689784	0.316873699553275	4.74193140893937e-11
"Smic39895"	218.897738575782	-3.26621595494477	0.204287218875593	5.93251892055946e-11
"Smic35843"	49.4436907569001	-4.48207671276396	0.401254958684416	7.12131253437286e-11
"Smic41412"	401.549657280802	-6.66788249889283	0.757255910103511	8.40754940415164e-11
"Smic37340"	82.9012647828594	-4.3207461573405	0.378481719227428	9.93180368864629e-11
"Smic3627"	186.998706579903	-3.48239089970153	0.242300715064436	1.14923334737504e-10
"Smic3973"	24.4849383534998	-4.72502975906942	0.451566252724999	1.42194269692197e-10
"Smic4164"	8.47428349741199	-5.79335743549047	0.629393447480068	1.68845616975124e-10
"Smic27647"	21.9688917551483	-5.90496349597704	0.65034735054364	1.98149155519847e-10
"Smic9682"	61.2044948281443	-4.11362938280664	0.355363504086195	2.39604213454163e-10
"Smic25065"	104.098298587043	-3.99757343994406	0.341510451571055	3.16488815997463e-10
"Smic3214"	26.20788377016	-4.13753484257653	0.380045393874137	6.16160008200713e-10
"Smic27711"	194.966957855878	-3.42454100950153	0.254598050388187	9.5160285028217e-10
"Smic36832"	52.8250068320832	-3.65266475719034	0.299216495996958	1.44167227808523e-09
"Smic10716"	130.714324249848	-3.51870520852528	0.276879212784717	2.02416324106154e-09
"Smic27456"	32.0221686638717	-4.08183949116903	0.379974077909966	2.59401318399267e-09
"Smic14615"	288.619630904006	-3.33209054802399	0.243415996492747	3.15385095182665e-09
"Smic28717"	120.479721473871	-6.1441757403819	0.76532952540282	3.91799607572333e-09
