"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic46214"	43.5477815187604	-6.40748301755119	3.46822175627687	0.101896477020715
"Smic4778"	20.9353014703528	-1.06472177260403	0.531745361191107	0.531298920763847
"Smic28859"	71.3988543682182	-0.863656319714943	0.513115856102491	0.68306796504172
"Smic13624"	872.768599489553	0.301764365185071	0.706722812503688	0.760268173679859
"Smic30316"	9.61574760478886	1.0064124241604	0.40704630917059	0.80674974926432
"Smic8916"	12.0666558574045	0.475930956290572	0.563994611513943	0.838384236122205
"Smic41352"	23.5718186582697	-0.968055908489033	0.309696931020948	0.861410637868649
"Smic8326"	7.47141006275868	0.626806001073504	0.374148399579222	0.878719159722893
"Smic1589"	57.4845383894963	0.284670667966132	0.43678790875485	0.892190033072535
"Smic16106"	31.5682639504943	0.987585265773144	0.256830891209502	0.902966988687202
"Smic3924"	25.3714136017774	0.972692811725917	0.259943610902901	0.911784649341446
"Smic28914"	1483.32683620463	0.833425594731385	0.282296382436499	0.919134433046558
"Smic10299"	15.3837856673156	0.532434541394857	0.347460466645085	0.925353936911886
"Smic18259"	19.3418791327762	0.905537343035845	0.255840105874244	0.930685124808891
"Smic9285"	14.7453347761048	0.471606370236986	0.357007721978467	0.935305496643855
"Smic6193"	9.30318126332732	0.670994532481418	0.303957849452414	0.939348518963446
"Smic38037"	21.4879356358856	0.294033284495184	0.38846824124444	0.942915922082968
"Smic28697"	16.2468664110455	0.833657576188266	0.259701461095345	0.946087062912056
"Smic26205"	17.1020144800061	0.791414086958583	0.262096234053198	0.948924480576131
"Smic32941"	15.7374096981716	0.754584407597307	0.26305439532299	0.951478201632491
"Smic26491"	23.26606857684	0.781217320295822	0.256105913516576	0.953788717114301
"Smic36746"	30.1885925860522	0.30067164810171	0.347208694618563	0.955889207545888
"Smic12477"	21.6277187089329	0.486002046638944	0.306597189334671	0.957807050935178
"Smic11083"	21.6738077321105	0.514374284255287	0.298462766051157	0.95956507706697
"Smic30900"	148.958772304039	0.849653438428594	0.22625928637043	0.96118246660056
"Smic9981"	245.639662587923	0.432486523013113	0.301631770734901	0.962675444754927
"Smic4649"	555.175830494813	0.231392125261078	0.336676602104799	0.964057832920832
"Smic29582"	388.173868073304	0.143173132813403	0.351945222033589	0.965341479386016
"Smic32648"	52.014805291287	0.220851828867982	0.316642100887401	0.966536600454964
"Smic36732"	162.88678451412	0.207032958655637	0.317255248187556	0.967652046841371
"Smic5188"	466.112135752835	0.529969308780485	0.256951384188909	0.968695529030568
"Smic3780"	26.7758498028639	0.416250289647076	0.275736879536226	0.969673793603628
"Smic20947"	25.0353234695676	0.556374829013106	0.250601018970329	0.970592769428079
"Smic35967"	63.152166293379	0.503465908899998	0.256832628191039	0.971457687891266
"Smic31915"	403.093883877266	0.36220697277838	0.281029061937115	0.972273182442731
"Smic26997"	53.957297216711	0.44087804431099	0.266606953097189	0.973043371750229
"Smic21992"	38.4612302787885	-0.608969328849897	0.237438709516156	0.97377192920737
"Smic30341"	32.1626468110847	0.390858468073916	0.266535914531376	0.974462141576022
"Smic40567"	158.084435950769	0.460902783757609	0.251692018157888	0.975116958446309
"Smic19044"	25.9117371603968	0.424302896076489	0.257142252775379	0.975739034474008
"Smic36286"	47.3780968289979	-0.524021484324468	0.239195118963313	0.9763307653322
"Smic8855"	23.1102567741769	0.390087920458737	0.258453842151601	0.976894318532988
"Smic36571"	29.6731558235884	-0.520713618112403	0.236324505648083	0.977431659957964
"Smic18212"	41.9492842646073	0.526425652293942	0.23219792889502	0.977944576774593
"Smic15527"	1584.74326492203	0.392195113975803	0.248123266595945	0.978434697289693
"Smic3191"	16.3739624113325	0.653489009487536	0.20311605205178	0.978903508217812
"Smic7881"	65.7290242901398	0.651147932665264	0.201651467990315	0.979352369744853
"Smic39340"	290.372534441757	0.516746915984489	0.219991500638158	0.97978252870834
"Smic18788"	35.8580388432389	0.518513449369015	0.219386816837097	0.980195130163124
"Smic14189"	182.810706876948	-0.478001916621575	0.220680148020256	0.980591227559808
"Smic26699"	232.081739603786	0.428928230791286	0.223410020026039	0.980971791725282
"Smic18418"	163.451353757832	0.226298978601242	0.250018675056696	0.981337718807476
"Smic25558"	864.190236097456	0.240303369896849	0.246170348578437	0.981689837320534
"Smic14813"	43.5226052730276	-0.53747659196044	0.203366558730786	0.982028914407185
"Smic16028"	56.6901636554854	0.493632082592208	0.209414946435008	0.982355661417957
"Smic12896"	32.5241516361725	0.327484983041497	0.23024046781503	0.982670738892633
"Smic28882"	62.9457310720863	0.360420389293264	0.225013423652149	0.982974761017321
"Smic44431"	233.433537545176	0.247969701261571	0.240150392231743	0.983268299620468
"Smic40894"	21.7928867291803	0.554502011080722	0.194425111150745	0.983551887762493
"Smic39301"	86.4816434845986	0.449373949181175	0.204172784174718	0.983826022966452
"Smic22471"	74.8750568468022	-0.406398894863041	0.208843338217491	0.984091170130936
"Smic3688"	156.489343291311	-0.269623013583362	0.226663462343163	0.984347764161082
"Smic33474"	144.99579353067	-0.333475940712015	0.216413730559346	0.984596212349001
"Smic5357"	29.2978505038373	0.535407871392943	0.188538373450522	0.984836896531048
"Smic8646"	22.3242405056538	0.389194946326665	0.207407756604764	0.985070175045955
"Smic2324"	293.026865517328	0.282246124385411	0.219808306538114	0.985296384514955
"Smic4462"	178.183311937121	0.248368835351008	0.220424485850766	0.985515841462493
"Smic26987"	99.9776106690791	-0.360930797151814	0.201287952986598	0.985728843793927
"Smic27617"	42.9151400269975	0.356247606383244	0.199481128544862	0.98593567214474
"Smic33297"	57.5567816767812	0.360071565049526	0.200827575652587	0.986136591114101
"Smic35583"	486.240321160557	0.455102579172058	0.188134075192028	0.986331850394184
