"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic14411"	263.018958026544	-4.51647782314875	0.268973384839353	0
"Smic35935"	166.025740408445	-4.9665107621964	0.429761517101924	1.2756462552943e-12
"Smic9682"	61.2044948281443	-4.03800715544239	0.336254439892871	2.26442790444518e-10
"Smic45535"	141.174045658919	-9.19937368244937	1.20956048118047	5.00822217031072e-10
"Smic28909"	44.3795638961426	-11.1001226340373	1.70633429760449	1.00534492730731e-08
"Smic30932"	14.1611119490184	-4.54246257409746	0.484149307940952	2.09567040387881e-08
"Smic47715"	46.2364122151149	-10.4001491767289	1.60929403195778	3.07588022829819e-08
"Smic10810"	22.0121974152052	-4.83918763169305	0.554158536121798	4.56665118359068e-08
"Smic12833"	25.9810396474632	-5.44006510272339	0.671860392614469	5.75479268559597e-08
"Smic37702"	12.0728163903416	-4.72096411718616	0.536839155170549	7.18422917822537e-08
"Smic4366"	29.4892058062829	-4.70443678771198	0.537331909569345	8.72498471350302e-08
"Smic35478"	358.839347989578	-3.20610929641237	0.239814022428351	1.00484795345634e-07
"Smic30683"	10.9221410957596	-4.61999814023892	0.522655479334509	1.13381056799665e-07
"Smic3262"	2500.06636828082	-4.28015303601389	0.4564729858767	1.26278381061353e-07
"Smic5887"	22.1756667307111	-4.85371205462995	0.579522630616501	1.4608855695523e-07
"Smic37382"	27.7770745644678	-3.54723188339065	0.315973238588161	1.67411293432174e-07
"Smic7259"	158.236346905886	-6.97517041826925	1.04953439759526	2.20310417765144e-07
"Smic21199"	35.3821311709464	-4.40775394999742	0.508912681515894	2.70078214342156e-07
"Smic19885"	28.2526074973834	-5.12152489915325	0.661291157085261	3.17821624298977e-07
"Smic19090"	19.1273794182669	-5.94352051703821	0.839285372769231	3.67397548556303e-07
"Smic8812"	8.4951621286614	-4.80432516154936	0.599935317201761	4.2010341151842e-07
"Smic4156"	11.4874270201492	-4.59168426754478	0.56375201302462	4.98324560222423e-07
"Smic850"	98.4927680453453	-11.0166532675427	1.97927705744858	5.90253931070204e-07
"Smic10429"	178.448490600338	-8.68481552869259	1.47017857933818	6.79058353737309e-07
"Smic45852"	21.054895059717	-4.35641579339626	0.518677133811091	7.62747993161561e-07
"Smic44059"	13.3847925346329	-4.14271987059912	0.481889650515885	9.01262956180068e-07
"Smic28378"	115.960159639443	-3.56540638423962	0.354382469544213	1.05297727805822e-06
"Smic25910"	36.7115009072356	-4.11362957253596	0.480185251123324	1.20717077379896e-06
"Smic37166"	35.4091222629234	-4.14719912018706	0.497037260386393	1.43456458315931e-06
"Smic27358"	13.3148759045222	-4.28356066107169	0.54134890634741	1.79703612990615e-06
"Smic26221"	8.36619893928056	-5.12709500507926	0.746428758775921	2.19016802286671e-06
"Smic1667"	31.5969099808342	-3.66855369651655	0.398313474559887	2.5594266894087e-06
