"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic35935"	166.025740408445	-6.85591374847639	0.624050166638358	3.5527136788005e-15
"Smic24891"	267.529783546051	-5.24473439358539	0.425811389268378	8.10462807976364e-15
"Smic4631"	205.142929712868	-5.17373716738889	0.465340143706404	1.52008035788261e-12
"Smic3262"	2500.06636828082	-4.99903864618201	0.491310829442903	1.30320559899033e-10
"Smic20532"	205.434157705184	-5.11919041735262	0.535154244456223	6.63259580591102e-10
"Smic14043"	60.0101590093697	-5.04319410013242	0.53176254263846	1.42567814960988e-09
"Smic22771"	114.76018686625	-4.19204841093676	0.388882112452086	2.45947419573257e-09
"Smic29410"	191.840968976914	-4.25245428215455	0.400837851457534	3.34991694106446e-09
"Smic33396"	139.166062261718	-4.64100899523132	0.476164759226289	4.59759597060128e-09
"Smic24021"	105.639516356055	-5.93614287123263	0.751459674133364	1.22543092895278e-08
"Smic9682"	61.2044948281443	-4.78843937334458	0.533929490505541	1.91646792375105e-08
"Smic31710"	435.394912059444	-3.44412354126291	0.276646668869332	2.50186901288677e-08
"Smic6448"	118.85632049633	-5.32792549146552	0.639771480682549	3.06876494472218e-08
"Smic11581"	157.270578754395	-4.04457996606131	0.397378943774701	3.8041629299038e-08
"Smic37912"	67.8240313162239	-4.51593846047916	0.490516903206684	4.52069121914533e-08
"Smic21872"	149.346408908132	-3.40090668502856	0.279218103453648	5.87616921926548e-08
"Smic22577"	459.956554360601	4.33162908848501	0.465305658324666	7.1234104163297e-08
"Smic44475"	134.486361574517	-4.54728427331275	0.519039980074267	9.28761318275156e-08
"Smic35112"	140.779552622408	-4.40451293943813	0.49487304903896	1.19059155106959e-07
"Smic35209"	110.714189149356	-3.64600406175634	0.339853218576468	1.45034587133666e-07
"Smic37086"	583.584440746397	-4.01392541208863	0.420187775599736	1.77264629772953e-07
"Smic22439"	55.4206749338718	-4.80786672875604	0.588337646790773	2.10551291184103e-07
"Smic34351"	175.544278504619	-4.59111349531223	0.546393229031391	2.47352405257907e-07
"Smic28714"	170.136366869063	4.46072644149363	0.523638450688228	2.91436389081912e-07
"Smic24598"	111.872948187991	-5.92640225253123	0.838398022220242	3.36259602980036e-07
"Smic29979"	160.841332349005	-5.87887775952538	0.828406826098908	3.77870066045112e-07
"Smic23084"	53.3534642344232	-6.16190306952539	0.889979213116188	4.17939328203299e-07
"Smic27925"	52.2668819081034	-4.79149064780838	0.600020856270372	4.61623087053522e-07
"Smic12778"	64.0370503677737	-4.5632509542404	0.552878003807589	5.06891079141366e-07
"Smic20003"	486.120205810043	-3.66454577851411	0.359195048628849	5.49743653669932e-07
"Smic17106"	97.1664375726638	-6.11665941487145	0.891143982255489	5.94046232004717e-07
"Smic44126"	42.6434974927596	-5.21529019887573	0.709274101255707	6.66253111639259e-07
"Smic12060"	291.156993929778	-4.28438979408354	0.504603169692914	7.36666967167969e-07
"Smic24263"	83.8321860070495	-5.89044815033838	0.866201520249856	8.19059278162491e-07
"Smic15308"	46.4858869142507	-4.37863362543263	0.532438951964573	9.08750424012972e-07
"Smic23038"	100.932849294633	-4.00908427561638	0.45307674932793	1.01179375160604e-06
"Smic14776"	85.1661707276181	-4.50970487766856	0.569637028780902	1.12687477652153e-06
"Smic5552"	270.801728942923	4.58282306494205	0.586275431611241	1.23610338681409e-06
"Smic5637"	33.006868455916	-4.96363776200938	0.682448380837807	1.38488433422379e-06
