"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic31710"	435.394912059444	-4.14249333106698	0.243307128494486	0
"Smic28717"	120.479721473871	9.04581464356377	0.789606641806486	1.13255744917998e-19
"Smic8970"	283.285021405921	-3.74922501679299	0.260467862117535	3.11935670035898e-12
"Smic5135"	271.278174272099	-4.37932051129324	0.360926926724367	7.75465808345405e-12
"Smic29410"	191.840968976914	-4.42846637171376	0.369010698938686	1.08760778614377e-11
"Smic20710"	112.309907702939	5.09532414911864	0.515710608134922	1.71425073926455e-10
"Smic21890"	201.698192691671	-3.94709749702722	0.325675387726315	3.07651075863815e-10
"Smic33268"	43.9671983923563	4.23565455537162	0.374182469075292	4.13203222294927e-10
"Smic226"	175.979490260639	-4.54799259119037	0.427707499399065	5.0973619211126e-10
"Smic24049"	470.813985086958	-3.10418479125683	0.188490559476195	6.92946833772318e-10
"Smic34877"	153.266336553209	-4.28149921793982	0.394753627796974	9.70404807492629e-10
"Smic9379"	152.59226753422	-5.06204475129637	0.535843010417158	1.34813539079673e-09
"Smic3917"	143.493655313321	-4.84416206963225	0.498554622499162	1.69239139836678e-09
"Smic27697"	260.96961174377	-4.57145452808064	0.453623706040882	2.08539584051435e-09
"Smic22432"	275.655579394486	-5.79223881483129	0.67012722572356	2.45394386327714e-09
"Smic20532"	205.434157705184	-4.8720181721464	0.514821577229244	3.0579743740495e-09
"Smic12060"	291.156993929778	-4.61926493249775	0.469930443281861	3.61145687242555e-09
"Smic22426"	140.619039291452	-4.86001913332053	0.515540761968877	4.21526707395611e-09
"Smic34351"	175.544278504619	-4.73707967101861	0.512890791945057	6.4860219420303e-09
"Smic39460"	332.100741228218	-3.2001052920944	0.22550768253856	8.7304517839964e-09
"Smic14118"	154.814807439995	-4.62911802504178	0.498768346274926	1.15413684220601e-08
"Smic9240"	28.1917429305275	7.02376628335282	0.974585671704369	1.67881383723885e-08
"Smic31249"	26.4871343904297	7.11581327760707	0.993266065406044	2.17060006648308e-08
"Smic391"	25.7261655579912	9.91362607252714	1.55413319986788	2.81834668179236e-08
"Smic4631"	205.142929712868	-4.26577493512726	0.4471101623708	3.51134351001739e-08
"Smic44475"	134.486361574517	-4.43226628542112	0.48455065174039	4.37187603326265e-08
"Smic1846"	155.777745734081	-5.36321685202457	0.682352759807029	5.74168667534444e-08
"Smic2180"	26.6951730394902	6.04019686754353	0.819873148922567	7.02139791331242e-08
"Smic4748"	27.8861024816825	4.42222068719759	0.495436663196017	8.52613343373679e-08
"Smic29979"	160.841332349005	-5.9141838149464	0.80561245583469	1.02118066687699e-07
"Smic22022"	78.8950694413669	4.78164780253968	0.574644129804546	1.19697947369554e-07
"Smic9974"	137.598929799832	-6.73262651396337	0.979844840055356	1.37293307023769e-07
"Smic10703"	117.331057248079	-4.92607367065462	0.608827271456316	1.56453652600894e-07
"Smic14383"	108.454974069873	-6.56613644613029	0.953662363608387	1.76624240078593e-07
"Smic11159"	141.820572604711	-4.03677758997034	0.426076140628917	1.96580965523467e-07
"Smic28183"	23.305846643839	4.69923687776253	0.571617579408207	2.23539665230969e-07
