"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Smic18375"	29.3425809454051	0.345050368924039	0.243044711719479	0.999999999995094
"Smic1"	0.00438669788823116	-8.35645088349628e-09	0.00144269503546926	0.999999999997547
"Smic2"	0.537113209360763	7.6528163990755e-07	0.0014426933848471	0.999999999998365
"Smic4"	139.911923542894	4.77262851431581e-06	0.00144261594102787	0.999999999998774
"Smic5"	68.0137087443952	-1.09736351092184e-06	0.00144268348209411	0.999999999999019
"Smic6"	14.6723283757081	8.78096140299584e-07	0.00144266583698164	0.999999999999182
"Smic7"	32.9735194458601	1.85662555022766e-06	0.00144265746862419	0.999999999999299
"Smic8"	56.996201301235	-1.96259852436782e-07	0.00144268692926839	0.999999999999387
"Smic9"	5.97955922213543	4.0573633865177e-06	0.00144268409688542	0.999999999999455
"Smic10"	86.0504347135237	-7.41751709900318e-07	0.00144263453406253	0.999999999999509
"Smic11"	42.6551254004753	2.15528219985627e-06	0.00144264891281461	0.999999999999554
"Smic12"	147.142051063516	3.95770122665997e-06	0.0014426320061243	0.999999999999591
"Smic13"	29.4851484574058	-4.0373046484398e-07	0.0014426703548413	0.999999999999623
"Smic14"	15.1323854458475	-1.77979430499418e-07	0.00144268344800705	0.99999999999965
"Smic15"	198.793756078879	7.2496749945373e-07	0.00144263991595979	0.999999999999673
"Smic16"	32.823310689542	-3.28993959525324e-06	0.00144263851271116	0.999999999999693
"Smic17"	61.8732714369669	-4.74492714824275e-09	0.00144267472069421	0.999999999999711
"Smic18"	111.683281527333	3.42234853335635e-07	0.00144269311731867	0.999999999999727
"Smic19"	6.66468605935559	8.76794421365152e-07	0.00144269325476658	0.999999999999742
"Smic23"	60.8715587344354	-6.28869149885079e-06	0.00144267703407418	0.999999999999755
"Smic24"	151.447187978544	-2.23694192319432e-07	0.00144268116624733	0.999999999999766
"Smic25"	56.3409097242108	-4.16115295981448e-06	0.0014426642067263	0.999999999999777
"Smic26"	70.3269345692251	3.71526933192819e-06	0.00144262831408413	0.999999999999787
"Smic27"	19.3744439096694	-8.46911208960982e-07	0.00144266388170016	0.999999999999796
"Smic28"	273.837236351167	-2.69300837798952e-06	0.00144260540479254	0.999999999999804
"Smic29"	83.8584124198639	3.58766180541938e-06	0.00144264951775969	0.999999999999811
"Smic30"	33.469315203312	-3.67542348886443e-06	0.00144268496862073	0.999999999999818
"Smic31"	62.2053163824466	-2.95029107981153e-06	0.00144266078889937	0.999999999999825
"Smic32"	25.6098460258257	-5.26270723292697e-06	0.00144267722421782	0.999999999999831
"Smic33"	10.7054186817729	2.17797800578904e-07	0.00144265656426567	0.999999999999836
"Smic34"	593.543968930713	-4.85491793140701e-07	0.001442662674456	0.999999999999842
"Smic35"	11.349375484214	-1.32730446128708e-06	0.00144267725956203	0.999999999999847
"Smic36"	187.448034027873	-1.16454121520493e-06	0.00144265270580476	0.999999999999851
"Smic37"	15.3302833373252	1.53696227200548e-06	0.00144265968295811	0.999999999999856
"Smic38"	9.72302501632773	-1.1620812929939e-06	0.00144268396019469	0.99999999999986
"Smic40"	74.0054685660269	3.86544364032882e-06	0.00144265826657655	0.999999999999864
"Smic41"	122.240494312819	4.90151734027148e-07	0.00144262795133672	0.999999999999867
"Smic42"	50.2228333213244	1.11535268030221e-06	0.00144266723891254	0.999999999999871
"Smic43"	55.2194944558714	6.63472812039597e-06	0.00144265826655729	0.999999999999874
"Smic44"	0.491841225491819	-3.23989685663079e-07	0.0014426929323469	0.999999999999877
"Smic45"	78.2930865690702	-9.48836155074923e-07	0.00144266957385299	0.99999999999988
"Smic48"	107.44238709165	6.00697659276363e-07	0.00144267639659357	0.999999999999883
"Smic49"	19.8268625588402	-4.3806018384607e-06	0.00144267582056531	0.999999999999886
"Smic50"	5.57172971571068	-1.06587562977059e-06	0.00144268468934934	0.999999999999889
"Smic51"	13.2097370978431	1.35487718472854e-06	0.00144267410611391	0.999999999999891
"Smic52"	2.78330132709734	-1.86125084323062e-06	0.00144268780418807	0.999999999999893
"Smic54"	37.2467361809362	9.33378726301272e-06	0.00144265108679505	0.999999999999896
"Smic55"	12.0726745274123	-2.41328072053333e-06	0.00144268421046617	0.999999999999898
"Smic56"	0.940960718267433	1.93176681264499e-07	0.0014426935793883	0.9999999999999
"Smic57"	42.8718854612132	4.12638504220866e-06	0.00144267221254164	0.999999999999902
"Smic59"	4.15428882084815	7.82578123743503e-07	0.00144268848716399	0.999999999999904
"Smic60"	34.0003148850241	-4.97173138454383e-07	0.00144264777526692	0.999999999999906
"Smic61"	27.960522851059	-5.9935183235865e-07	0.00144267172071034	0.999999999999908
