"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis73"	5508.89396401743	-8.38176655006674	0.641064884246199	0
"Spis122"	1285.31799669221	-4.56615495710618	0.246964736591219	0
"Spis881"	2391.34054475291	-7.49614888637505	0.271728898084266	0
"Spis1456"	1192.06095587812	-7.20749388260005	0.598617440430268	0
"Spis1857.t1"	389.843814022594	-6.18408309574607	0.494061416867208	0
"Spis2369"	389.407199983353	-5.00052417657666	0.301388686274838	0
"Spis2481"	148.186840377735	-8.11003571130374	0.671664886921108	0
"Spis2491"	317.991733070927	-6.30894226139074	0.446534210761093	0
"Spis2715"	3466.8076343814	-5.53433270666652	0.222533929462189	0
"Spis2930"	649.75804783501	-6.46440656749734	0.400707320497186	0
"Spis3203"	612.260276359645	-6.11705420994224	0.345431809088321	0
"Spis3348"	145.069546275974	-6.07363493246533	0.446441838692082	0
"Spis3508"	7681.27578676783	-9.25629138767997	0.42142773422376	0
"Spis3588"	365.913853296654	-11.2962861109021	0.941176973823322	0
"Spis3610"	108.536758551126	-7.0412774967289	0.56958771591512	0
"Spis3639"	711.272355277693	-9.24991930899398	0.560065201814579	0
"Spis3876"	271.863998475275	-6.60617973013841	0.416904506386932	0
"Spis3909"	4672.67030055083	-6.2073354364585	0.309571375291426	0
"Spis4493"	23131.6432870244	-8.68342731941768	0.570730301547393	0
"Spis4494"	856750.97695211	-12.5575415069706	0.640266665746707	0
"Spis4665"	1375.84446685584	-4.74932651304066	0.295213182025667	0
"Spis4729"	2210.82784257812	-4.44407765993218	0.231606953722796	0
"Spis5083"	1487.55450634433	-7.22376797493656	0.509373578807914	0
"Spis5121"	2789.5614874833	-6.61370115766049	0.28319470017366	0
"Spis5259"	782.242884389971	-4.27351174572054	0.245134186368949	0
"Spis5371.t1"	371.97285691673	-4.76933339229256	0.319267665192461	0
"Spis5504"	76.4378303302458	-7.41289217362015	0.611799787481519	0
"Spis5523"	1025.46686944552	-3.8624671299413	0.195165801002215	0
"Spis5775"	451.37038955724	-7.19310325477768	0.524032694793253	0
"Spis5920"	597.100442054208	-5.49708611602721	0.412484339169246	0
"Spis6251"	232.17180087472	-7.58133996672565	0.666044688826482	0
"Spis6594"	220024.407818387	-12.3908243156078	0.586613376809536	0
"Spis6906"	7715.7144178843	-12.3211370041445	0.760061158710724	0
"Spis7223"	1278.94428705556	-4.03400868309384	0.204772304858237	0
"Spis7454"	363.983053340757	-4.41891176820644	0.226143260059494	0
"Spis7609"	230.5373655409	-8.41882737943795	0.758937462957591	0
"Spis8151"	213.024933635025	-6.53034530313244	0.454728923108379	0
"Spis8152"	1185.94763158779	-6.13289771103966	0.457235001510561	0
"Spis8966"	825.484353106585	-3.96975915508609	0.232972222272847	0
"Spis9018"	181.434044903577	-7.143271473739	0.567672176081139	0
"Spis9026"	191.142044427307	-7.15122914453096	0.540647984207853	0
"Spis9537"	25928.9615985852	-11.0181439352801	0.599665478660515	0
"Spis11066"	864.807050692131	-4.32959956064286	0.214579831166654	0
"Spis11311"	2084.29311111211	-7.34259709241543	0.42473459872418	0
"Spis11923"	314.030881707621	-4.9531045982274	0.320126571721335	0
