"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis9810"	11136.2675119756	-12.1607571505748	1.14968045242275	0
"Spis6594"	220024.407818387	6.84604493368826	0.570946911577186	5.26767540527916e-18
"Spis9814"	7874.5960169368	-11.4764715192689	1.14461219827064	4.05192177576913e-17
"Spis20623"	1976.79716831154	8.49299798289067	0.807663050216027	1.43385123266736e-16
"Spis9221.t1"	1004.52095951961	-8.34980947812283	0.820637615398399	1.13611328126853e-15
"Spis12789"	242.333866358772	-8.38702091884951	0.856287933209437	8.21872187901855e-15
"Spis25750"	1682.23402820021	-6.87466493067178	0.654582912139645	1.38645601904276e-14
"Spis5422"	2059.85376842291	-6.01322755567303	0.596465761804918	1.08464856531795e-12
"Spis19650"	2067.00066744322	-14.631432318105	1.94571567066869	5.67239053251353e-12
"Spis18282"	868.350826209499	6.74387522597759	0.738023125519236	1.15777602546909e-11
"Spis23000"	207.625310842192	5.22767043061387	0.513442283998917	2.53001093435889e-11
"Spis10336"	109.760169396602	-5.08939855421087	0.507303429685519	7.02838656373516e-11
"Spis18853"	115.070582034286	-5.49295425676595	0.611799154469526	5.01152789235458e-10
"Spis2745"	8369.84077709387	-4.15755136268574	0.380701929116745	9.83451656509996e-10
"Spis24169"	3962.5420922419	6.37007370898712	0.803041994490658	2.67507017489215e-09
"Spis3399"	72.5349439705174	-8.16937884751243	1.15255161733155	5.21423220770802e-09
"Spis5858"	104.486071191341	-5.26184030478996	0.618647978177897	8.8650274068303e-09
"Spis9880"	2517.30478092803	-4.11589106056149	0.409499417557542	1.49796854814448e-08
"Spis12169"	1867.94862627651	6.08471251026145	0.802052742473513	2.34747373242639e-08
"Spis6906"	7715.7144178843	5.70917788135707	0.735744869643907	3.38549762640227e-08
"Spis11918"	75.4240889622616	-5.98270477293883	0.795960771219927	4.56372266564221e-08
"Spis13684"	77698.9361065082	5.67424699511475	0.746525400958196	6.30520882646185e-08
"Spis4046"	727.987683214746	-4.99695754958499	0.615399650139231	8.4578913493148e-08
"Spis8984"	980.109300141078	-3.69649250219863	0.351610379372015	1.10233620053286e-07
"Spis12969"	38.2503925220194	-4.48474247635211	0.515667549066978	1.34753032685142e-07
"Spis22068"	403.890554324079	8.51330796897662	1.35881130568465	1.61106595524328e-07
"Spis826"	64.2196194914819	-5.50765932309619	0.733695193508581	1.87470784072088e-07
"Spis1888"	110.942353121795	-5.51984973668394	0.755077065214103	2.36810383523487e-07
"Spis19709"	32.2806555533628	4.99097345477509	0.643651971668721	2.86746769242101e-07
"Spis4399"	544.617672661239	-4.83997000597319	0.617659364485209	3.48298205933252e-07
"Spis3553"	254.40779791373	-3.84620123122348	0.409043103687054	4.39929468579229e-07
"Spis11555"	619.12371682168	4.30974203227604	0.51469258631434	5.38720776318095e-07
"Spis10235"	59.9672053507834	-4.99111262962593	0.675844314452565	6.68019086329811e-07
"Spis20633"	868.788855650231	-4.49175490033261	0.563905746897735	7.94366095212704e-07
"Spis1358"	36.3034667793288	-7.15359731781499	1.16714177261792	9.15589527064709e-07
"Spis3245"	86.8083299781017	-9.47758806188899	1.70507490287208	1.05088599482595e-06
"Spis11033"	52.5428038002814	-5.29457644146172	0.764440156122081	1.24330764367064e-06
"Spis2736"	3426.65855491423	-3.28749166686972	0.301803465515588	1.47245012928097e-06
"Spis8004"	38.9879879524013	-5.57017278969975	0.839419728965464	1.70493877708126e-06
"Spis25338"	428.529233765365	-4.46693776923608	0.580901417093813	1.93344356999e-06
"Spis22460"	65.4355349614385	-4.97110468209062	0.700903568055911	2.16013287770083e-06
"Spis20632"	41.2765838587393	-7.98879136586031	1.41342926632989	2.37829734806785e-06
"Spis20007"	44.879527517681	-6.31024691789626	1.01823714661921	2.59106377337534e-06
"Spis21128"	35.0142549189505	-5.00273505661822	0.710750489421835	2.80401486960298e-06
"Spis14835"	11.9876840832503	8.47158286222674	1.53250705411078	3.00971188291292e-06
"Spis19395"	246.666859359943	-3.86391444942765	0.445181350490492	3.2517108423913e-06
"Spis4083.t1"	51.6776272402892	-4.62422010919747	0.628304670009336	3.4972170798202e-06
"Spis15414"	38.7752337812326	-4.75373179791668	0.664836864178745	3.78304708596762e-06
"Spis236"	638.962277246762	-4.48146186189414	0.599298141099043	4.0592894394983e-06
"Spis8785"	20.9196490398319	-5.78685279696507	0.919507281824419	4.35969851034141e-06
"Spis5845"	282.796746957066	7.31590868381995	1.29646375037106	4.67871386932628e-06
"Spis19805"	79.7252076804836	-5.59987006906288	0.887081017002641	5.06443100168222e-06
"Spis1280"	205.734593113328	-4.46879509624657	0.610289623543589	5.46189118141921e-06
"Spis5111"	70.6430595254594	-5.94478604631334	0.978115918994328	5.87054693864714e-06
"Spis13485"	50.841306380347	-7.7828224293034	1.45415076757655	6.39888078953471e-06
"Spis6275"	60.4324071961224	-4.63065033929503	0.662228708059598	6.91984930452171e-06
"Spis11762"	111.355536798805	-4.47589788869245	0.627164846516583	7.49042202880074e-06
"Spis16078"	51.2076599644671	-4.27875906628321	0.580008373239487	8.09711506245009e-06
"Spis3494"	22.3335756380948	-7.65421567988713	1.45243460084313	8.79922924637245e-06
"Spis22211"	104.464484348458	-6.50114313533402	1.16238199000153	9.55085532573701e-06
"Spis1636"	81.0746224872829	-6.30892283827046	1.11402642691625	1.02941587988948e-05
"Spis22921"	45.9526494343162	-4.53334210627672	0.656748755922468	1.10523169517272e-05
"Spis2751"	10659.1950089578	-3.39746102053413	0.362341087167992	1.1788803490657e-05
"Spis19923"	39373.8049386658	4.40804328647418	0.625087444301716	1.25186586639137e-05
"Spis15511"	34.7245435433684	-4.4023494170977	0.624531772462442	1.32472047738022e-05
"Spis9239"	33.3897915061133	-5.62295209357767	0.954562237205864	1.41631676361664e-05
"Spis2746"	2892.22593971129	-3.55667193968037	0.410847071487121	1.50808504844e-05
"Spis24979"	10.3192277854281	7.28441325739545	1.39519597398816	1.59776253057138e-05
"Spis1420.t1"	159.847471530057	-3.90191511502641	0.506640522343191	1.70073209191116e-05
"Spis20678"	279.814288355622	-4.20381236171393	0.589142152265876	1.80750602743198e-05
"Spis8240"	126.811511006593	-7.82157466909613	1.55775926256216	1.91311893308932e-05
"Spis3382"	269.771402202324	-3.48414110571935	0.397329319157705	2.01675433167659e-05
"Spis19598"	47.4253320805612	-4.78659111350278	0.748832377067145	2.1249087222645e-05
"Spis17787"	137.353471563277	-5.78326819024997	1.0210606513468	2.23889376295853e-05
"Spis17361"	327.173140276702	-3.82059194574372	0.49158460276891	2.35079578211259e-05
"Spis22021"	25.504938332375	-6.72849225528679	1.27735257710005	2.4607083029908e-05
"Spis16071"	51.1242549357694	-7.22939177262734	1.41384948219062	2.56947481237482e-05
"Spis2737"	980.636345363362	-3.80505221517217	0.489112015332758	2.68002122134392e-05
"Spis1905"	10196.1711156113	-3.16522461930869	0.316261534920759	2.79120367083136e-05
"Spis23125"	158.481066445214	-4.06916901057082	0.563118433170658	2.90527092210844e-05
"Spis19713"	32.5604366617185	-5.17457846890733	0.863982291826949	3.01659481834418e-05
"Spis24313"	747.181457882442	-15.2422157687099	3.61190249498708	3.1298756569432e-05
"Spis19126"	227.414062004878	-3.64655764042075	0.451074309941318	3.24995651668409e-05
"Spis17351"	983.03049557841	-5.06292522035743	0.840443069688632	3.37078938131743e-05
"Spis23633"	103.731730844911	-7.14494775991402	1.41504681493163	3.4940905064433e-05
"Spis14851"	25.4657225488016	-4.27880309273461	0.62792382808847	3.61881199122556e-05
"Spis13743"	783.419088340067	-3.7310697519999	0.481865276307536	3.7654935822116e-05
"Spis16282"	39.0313022380776	-5.65698433090286	1.0237886056698	3.92398246408327e-05
"Spis2157"	198.712129232508	4.21075762112293	0.62008788459195	4.08412505426034e-05
"Spis24557"	115.895380811206	-5.11426024535408	0.885462293168464	4.28112803637371e-05
"Spis19109"	458.749350739938	5.30199285939077	0.940097155284608	4.47808645770342e-05
"Spis14804"	33.6234956758157	-4.56405962223985	0.734047768117122	4.68895048721068e-05
"Spis17585"	53.8584701142371	-5.07005380682632	0.880098012680288	4.89986822115541e-05
"Spis13480"	47.4109911153499	-3.96845294412168	0.564509695102233	5.1075540101333e-05
"Spis6796"	44.1271473371469	-3.41402433202064	0.407046908797295	5.32380447307012e-05
"Spis3249"	3808.88166846335	-3.15653442951024	0.334513578219515	5.5524586858957e-05
"Spis4338"	23.0615700101824	-5.26546375010659	0.946090549905845	5.78254128344117e-05
"Spis22531.t1"	77.7807983617493	-5.98872063024778	1.15744788602069	6.01367253971499e-05
"Spis16687"	27.8479358023923	-4.33908104951877	0.680551214085399	6.24995411137958e-05
"Spis158"	320.167236732842	-4.41881049991059	0.704986860275258	6.48813395511313e-05
"Spis6888"	154.483452474672	-5.82562644597631	1.11653755537185	6.72676428366539e-05
"Spis2913"	62.1226541545183	-3.63141307148784	0.476539557412687	6.96390310426272e-05
"Spis15725"	20.9756167513744	-4.51558751853239	0.735483326339311	7.19992233143031e-05
"Spis18489"	1905.88760610592	-16.0214817107747	4.10098926945871	7.43281008022643e-05
"Spis3513"	48.9289641444662	-3.9674201241534	0.5755843208637	7.66227737331405e-05
"Spis10135"	1099.04123691663	-3.29539857284637	0.380930055277602	7.90712892849686e-05
"Spis1615"	42.7656787340165	-5.82791085392219	1.12619719473778	8.14930554082602e-05
"Spis4652"	444.149185719391	-3.56350306399566	0.4615521231233	8.40040162425951e-05
"Spis9175"	86.6001831748113	-4.04147068368833	0.603160508919573	8.65028868765678e-05
"Spis6260"	2050.85901990033	-3.73809614316597	0.514668834885023	8.90460543693841e-05
"Spis15621"	129.690712366086	-7.77365746206036	1.70969404444568	9.15446407525608e-05
"Spis23389"	55.1922041976971	-5.94728929035991	1.16920943217039	9.40102767778915e-05
"Spis8008"	34.6981181226597	-4.7403432523537	0.813260219011975	9.65094577541428e-05
"Spis21618"	1492.58805728778	-3.74201815092802	0.51784174166233	9.9032284104041e-05
"Spis20080"	145.658578342912	-3.07499356930184	0.321818222235607	0.00010180875601697
"Spis5095"	224.698426918553	-5.75644390480412	1.12490379734644	0.000104550734565795
"Spis20371"	1288.0148809632	3.76483839592932	0.529242798365042	0.0001073070301026
"Spis3566.t1"	247.896676848075	-2.99536180407839	0.300262981367556	0.000110281293443023
"Spis6005"	22.2670221281764	-4.30873467106943	0.697175519147373	0.000113252845302363
"Spis10993"	23.0823746825636	-5.5471327009316	1.07144975484444	0.00011618819373619
"Spis23721"	23.6183100253613	-6.07578311290277	1.23387843050956	0.000119177476183814
"Spis17688"	49.4069307637719	-5.33666843205181	1.01035517429175	0.000122128360610432
"Spis6909"	18.1474775348165	-5.6494891385064	1.10819386056904	0.000125162224282544
"Spis446"	4900.04576229544	-3.46563210004664	0.446082007261802	0.000128256783517587
"Spis20303"	41.1754355844358	-5.8856567895058	1.18808081205389	0.000131524539038636
"Spis9679"	52.8419841899131	-3.9231595806617	0.592958261301715	0.000135168832584473
