"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis9810"	11136.2675119756	-12.0229968508479	1.15020760716037	0
"Spis9814"	7874.5960169368	-12.7128760135284	1.13950358663693	0
"Spis18282"	868.350826209499	7.66107418268214	0.754190571582438	1.01479264877618e-14
"Spis22524"	172.940496361265	-8.66476597237256	0.892850881931519	1.80470412972978e-14
"Spis20623"	1976.79716831154	7.74740330278818	0.800684976265563	8.51203057730831e-14
"Spis25750"	1682.23402820021	-6.65583789704933	0.654999078571079	1.68929273784483e-13
"Spis5422"	2059.85376842291	-5.98110274676011	0.596436992851166	1.91304873170719e-12
"Spis9221.t1"	1004.52095951961	-7.4185264303842	0.823477155478417	4.61309432006081e-12
"Spis6594"	220024.407818387	5.69242839125338	0.571421378003309	9.84739331664193e-12
"Spis2745"	8369.84077709387	-4.40538981330874	0.380371815752963	2.16242457682946e-11
"Spis6906"	7715.7144178843	6.33241527705779	0.73772012610052	2.14536537305875e-10
"Spis5858"	104.486071191341	-5.62324998413088	0.617752170423255	3.8355352901437e-10
"Spis1888"	110.942353121795	-6.38835306131571	0.751463016081351	5.55128265819691e-10
"Spis24169"	3962.5420922419	6.60724429468238	0.806895449371843	9.19340955773162e-10
"Spis11033"	52.5428038002814	-6.26999648467778	0.761533765864013	1.54386492037769e-09
"Spis19650"	2067.00066744322	-12.9276894467404	1.95004159069344	2.10260423241585e-09
"Spis10336"	109.760169396602	-4.83857411933024	0.508364714939553	2.67129399909746e-09
"Spis19395"	246.666859359943	-4.47106579047489	0.443804438595412	3.23901152444678e-09
"Spis12789"	242.333866358772	-6.76935404495608	0.861725352493524	3.88916467687818e-09
"Spis2736"	3426.65855491423	-3.64688261585768	0.300545288063517	4.76013393926167e-09
"Spis17787"	137.353471563277	-7.36217844859203	1.00978164105157	7.14021310016099e-09
"Spis18853"	115.070582034286	-5.18856200778088	0.61283962950629	1.12740723696295e-08
"Spis25338"	428.529233765365	-4.98167309466015	0.579124839204178	1.64895415891935e-08
"Spis15511"	34.7245435433684	-5.20456368790846	0.622797364467611	2.13629117747717e-08
"Spis13684"	77698.9361065082	5.82008115710267	0.746166275580552	2.66317220784527e-08
"Spis23623"	69.7983656808843	-5.95075967420199	0.773601311900032	3.19028769745369e-08
