"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis122"	1285.31799669221	-4.34757283702814	0.23746376125655	0
"Spis873"	797.756648524013	-4.64522031569434	0.280359929318018	0
"Spis881"	2391.34054475291	-7.06843350093195	0.260143235074551	0
"Spis1277"	282.730241455975	-6.46948199782071	0.513742692874544	0
"Spis1857.t1"	389.843814022594	-6.36661898819632	0.472328324221008	0
"Spis2369"	389.407199983353	-4.85387154695783	0.28888653993333	0
"Spis2491"	317.991733070927	-6.01638433913157	0.42740928160025	0
"Spis2715"	3466.8076343814	-4.36308236069143	0.21352206404472	0
"Spis3041"	270.491413395766	-10.6251699210202	0.851493259701241	0
"Spis3203"	612.260276359645	-4.89837008488922	0.328673829272908	0
"Spis3508"	7681.27578676783	-8.01441017196083	0.403435678095808	0
"Spis3588"	365.913853296654	-10.069353163938	0.817499528542098	0
"Spis3639"	711.272355277693	-6.91142845459389	0.518053646488103	0
"Spis3876"	271.863998475275	-5.48822424489178	0.392827211224173	0
"Spis3909"	4672.67030055083	-4.86102150572479	0.297531484118334	0
"Spis4493"	23131.6432870244	-7.50163622122172	0.548757627748287	0
"Spis4494"	856750.97695211	-8.36397625675197	0.616462618280451	0
"Spis4687"	446.465418314109	-3.98773792747788	0.227788325417602	0
"Spis4729"	2210.82784257812	-3.91660295116066	0.222530438610256	0
"Spis5121"	2789.5614874833	-5.24221768272529	0.271879444321043	0
"Spis5504"	76.4378303302458	-6.80500221170849	0.569677731593672	0
"Spis5775"	451.37038955724	-7.6090071885627	0.507756084268628	0
"Spis5891"	928.389666547583	-3.87529450319784	0.178775637701033	0
"Spis6594"	220024.407818387	-8.89088096021285	0.563585999378821	0
"Spis7070"	73.0148876382924	-5.47595272467576	0.415116515627215	0
"Spis7609"	230.5373655409	-8.68293272923546	0.729627573722314	0
"Spis8458"	126.787474905756	-6.25766231168489	0.42514413114274	0
"Spis9537"	25928.9615985852	-7.8908445723917	0.57567845397257	0
"Spis10811"	326.342610354191	-4.52881770485594	0.285910490972122	0
"Spis11311"	2084.29311111211	-8.51358902169044	0.409835944411783	0
"Spis11923"	314.030881707621	-4.78822004872702	0.306747167834133	0
"Spis11936"	3692.64590108413	-5.52239949403419	0.25387037514463	0
"Spis11996"	37644.1830511163	-5.00671486597365	0.245387057119995	0
"Spis12107"	1882.15694107665	-5.4859957615794	0.308153288350771	0
"Spis12300.t2"	1840.43082081716	-4.43685510962635	0.282614573794771	0
"Spis12843"	2773.8484852087	-5.54559044033094	0.325190169397202	0
"Spis13146"	2319.05591805982	-6.32620759876053	0.323011916255405	0
"Spis13162"	300.598117026167	-5.0770640409519	0.339375807098909	0
"Spis13190"	700.050563232702	-4.01432283773412	0.226379594184819	0
"Spis13358"	52.5902790460779	-7.38271287241088	0.611859086629826	0
"Spis13605"	348.898070605707	-6.52830346746024	0.448002474502124	0
"Spis13806"	1548.86471045949	-3.79397415561306	0.198147895562392	0
"Spis13992"	1505.40003620157	-5.28410853965864	0.374684842311477	0
"Spis14136"	1684.6486864357	-5.97600294611353	0.455608463477097	0
"Spis14138"	134.039188431759	-5.96639884470747	0.469260597720612	0
"Spis14544"	1220.12994601075	-7.0257106606784	0.370265942505263	0
"Spis14640.t1"	3949.12387316202	-4.61874558499674	0.250764744188424	0
"Spis14978"	2750.72512917285	-5.23520133463469	0.288279634710512	0
"Spis15210"	351.773446702883	-6.50867885333396	0.44961764092991	0
"Spis16084"	1928.19352722695	-3.64374194313178	0.128214778349586	0
"Spis17096"	215.373003842467	-8.29614355009543	0.705106055410451	0
"Spis17863"	991.617106383423	-5.20002393187148	0.245578479607759	0
"Spis17885"	18938.0367017206	-7.80080203698573	0.21798279344452	0
"Spis18323"	14296.5846734634	-4.49618066640982	0.203844086461458	0
"Spis18340"	157.388421044482	-5.72181986518576	0.437683930644374	0
"Spis18343"	1204.78769024944	-5.87852331897923	0.449966577814742	0
"Spis19109"	458.749350739938	-10.5910154301774	0.917856472254839	0
"Spis19174"	13945.3207290577	-7.06053169837717	0.50990259614342	0
"Spis19175"	11654.1612704934	-7.44412874075849	0.452091843031485	0
"Spis19922"	142228.730351163	-8.50038654712715	0.609282838862608	0
"Spis19923"	39373.8049386658	-8.4856442692723	0.610836396160138	0
"Spis19925"	54827.3992894917	-8.9231830242127	0.687420591408849	0
"Spis20501.t1"	281.526976648206	-6.47996408871038	0.406551312692473	0
"Spis20502.t1"	194.058276601445	-5.46553660922827	0.413572513192551	0
"Spis20885"	257.655471118544	-7.14359482959163	0.612758900934909	0
"Spis21335"	74.5107471369364	-8.80759764011391	0.745130237070868	0
"Spis23000"	207.625310842192	-6.96454535413955	0.524427268329355	0
"Spis23974"	3033.90634177727	-10.3461385025929	0.648351941493427	0
"Spis4998"	1325.39650237152	5.10223226275414	0.328358594437243	2.5099259860248e-23
"Spis6232"	2506.31175696921	4.59814362344979	0.278525751345262	1.01658645194618e-22
"Spis22696"	881.947261181854	5.24723194777146	0.352321978356054	3.16070517634461e-22
"Spis5433.t1"	802.73247332474	5.29213251738417	0.369046455312625	3.53098065790667e-21
"Spis6380"	8021.92250870052	4.06502340652287	0.232247034537584	7.61220051078416e-21
"Spis16190.t1"	1897.32703324468	5.90392114866721	0.441917072327227	1.43299453384083e-20
