"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis4998"	1325.39650237152	-5.1103193669205	0.329094582965288	0
"Spis5433.t1"	802.73247332474	-5.29751119421195	0.370072763528371	0
"Spis6232"	2506.31175696921	-4.5974828179892	0.27873450988072	0
"Spis6380"	8021.92250870052	-4.06624979268608	0.232197621956584	0
"Spis7929"	1676.8958183097	-3.84286871665565	0.222054165604821	0
"Spis11895"	2053.4814959007	-5.61215083169892	0.41906513459565	0
"Spis14708"	783.186229690255	-5.94109292263766	0.449419542091855	0
"Spis16190.t1"	1897.32703324468	-5.91760227945627	0.442542223986389	0
"Spis18991"	1245.54092145271	-4.50436912678332	0.292775254443126	0
"Spis19034"	860.57060937305	-4.87227791514793	0.342572403990797	0
"Spis20207"	1059.47705185843	-4.28214000100119	0.265511423253692	0
"Spis22696"	881.947261181854	-5.2568870192312	0.353241085747979	0
"Spis17885"	18938.0367017206	7.80687927508277	0.218184487980321	1.77233788879808e-157
"Spis881"	2391.34054475291	7.07644163389175	0.260569956122019	5.56624732828303e-86
"Spis11311"	2084.29311111211	8.53449072815562	0.411365283781954	2.68813830654841e-58
"Spis3508"	7681.27578676783	8.03588053910754	0.40492141425957	9.37227665937761e-52
"Spis11936"	3692.64590108413	5.5277416819915	0.254093467516166	2.34115513878477e-45
"Spis14544"	1220.12994601075	7.03507148049634	0.371179395536033	1.81447656230322e-43
"Spis13146"	2319.05591805982	6.33299148397307	0.323138083486308	1.57933388540386e-42
"Spis17863"	991.617106383423	5.21476635721943	0.245896586707039	1.17937423350706e-40
"Spis16084"	1928.19352722695	3.64704028910779	0.128192061264969	2.20774624551471e-39
"Spis23974"	3033.90634177727	10.3941115151267	0.654702613043221	4.94058445339449e-39
"Spis11996"	37644.1830511163	5.01221637850706	0.245580161384811	3.0130857376328e-36
"Spis18323"	14296.5846734634	4.49993070580415	0.20394624860666	6.06673535762868e-36
"Spis6594"	220024.407818387	8.95167480425786	0.567479994061184	9.18070964094936e-36
"Spis19175"	11654.1612704934	7.47318636435173	0.453791332617997	4.14561356789134e-35
"Spis5121"	2789.5614874833	5.25113020732432	0.271903767570832	1.50551137017151e-34
"Spis12107"	1882.15694107665	5.49428583027721	0.308768509663606	1.93534195634401e-31
"Spis14978"	2750.72512917285	5.23953124000392	0.288342343406265	6.60032739816885e-31
"Spis2715"	3466.8076343814	4.36658498686903	0.213631964659368	3.31581336790608e-30
"Spis5775"	451.37038955724	7.61885479371992	0.510042674243171	8.34436913271247e-30
"Spis20501.t1"	281.526976648206	6.48654834645777	0.407309117198369	1.31335748135488e-29
"Spis12843"	2773.8484852087	5.54548226296811	0.325545488912355	3.20355808857981e-29
"Spis19922"	142228.730351163	8.57293873394775	0.613924447932161	1.70731325924017e-28
"Spis19923"	39373.8049386658	8.55657411264452	0.615495647503495	4.08316443932887e-28
"Spis5891"	928.389666547583	3.88230085711355	0.179171417340673	1.52773771878509e-27
"Spis14640.t1"	3949.12387316202	4.62351908424598	0.25094968302902	3.3774732839503e-27
"Spis4494"	856750.97695211	8.43252377846601	0.62113772657049	8.45853193645403e-27
"Spis9537"	25928.9615985852	7.94068905780663	0.579257030474474	2.25441147576236e-26
"Spis3041"	270.491413395766	10.6789704027513	0.857639420679237	7.85113270292711e-26
"Spis19925"	54827.3992894917	9.01874482002983	0.694356029700028	1.38508575490624e-25
"Spis13605"	348.898070605707	6.54455397911502	0.449909513499348	2.0028149759169e-25
"Spis4493"	23131.6432870244	7.54423779412429	0.551659808200279	3.02334972103981e-25
"Spis15210"	351.773446702883	6.52590583371121	0.45071113656812	4.09028701908687e-25
"Spis8458"	126.787474905756	6.27024179630289	0.426027610172592	5.33607683141395e-25
"Spis19174"	13945.3207290577	7.10437882784964	0.51337834608246	8.16906232264353e-25
"Spis122"	1285.31799669221	4.35226254006279	0.237653135399002	1.25185150347086e-24
"Spis2369"	389.407199983353	4.85918006978272	0.288990526631126	1.68766407034685e-24
"Spis3588"	365.913853296654	10.1330336250892	0.826768838761695	2.44812392351243e-24
"Spis3909"	4672.67030055083	4.86996571170893	0.297865282212011	8.08209443349973e-24
"Spis3639"	711.272355277693	6.93705828185341	0.519960815347968	2.9500885011015e-23
"Spis23000"	207.625310842192	6.97829359666916	0.525881849038836	5.67415746490926e-23
"Spis873"	797.756648524013	4.64981560678575	0.280597825346541	8.96948601915613e-23
"Spis2491"	317.991733070927	6.03303064890387	0.428677183585209	1.34817762236239e-22
