"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis6906"	7715.7144178843	5.11406691444995	0.744508262536518	1.44023315331079e-05
"Spis13684"	77698.9361065082	5.09856088629994	0.751938663775181	1.66416663988593e-05
"Spis24169"	3962.5420922419	4.70005475116138	0.820763000920561	0.000178258256433256
"Spis19390"	64.4600814208014	3.74091662732974	0.825140792911561	0.00449269058230939
"Spis10490"	109.981448359642	4.40244583079242	1.29943176026727	0.0100421953477863
"Spis23196"	5.03060648183293	5.73261809301591	2.03875698663637	0.013962318978003
"Spis22634"	57283.6498907471	3.1065244549539	0.651872475850004	0.0183684588450954
"Spis19109"	458.749350739938	3.56582964937624	1.03203945303242	0.0241481173637178
"Spis23429"	5.92493099649127	5.31477135879957	2.4107779603006	0.0308615299258888
"Spis11098"	124.719971496106	3.18381972855682	0.876029898451466	0.0366046038969315
"Spis23369"	26.9404521871441	3.14404362648049	1.10294671695829	0.0468957413237128
"Spis16721"	5.70431992542049	3.35340904883803	1.85674655384174	0.0624066840693711
"Spis12260"	66.4773152253309	2.38793109936035	0.686092305313337	0.0795979907986009
"Spis14395"	80.3350115655	-1.93344050227149	0.997445397240701	0.111526824390546
"Spis17749"	262.562825246983	1.7773723347678	0.547851420618813	0.147942556033825
"Spis19923"	39373.8049386658	1.54121483187279	0.750815010168699	0.184284684321283
"Spis23770"	547.356229400606	1.59185652437495	0.65894277254726	0.216513274772604
"Spis6594"	220024.407818387	1.56305610703427	0.661380962677534	0.245906028589274
"Spis6931"	66.3894464726711	1.4587786995367	0.643675897457735	0.275057190474298
"Spis19922"	142228.730351163	1.16851212960894	0.93385537474456	0.301972808749045
"Spis4493"	23131.6432870244	1.2250219112637	0.715620617655287	0.328573326463929
"Spis15705"	91.9676014560193	1.2599220065975	0.601958950737985	0.354117643295037
"Spis6902"	106.372270322896	1.07195470148796	0.696927392504849	0.378221577330484
"Spis5083"	1487.55450634433	1.18528100793734	0.59344467860632	0.400591625194928
"Spis8152"	1185.94763158779	0.998110071855634	0.555749041679801	0.423139485916202
"Spis12180"	646.479613260948	0.578984446060011	0.582937212261129	0.445042163942783
"Spis1.t1"	1152.65008219912	-3.20418422879742e-06	0.00144268141734227	0.465596157870828
"Spis2.t1"	336.128185177605	9.29303545238597e-07	0.00144268892150842	0.484682009375442
"Spis3"	806.48716356628	-1.9945015160048e-06	0.00144267497687703	0.502451595259047
"Spis4"	174.837868067591	-2.14921475562823e-06	0.00144267583981507	0.519036542083746
"Spis5"	130.011148716964	-4.43492600913426e-06	0.00144268999227416	0.534551492339109
"Spis6"	1743.24306237813	5.33925379478067e-06	0.00144266138986699	0.549096758203511
"Spis7"	21.6307089113227	-4.41539447064349e-06	0.00144269116395091	0.562760492803405
"Spis8"	125.866397880822	-2.23762240423146e-06	0.00144268391906931	0.575620478309187
"Spis9"	195.513769633721	1.12317801519234e-06	0.00144267212569212	0.587745607500353
"Spis10"	655.025570636321	1.85558330584666e-06	0.00144269226058267	0.599197118403121
"Spis11"	25.979965374562	5.07744713398053e-07	0.00144268669905673	0.61002962871655
"Spis12"	301.772403178231	-3.92501199116196e-06	0.00144268725356722	0.62029200690822
"Spis13"	1.28475930311289	2.16584624309444e-07	0.00144269491019205	0.630028109295189
"Spis14"	79.58418395771	-8.5364748094717e-06	0.00144268502728564	0.639277406562809
"Spis15"	227.283353882384	8.53117444769888e-07	0.00144268577756224	0.648075518597863
"Spis16"	2.2532841670706	-5.58692968537032e-07	0.00144269433660467	0.656454672916961
"Spis17"	66.8830194005824	-8.1891263412857e-07	0.00144268556769559	0.664444099128195
"Spis18"	6.5265896961282	-1.25228362834634e-06	0.00144269294824232	0.672070369602554
"Spis19"	326.637278643082	4.01651667116129e-06	0.00144267493945865	0.679357694722497
"Spis20"	188.143607346011	-2.5074733050508e-06	0.00144268618667687	0.686328179619834
"Spis21"	27.4178478718609	-4.0675976637403e-06	0.00144269037701297	0.693002048138561
"Spis22"	175.616560762815	-3.97881722275096e-06	0.00144267667563858	0.699397838802341
"Spis23"	128.640567453672	-3.94877916681495e-06	0.00144267846707461	0.705532576785967
"Spis24.t1"	86.1662308729241	-2.88575717523409e-06	0.00144267817886346	0.711421925250247
"Spis25"	5.4849412817554	2.17985579629493e-07	0.00144269276961414	0.717080318872792
"Spis26"	80.9731692241041	-3.34951067332906e-06	0.00144268503300616	0.722521081971392
"Spis27"	161.353494501568	-1.73594826007551e-06	0.00144267363717409	0.72775653325495
"Spis28"	274.730913179016	-2.70197697111314e-06	0.0014426853809196	0.732798078935414
"Spis29"	430.877497386825	3.3762834404327e-06	0.00144268049542894	0.737656295682043
"Spis30"	1337.37518890849	-4.93924332413186e-06	0.00144268308292524	0.742341004687721
"Spis31.t1"	167.906642710042	1.91446039287426e-07	0.00144268314961549	0.746861337938813
"Spis32"	0.550436258549264	-1.61984559757774e-07	0.00144269486031685	0.751225797629524
"Spis33"	104.375869497273	-2.35084250010003e-06	0.00144267307381738	0.755442309534108
