"baseMean"	"log2FoldChange"	"lfcSE"	"svalue"
"Spis122"	1285.31799669221	-4.80264376345521	0.246908245716766	0
"Spis881"	2391.34054475291	-7.25552798469186	0.270002917676481	0
"Spis1403"	751.506920740969	-4.88734302009402	0.296962105429461	0
"Spis2369"	389.407199983353	-5.20862644257394	0.300051945836284	0
"Spis2715"	3466.8076343814	-4.25118485962322	0.221671701453636	0
"Spis3041"	270.491413395766	-9.4697967870758	0.818219195856	0
"Spis3508"	7681.27578676783	-7.54920460652863	0.419010021737384	0
"Spis3588"	365.913853296654	-9.56000847189376	0.838976236874347	0
"Spis3639"	711.272355277693	-7.34596526101224	0.541044341042896	0
"Spis3876"	271.863998475275	-5.73029148098691	0.410298525849677	0
"Spis3909"	4672.67030055083	-5.37353441991391	0.309081239542263	0
"Spis4493"	23131.6432870244	-7.41897422205976	0.571151772977342	0
"Spis4494"	856750.97695211	-9.01053945856225	0.641627863707037	0
"Spis4687"	446.465418314109	-4.00954912190324	0.236446290307636	0
"Spis5121"	2789.5614874833	-5.2706642224913	0.282248494514551	0
"Spis5775"	451.37038955724	-6.50643236973849	0.520204246311034	0
"Spis5891"	928.389666547583	-3.98693072826414	0.185424918180153	0
"Spis6594"	220024.407818387	-10.0252207936741	0.586113964928476	0
"Spis7223"	1278.94428705556	-4.05260378054656	0.204328312483845	0
"Spis8151"	213.024933635025	-5.73664426875372	0.441361614169899	0
"Spis8458"	126.787474905756	-5.88519411703561	0.433763521156654	0
"Spis8966"	825.484353106585	-4.18936731595995	0.232700305455097	0
"Spis9537"	25928.9615985852	-7.5525175884134	0.599568066899782	0
"Spis11311"	2084.29311111211	-8.50364992276391	0.424043793074616	0
"Spis11936"	3692.64590108413	-5.36777237150295	0.263492812802899	0
"Spis11996"	37644.1830511163	-4.70992665859159	0.254889720027468	0
"Spis12107"	1882.15694107665	-5.6881609182321	0.320271148638579	0
"Spis12300.t2"	1840.43082081716	-4.44469340640971	0.293570805767121	0
"Spis12843"	2773.8484852087	-5.17877924429318	0.337723574977624	0
"Spis13146"	2319.05591805982	-5.93297032328934	0.335210636422252	0
