sampleName	fileName	sample	Temp	Reef.Site.Name	condition	path	replaceable
ES1-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES1-30A/results0920_kallisto_Spis_Smic/abundance.h5	ES1_30A	30	ICN	30_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES1-30A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES1-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES1-33A/results0920_kallisto_Spis_Smic/abundance.h5	ES1_33A	33	ICN	33_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES1-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES2-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES2-30A/results0920_kallisto_Spis_Smic/abundance.h5	ES2_30A	30	ICN	30_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES2-30A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES2-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES2-33A/results0920_kallisto_Spis_Smic/abundance.h5	ES2_33A	33	ICN	33_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES2-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES2-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES2-36A/results0920_kallisto_Spis_Smic/abundance.h5	ES2_36A	36	ICN	36_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES2-36A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES3-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES3-30A/results0920_kallisto_Spis_Smic/abundance.h5	ES3_30A	30	ICN	30_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES3-30A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES3-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES3-36A/results0920_kallisto_Spis_Smic/abundance.h5	ES3_36A	36	ICN	36_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES3-36A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES4-30A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES4-30A/results0920_kallisto_Spis_Smic/abundance.h5	ES4_30A	30	ICN	30_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES4-30A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES4-33A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES4-33A/results0920_kallisto_Spis_Smic/abundance.h5	ES4_33A	33	ICN	33_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES4-33A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
ES4-36A	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES4-36A/results0920_kallisto_Spis_Smic/abundance.h5	ES4_36A	36	ICN	36_ICN	/mnt/omics4tb2-serdar/Collaborations/Vulcan/data/181203_K00235_0152_BHWNJ7BBXX_CBASS84_RNASeq/ES4-36A/results0920_kallisto_Spis_Smic/abundance.h5	FALSE
